nis_code_patiënt;postcode_patiënt;gemeente_patiënt;erkenningsnummer_ziekenhuis;gemeente_ziekenhuis;naam_ziekenhuis;marktaandeel;totaal_patiënten_per_gemeente
11001;2630;Aartselaar;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1507145950627977;2309
11001;2630;Aartselaar;99;Antwerpen;GZA ziekenhuizen;0.2031182330012993;2309
11001;2630;Aartselaar;300;Edegem;UZ Antwerpen;0.2394976180164573;2309
11001;2630;Aartselaar;314;Rumst;AZ Heilige Familie;0.2849718492854049;2309
11002;2000;Antwerpen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.4070133336598386;81673
11002;2000;Antwerpen;99;Antwerpen;GZA ziekenhuizen;0.2674812973687755;81673
11002;2000;Antwerpen;300;Edegem;UZ Antwerpen;0.08842579555054914;81673
11002;2000;Antwerpen;682;Antwerpen;AZ Monica;0.1293940469922741;81673
11004;2530;Boechout;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.08887614678899082;1744
11004;2530;Boechout;97;Lier;Heilig-Hartziekenhuis;0.2282110091743119;1744
11004;2530;Boechout;99;Antwerpen;GZA ziekenhuizen;0.4415137614678899;1744
11004;2530;Boechout;300;Edegem;UZ Antwerpen;0.1077981651376147;1744
11005;2850;Boom;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1043343653250774;3230
11005;2850;Boom;99;Antwerpen;GZA ziekenhuizen;0.08823529411764706;3230
11005;2850;Boom;300;Edegem;UZ Antwerpen;0.1544891640866873;3230
11005;2850;Boom;314;Rumst;AZ Heilige Familie;0.5123839009287926;3230
11007;2150;Borsbeek;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.2059701492537313;1675
11007;2150;Borsbeek;99;Antwerpen;GZA ziekenhuizen;0.1802985074626866;1675
11007;2150;Borsbeek;300;Edegem;UZ Antwerpen;0.09850746268656717;1675
11007;2150;Borsbeek;682;Antwerpen;AZ Monica;0.4256716417910448;1675
11008;2930;Brasschaat;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1030927835051546;5723
11008;2930;Brasschaat;300;Edegem;UZ Antwerpen;0.09016250218416914;5723
11008;2930;Brasschaat;710;Brasschaat;AZ Klina;0.6185567010309279;5723
11009;2960;Brecht;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1050538137576041;4274
11009;2960;Brecht;300;Edegem;UZ Antwerpen;0.0669162377164249;4274
11009;2960;Brecht;536;Malle;AZ Sint-Jozef Malle;0.4688816097332709;4274
11009;2960;Brecht;682;Antwerpen;AZ Monica;0.05240992044922789;4274
11009;2960;Brecht;710;Brasschaat;AZ Klina;0.156761815629387;4274
11013;2650;Edegem;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1521025946913212;3353
11013;2650;Edegem;99;Antwerpen;GZA ziekenhuizen;0.4938860721741724;3353
11013;2650;Edegem;300;Edegem;UZ Antwerpen;0.2341186996719356;3353
11016;2910;Essen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.09162717219589257;2532
11016;2910;Essen;300;Edegem;UZ Antwerpen;0.1054502369668247;2532
11016;2910;Essen;536;Malle;AZ Sint-Jozef Malle;0.06161137440758294;2532
11016;2910;Essen;710;Brasschaat;AZ Klina;0.5888625592417062;2532
11018;2620;Hemiksem;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.2144961697112552;1697
11018;2620;Hemiksem;99;Antwerpen;GZA ziekenhuizen;0.1909251620506777;1697
11018;2620;Hemiksem;300;Edegem;UZ Antwerpen;0.2032999410724808;1697
11018;2620;Hemiksem;314;Rumst;AZ Heilige Familie;0.2875662934590454;1697
11021;2540;Hove;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1088777219430486;1194
11021;2540;Hove;99;Antwerpen;GZA ziekenhuizen;0.5385259631490787;1194
11021;2540;Hove;300;Edegem;UZ Antwerpen;0.1850921273031826;1194
11022;2920;Kalmthout;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1083929243507716;2657
11022;2920;Kalmthout;300;Edegem;UZ Antwerpen;0.1076401957094467;2657
11022;2920;Kalmthout;536;Malle;AZ Sint-Jozef Malle;0.06774557771923222;2657
11022;2920;Kalmthout;710;Brasschaat;AZ Klina;0.5641701166729394;2657
11023;2950;Kapellen (Antwerpen);9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1562118623382963;4097
11023;2950;Kapellen (Antwerpen);99;Antwerpen;GZA ziekenhuizen;0.05320966560898218;4097
11023;2950;Kapellen (Antwerpen);300;Edegem;UZ Antwerpen;0.0998291432755675;4097
11023;2950;Kapellen (Antwerpen);710;Brasschaat;AZ Klina;0.5547961923358555;4097
11024;2550;Kontich;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.09342327150084317;2965
