nis_code_patiënt;postcode_patiënt;gemeente_patiënt;erkenningsnummer_ziekenhuis;gemeente_ziekenhuis;naam_ziekenhuis;marktaandeel;totaal_patiënten_per_gemeente
11001;2630;Aartselaar;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1511520737327189;2170
11001;2630;Aartselaar;99;Antwerpen;GZA ziekenhuizen;0.2216589861751152;2170
11001;2630;Aartselaar;300;Edegem;UZ Antwerpen;0.2419354838709677;2170
11001;2630;Aartselaar;314;Rumst;AZ Heilige Familie;0.2617511520737327;2170
11002;2000;Antwerpen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.4047680428190869;81459
11002;2000;Antwerpen;99;Antwerpen;GZA ziekenhuizen;0.2733767907781829;81459
11002;2000;Antwerpen;300;Edegem;UZ Antwerpen;0.08732000147313372;81459
11002;2000;Antwerpen;682;Antwerpen;AZ Monica;0.1297585288304546;81459
11004;2530;Boechout;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.07846320346320346;1848
11004;2530;Boechout;97;Lier;Heilig-Hartziekenhuis;0.2386363636363636;1848
11004;2530;Boechout;99;Antwerpen;GZA ziekenhuizen;0.4177489177489178;1848
11004;2530;Boechout;300;Edegem;UZ Antwerpen;0.1163419913419913;1848
11004;2530;Boechout;682;Antwerpen;AZ Monica;0.05952380952380952;1848
11005;2850;Boom;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1089481946624804;3185
11005;2850;Boom;99;Antwerpen;GZA ziekenhuizen;0.1070643642072213;3185
11005;2850;Boom;300;Edegem;UZ Antwerpen;0.1485086342229199;3185
11005;2850;Boom;314;Rumst;AZ Heilige Familie;0.4963893249607536;3185
11007;2150;Borsbeek;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1830409356725146;1710
11007;2150;Borsbeek;99;Antwerpen;GZA ziekenhuizen;0.1970760233918129;1710
11007;2150;Borsbeek;300;Edegem;UZ Antwerpen;0.108187134502924;1710
11007;2150;Borsbeek;682;Antwerpen;AZ Monica;0.4128654970760234;1710
11008;2930;Brasschaat;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1031405525999657;5827
11008;2930;Brasschaat;300;Edegem;UZ Antwerpen;0.09198558434872146;5827
11008;2930;Brasschaat;710;Brasschaat;AZ Klina;0.6176420113265831;5827
11009;2960;Brecht;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.102820746132848;4396
11009;2960;Brecht;300;Edegem;UZ Antwerpen;0.07711555959963604;4396
11009;2960;Brecht;536;Malle;AZ Sint-Jozef Malle;0.4663330300272975;4396
11009;2960;Brecht;710;Brasschaat;AZ Klina;0.1699272065514104;4396
11013;2650;Edegem;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1627148784825133;3374
11013;2650;Edegem;99;Antwerpen;GZA ziekenhuizen;0.4623592175459396;3374
11013;2650;Edegem;300;Edegem;UZ Antwerpen;0.2468879668049793;3374
11016;2910;Essen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1097744360902256;2660
11016;2910;Essen;300;Edegem;UZ Antwerpen;0.1022556390977444;2660
11016;2910;Essen;536;Malle;AZ Sint-Jozef Malle;0.06466165413533835;2660
11016;2910;Essen;710;Brasschaat;AZ Klina;0.5796992481203007;2660
11018;2620;Hemiksem;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.2026635784597568;1727
11018;2620;Hemiksem;99;Antwerpen;GZA ziekenhuizen;0.2188766647365374;1727
11018;2620;Hemiksem;300;Edegem;UZ Antwerpen;0.1928199189345686;1727
11018;2620;Hemiksem;314;Rumst;AZ Heilige Familie;0.2785176606832658;1727
11021;2540;Hove;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.12;1200
11021;2540;Hove;99;Antwerpen;GZA ziekenhuizen;0.5383333333333333;1200
11021;2540;Hove;300;Edegem;UZ Antwerpen;0.1941666666666667;1200
11022;2920;Kalmthout;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1055295950155763;2568
11022;2920;Kalmthout;99;Antwerpen;GZA ziekenhuizen;0.05218068535825545;2568
11022;2920;Kalmthout;300;Edegem;UZ Antwerpen;0.1031931464174455;2568
11022;2920;Kalmthout;536;Malle;AZ Sint-Jozef Malle;0.0514018691588785;2568
11022;2920;Kalmthout;710;Brasschaat;AZ Klina;0.5677570093457944;2568
11023;2950;Kapellen (Antwerpen);9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1565518949715135;4037
11023;2950;Kapellen (Antwerpen);99;Antwerpen;GZA ziekenhuizen;0.05400049541738915;4037
11023;2950;Kapellen (Antwerpen);300;Edegem;UZ Antwerpen;0.09784493435719593;4037
11023;2950;Kapellen (Antwerpen);710;Brasschaat;AZ Klina;0.5642804062422591;4037
11024;2550;Kontich;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.09138042773817238;3086
11024;2550;Kontich;26;Mechelen;AZ Sint-Maarten;0.136098509397278;3086
11024;2550;Kontich;99;Antwerpen;GZA ziekenhuizen;0.3489954633830201;3086
11024;2550;Kontich;300;Edegem;UZ Antwerpen;0.2397926117952041;3086
11025;2547;Lint;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.0631938514090521;1171
11025;2547;Lint;26;Mechelen;AZ Sint-Maarten;0.3432963279248505;1171
11025;2547;Lint;97;Lier;Heilig-Hartziekenhuis;0.1588385994876174;1171
11025;2547;Lint;99;Antwerpen;GZA ziekenhuizen;0.2083689154568745;1171
11025;2547;Lint;300;Edegem;UZ Antwerpen;0.1298035866780529;1171
11029;2640;Mortsel;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1565961732124874;3972
11029;2640;Mortsel;99;Antwerpen;GZA ziekenhuizen;0.6130412890231621;3972
11029;2640;Mortsel;300;Edegem;UZ Antwerpen;0.09894259818731117;3972
11030;2845;Niel;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1203438395415473;1745
11030;2845;Niel;99;Antwerpen;GZA ziekenhuizen;0.1375358166189112;1745
11030;2845;Niel;300;Edegem;UZ Antwerpen;0.1713467048710602;1745
11030;2845;Niel;314;Rumst;AZ Heilige Familie;0.4550143266475645;1745
11035;2520;Ranst;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.07746219107340464;2711
