nis_code_patiënt;postcode_patiënt;gemeente_patiënt;aantal_verblijven_per_gemeente;erkenningsnummer_ziekenhuis;naam_ziekenhuis;gemeente_ziekenhuis;aantal_verblijven_per_ziekenhuis_gemeente_patient;marktaandeel
11001;2630;Aartselaar;2006;9;ZIEKENHUISNETWERK ANTWERPEN (ZNA);Antwerpen;297;0.14805583250249
11001;2630;Aartselaar;2006;26;AZ SINT-MAARTEN;Mechelen;38;0.01894317048853
11001;2630;Aartselaar;2006;97;HEILIG HART ZIEKENHUIS;Lier;8;0.00398803589232
11001;2630;Aartselaar;2006;99;GZA- ZIEKENHUIZEN;Antwerpen;382;0.19042871385842
11001;2630;Aartselaar;2006;104;AZ RIVIERENLAND;Rumst;506;0.25224327018943
11001;2630;Aartselaar;2006;143;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;9;0.00448654037886
11001;2630;Aartselaar;2006;300;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;Edegem;605;0.30159521435693
11001;2630;Aartselaar;2006;322;UZ LEUVEN;Leuven;27;0.01345962113659
11001;2630;Aartselaar;2006;595;AZ NIKOLAAS;Sint-Niklaas (Oost-Vlaanderen);7;0.00348953140578
11001;2630;Aartselaar;2006;670;UNIVERSITAIR ZIEKENHUIS;Gent;5;0.0024925224327
11001;2630;Aartselaar;2006;682;AZ MONICA;Antwerpen;77;0.03838484546361
11001;2630;Aartselaar;2006;710;AZ KLINA;Brasschaat;10;0.0049850448654
11002;2000;Antwerpen;69237;9;ZIEKENHUISNETWERK ANTWERPEN (ZNA);Antwerpen;26818;0.38733625084853
11002;2000;Antwerpen;69237;12;AZ SINT-BLASIUS;Dendermonde;38;0.00054883949333
11002;2000;Antwerpen;69237;17;AZ MARIA MIDDELARES;Gent;33;0.00047662377053
11002;2000;Antwerpen;69237;26;AZ SINT-MAARTEN;Mechelen;197;0.0028452994786
11002;2000;Antwerpen;69237;32;A.Z. ALMA;Eeklo;28;0.00040440804772
11002;2000;Antwerpen;69237;43;CLINIQUE SAINT PIERRE;Ottignies-Louvain-la-Neuve;8;0.00011554515649
11002;2000;Antwerpen;69237;49;AZ SINT-JAN BRUGGE - OOSTENDE;Brugge;96;0.0013865418779
11002;2000;Antwerpen;69237;57;JAN YPERMAN ZIEKENHUIS;Ieper;12;0.00017331773474
11002;2000;Antwerpen;69237;63;AZ TURNHOUT;Turnhout;124;0.00179094992562
11002;2000;Antwerpen;69237;76;CHU SAINT-PIERRE;Brussel;31;0.0004477374814
11002;2000;Antwerpen;69237;77;CHU BRUGMANN;Brussel;27;0.00038996490316
11002;2000;Antwerpen;69237;79;JULES BORDET INSTITUT;Anderlecht;9;0.00012998830105
11002;2000;Antwerpen;69237;87;HOPITAUX IRIS SUD;Etterbeek;23;0.00033219232491
11002;2000;Antwerpen;69237;97;HEILIG HART ZIEKENHUIS;Lier;199;0.00287418576773
11002;2000;Antwerpen;69237;99;GZA- ZIEKENHUIZEN;Antwerpen;18196;0.26280745843985
11002;2000;Antwerpen;69237;102;HEILIG HART ZIEKENHUIS;Mol;29;0.00041885119228
11002;2000;Antwerpen;69237;104;AZ RIVIERENLAND;Rumst;270;0.00389964903159
