code_ins;code_postal;commune_patient;nombre_de_séjours_par_comunne_patient;classe;nombre_de_séjours_par_âge;numéro_agrément_hôpital;dénomination;commune_hôpital;nombre_de_séjours_par_hôpital_comunne_patient_âge;part_de_marché
11001;2630;Aartselaar;2361;Moins de 15 ans;127;9;Ziekenhuisnetwerk Antwerpen;Anvers;29;0.2283465
11001;2630;Aartselaar;2361;Moins de 15 ans;127;99;GZA ziekenhuizen;Anvers;36;0.2834646
11001;2630;Aartselaar;2361;Moins de 15 ans;127;300;UZ Antwerpen;Edegem;47;0.3700787
11001;2630;Aartselaar;2361;De 15 à 64 ans;934;9;Ziekenhuisnetwerk Antwerpen;Anvers;129;0.1381156
11001;2630;Aartselaar;2361;De 15 à 64 ans;934;26;AZ Sint-Maarten;Malines;19;0.0203426
11001;2630;Aartselaar;2361;De 15 à 64 ans;934;99;GZA ziekenhuizen;Anvers;216;0.2312634
11001;2630;Aartselaar;2361;De 15 à 64 ans;934;104;AZ Rivierenland;Rumst;6;0.006424
11001;2630;Aartselaar;2361;De 15 à 64 ans;934;236;Revalidatieziekenhuis RevArte;Edegem;7;0.0074946
11001;2630;Aartselaar;2361;De 15 à 64 ans;934;300;UZ Antwerpen;Edegem;256;0.2740899
11001;2630;Aartselaar;2361;De 15 à 64 ans;934;314;AZ Rivierenland;Rumst;195;0.2087794
11001;2630;Aartselaar;2361;De 15 à 64 ans;934;322;UZ Leuven;Louvain;12;0.012848
11001;2630;Aartselaar;2361;De 15 à 64 ans;934;682;AZ Monica;Anvers;58;0.0620985
11001;2630;Aartselaar;2361;De 15 à 64 ans;934;710;AZ Klina;Brasschaat;7;0.0074946
11001;2630;Aartselaar;2361;65 ans et plus;1300;9;Ziekenhuisnetwerk Antwerpen;Anvers;178;0.1369231
11001;2630;Aartselaar;2361;65 ans et plus;1300;26;AZ Sint-Maarten;Malines;16;0.0123077
11001;2630;Aartselaar;2361;65 ans et plus;1300;99;GZA ziekenhuizen;Anvers;210;0.1615385
