code_ins;code_postal;commune_patient;nombre_de_séjours_par_comunne_patient;classe;nombre_de_séjours_par_âge;numéro_agrément_hôpital;dénomination;commune_hôpital;nombre_de_séjours_par_hôpital_comunne_patient_âge;part_de_marché
11001;2630;Aartselaar;3079;Moins de 15 ans;103;9;Ziekenhuisnetwerk Antwerpen;Anvers;21;0.2038835
11001;2630;Aartselaar;3079;Moins de 15 ans;103;99;GZA ziekenhuizen;Anvers;16;0.1553398
11001;2630;Aartselaar;3079;Moins de 15 ans;103;104;AZ Rivierenland;Rumst;34;0.3300971
11001;2630;Aartselaar;3079;Moins de 15 ans;103;300;UZ Antwerpen;Edegem;10;0.0970874
11001;2630;Aartselaar;3079;Moins de 15 ans;103;322;UZ Leuven;Louvain;12;0.1165049
11001;2630;Aartselaar;3079;Moins de 15 ans;103;682;AZ Monica;Anvers;5;0.0485437
11001;2630;Aartselaar;3079;De 15 à 64 ans;1386;9;Ziekenhuisnetwerk Antwerpen;Anvers;204;0.1471861
11001;2630;Aartselaar;3079;De 15 à 64 ans;1386;26;AZ Sint-Maarten;Malines;29;0.0209235
11001;2630;Aartselaar;3079;De 15 à 64 ans;1386;99;GZA ziekenhuizen;Anvers;312;0.2251082
11001;2630;Aartselaar;3079;De 15 à 64 ans;1386;104;AZ Rivierenland;Rumst;416;0.3001443
11001;2630;Aartselaar;3079;De 15 à 64 ans;1386;143;UZ Brussel;Jette;6;0.004329
11001;2630;Aartselaar;3079;De 15 à 64 ans;1386;300;UZ Antwerpen;Edegem;266;0.1919192
11001;2630;Aartselaar;3079;De 15 à 64 ans;1386;322;UZ Leuven;Louvain;11;0.0079365
11001;2630;Aartselaar;3079;De 15 à 64 ans;1386;682;AZ Monica;Anvers;105;0.0757576
11001;2630;Aartselaar;3079;De 15 à 64 ans;1386;710;AZ Klina;Brasschaat;9;0.0064935
11001;2630;Aartselaar;3079;65 ans et plus;1590;9;Ziekenhuisnetwerk Antwerpen;Anvers;209;0.1314465
11001;2630;Aartselaar;3079;65 ans et plus;1590;26;AZ Sint-Maarten;Malines;23;0.0144654
11001;2630;Aartselaar;3079;65 ans et plus;1590;99;GZA ziekenhuizen;Anvers;350;0.2201258
11001;2630;Aartselaar;3079;65 ans et plus;1590;104;AZ Rivierenland;Rumst;568;0.3572327
11001;2630;Aartselaar;3079;65 ans et plus;1590;300;UZ Antwerpen;Edegem;374;0.2352201
11001;2630;Aartselaar;3079;65 ans et plus;1590;322;UZ Leuven;Louvain;7;0.0044025
11001;2630;Aartselaar;3079;65 ans et plus;1590;682;AZ Monica;Anvers;42;0.0264151
11001;2630;Aartselaar;3079;65 ans et plus;1590;710;AZ Klina;Brasschaat;5;0.0031447
11002;2000;Anvers;80720;Moins de 15 ans;5350;9;Ziekenhuisnetwerk Antwerpen;Anvers;2678;0.5005607
11002;2000;Anvers;80720;Moins de 15 ans;5350;26;AZ Sint-Maarten;Malines;22;0.0041121
11002;2000;Anvers;80720;Moins de 15 ans;5350;97;Heilig Hart Ziekenhuis - Lier;Lierre;11;0.0020561
11002;2000;Anvers;80720;Moins de 15 ans;5350;99;GZA ziekenhuizen;Anvers;756;0.1413084
11002;2000;Anvers;80720;Moins de 15 ans;5350;104;AZ Rivierenland;Rumst;91;0.0170093
11002;2000;Anvers;80720;Moins de 15 ans;5350;143;UZ Brussel;Jette;8;0.0014953
11002;2000;Anvers;80720;Moins de 15 ans;5350;300;UZ Antwerpen;Edegem;504;0.0942056
11002;2000;Anvers;80720;Moins de 15 ans;5350;308;AZ Herentals;Herentals;9;0.0016822
11002;2000;Anvers;80720;Moins de 15 ans;5350;322;UZ Leuven;Louvain;174;0.0325234
11002;2000;Anvers;80720;Moins de 15 ans;5350;332;CHIREC - Hôpital Delta;Auderghem;5;0.0009346
11002;2000;Anvers;80720;Moins de 15 ans;5350;536;AZ Voorkempen;Malle;12;0.002243
11002;2000;Anvers;80720;Moins de 15 ans;5350;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);8;0.0014953
11002;2000;Anvers;80720;Moins de 15 ans;5350;670;UZ Gent;Gand;86;0.0160748
11002;2000;Anvers;80720;Moins de 15 ans;5350;682;AZ Monica;Anvers;829;0.1549533
11002;2000;Anvers;80720;Moins de 15 ans;5350;710;AZ Klina;Brasschaat;117;0.0218692
11002;2000;Anvers;80720;De 15 à 64 ans;44807;9;Ziekenhuisnetwerk Antwerpen;Anvers;17183;0.3834892
11002;2000;Anvers;80720;De 15 à 64 ans;44807;12;AZ Sint-Blasius;Termonde;20;0.0004464
11002;2000;Anvers;80720;De 15 à 64 ans;44807;17;AZ Maria Middelares;Gand;26;0.0005803
11002;2000;Anvers;80720;De 15 à 64 ans;44807;26;AZ Sint-Maarten;Malines;268;0.0059812
11002;2000;Anvers;80720;De 15 à 64 ans;44807;32;AZ Alma;Eeklo;11;0.0002455
11002;2000;Anvers;80720;De 15 à 64 ans;44807;49;AZ Sint-Jan Brugge - Oostende;Bruges;28;0.0006249
11002;2000;Anvers;80720;De 15 à 64 ans;44807;63;AZ Turnhout;Turnhout;103;0.0022987
11002;2000;Anvers;80720;De 15 à 64 ans;44807;76;CHU Saint-Pierre;Bruxelles;7;0.0001562
11002;2000;Anvers;80720;De 15 à 64 ans;44807;79;Institut Jules Bordet;Bruxelles;24;0.0005356
11002;2000;Anvers;80720;De 15 à 64 ans;44807;87;Hôpitaux Iris Sud;Etterbeek;11;0.0002455
11002;2000;Anvers;80720;De 15 à 64 ans;44807;97;Heilig Hart Ziekenhuis - Lier;Lierre;139;0.0031022
11002;2000;Anvers;80720;De 15 à 64 ans;44807;99;GZA ziekenhuizen;Anvers;10850;0.2421497
11002;2000;Anvers;80720;De 15 à 64 ans;44807;102;Heilig Hart Ziekenhuis;Mol;22;0.000491
11002;2000;Anvers;80720;De 15 à 64 ans;44807;104;AZ Rivierenland;Rumst;358;0.0079898
11002;2000;Anvers;80720;De 15 à 64 ans;44807;106;AZ Sint-Maria;Hal (Brabant flamand);7;0.0001562
11002;2000;Anvers;80720;De 15 à 64 ans;44807;108;RZ Heilig Hart Leuven;Louvain;58;0.0012944
11002;2000;Anvers;80720;De 15 à 64 ans;44807;109;RZ Tienen;Tirlemont;11;0.0002455
11002;2000;Anvers;80720;De 15 à 64 ans;44807;110;Clinique Saint-Jean;Bruxelles;5;0.0001116
11002;2000;Anvers;80720;De 15 à 64 ans;44807;117;AZ Delta;Roulers;5;0.0001116
11002;2000;Anvers;80720;De 15 à 64 ans;44807;126;Onze-Lieve-Vrouw Ziekenhuis;Alost (Flandre orientale);30;0.0006695
11002;2000;Anvers;80720;De 15 à 64 ans;44807;140;AZ Sint-Lucas;Bruges;10;0.0002232
11002;2000;Anvers;80720;De 15 à 64 ans;44807;143;UZ Brussel;Jette;224;0.0049992
11002;2000;Anvers;80720;De 15 à 64 ans;44807;176;Algemeen Stedelijk Ziekenhuis AV;Alost (Flandre orientale);13;0.0002901
11002;2000;Anvers;80720;De 15 à 64 ans;44807;204;AZ Jan Portaels;Vilvorde;16;0.0003571
11002;2000;Anvers;80720;De 15 à 64 ans;44807;243;Jessa Ziekenhuis;Hasselt;27;0.0006026
