nis_code_patiënt;postcode_patiënt;gemeente_patiënt;leeftijdsgroep;erkenningsnummer_ziekenhuis;gemeente_ziekenhuis;naam_ziekenhuis;marktaandeel;totaal_aantal_patiënten_per_leeftijd_en_per_gemeente;totaal_patiënten_per_gemeente
11001;2630;Aartselaar;Jonger dan 15 jaar;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1640625;128;2170
11001;2630;Aartselaar;Jonger dan 15 jaar;99;Antwerpen;GZA ziekenhuizen;0.421875;128;2170
11001;2630;Aartselaar;Jonger dan 15 jaar;300;Edegem;UZ Antwerpen;0.2734375;128;2170
11001;2630;Aartselaar;Tussen 15 en 64 jaar;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.148577449947313;949;2170
11001;2630;Aartselaar;Tussen 15 en 64 jaar;99;Antwerpen;GZA ziekenhuizen;0.2360379346680717;949;2170
11001;2630;Aartselaar;Tussen 15 en 64 jaar;300;Edegem;UZ Antwerpen;0.267650158061117;949;2170
11001;2630;Aartselaar;Tussen 15 en 64 jaar;314;Rumst;AZ Heilige Familie;0.2054794520547945;949;2170
11001;2630;Aartselaar;65 jaar en ouder;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.151875571820677;1093;2170
11001;2630;Aartselaar;65 jaar en ouder;99;Antwerpen;GZA ziekenhuizen;0.1857273559011894;1093;2170
11001;2630;Aartselaar;65 jaar en ouder;300;Edegem;UZ Antwerpen;0.2159194876486734;1093;2170
11001;2630;Aartselaar;65 jaar en ouder;314;Rumst;AZ Heilige Familie;0.3403476669716377;1093;2170
11002;2000;Antwerpen;Jonger dan 15 jaar;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.4102287699125644;8349;81459
11002;2000;Antwerpen;Jonger dan 15 jaar;99;Antwerpen;GZA ziekenhuizen;0.265900107797341;8349;81459
11002;2000;Antwerpen;Jonger dan 15 jaar;300;Edegem;UZ Antwerpen;0.09953287818900466;8349;81459
11002;2000;Antwerpen;Jonger dan 15 jaar;682;Antwerpen;AZ Monica;0.1230087435621032;8349;81459
11002;2000;Antwerpen;Tussen 15 en 64 jaar;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.3790730371722454;40541;81459
