code_ins;code_postal;commune_patient;nombre_de_séjours;numéro_agrément_hôpital;dénomination;commune_hôpital;nombre_de_séjours.1;part_de_marché
11001;2630;Aartselaar;3594;9;Ziekenhuisnetwerk Antwerpen;Anvers;527;0.1466333
11001;2630;Aartselaar;3594;26;AZ Sint-Maarten;Malines;55;0.0153033
11001;2630;Aartselaar;3594;97;Heilig-Hartziekenhuis;Lierre;11;0.0030607
11001;2630;Aartselaar;3594;99;GZA ziekenhuizen;Anvers;762;0.21202
11001;2630;Aartselaar;3594;104;AZ Rivierenland;Rumst;1240;0.3450195
11001;2630;Aartselaar;3594;143;UZ Brussel;Jette;6;0.0016694
11001;2630;Aartselaar;3594;300;UZ Antwerpen;Edegem;729;0.2028381
11001;2630;Aartselaar;3594;322;UZ Leuven;Louvain;29;0.008069
11001;2630;Aartselaar;3594;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);13;0.0036171
11001;2630;Aartselaar;3594;670;UZ Gent;Gand;18;0.0050083
11001;2630;Aartselaar;3594;682;AZ Monica;Anvers;155;0.0431274
11001;2630;Aartselaar;3594;689;Imelda Ziekenhuis;Bonheiden;8;0.0022259
11001;2630;Aartselaar;3594;710;AZ Klina;Brasschaat;15;0.0041736
11002;2000;Anvers;93439;9;Ziekenhuisnetwerk Antwerpen;Anvers;36760;0.3934117
11002;2000;Anvers;93439;12;AZ Sint-Blasius;Termonde;30;0.0003211
11002;2000;Anvers;93439;17;AZ Maria Middelares;Gand;21;0.0002247
11002;2000;Anvers;93439;26;AZ Sint-Maarten;Malines;385;0.0041203
11002;2000;Anvers;93439;49;AZ Sint-Jan Brugge - Oostende;Bruges;70;0.0007492
11002;2000;Anvers;93439;57;Jan Yperman Ziekenhuis;Ypres;15;0.0001605
11002;2000;Anvers;93439;63;AZ Turnhout;Turnhout;150;0.0016053
11002;2000;Anvers;93439;76;CHU Saint-Pierre;Bruxelles;23;0.0002461
11002;2000;Anvers;93439;79;Institut Jules Bordet;Bruxelles;52;0.0005565
11002;2000;Anvers;93439;87;Hôpitaux Iris Sud;Etterbeek;19;0.0002033
11002;2000;Anvers;93439;97;Heilig-Hartziekenhuis;Lierre;233;0.0024936
11002;2000;Anvers;93439;99;GZA ziekenhuizen;Anvers;23169;0.2479586
11002;2000;Anvers;93439;102;Heilig-Hartziekenhuis;Mol;36;0.0003853
11002;2000;Anvers;93439;104;AZ Rivierenland;Rumst;807;0.0086367
11002;2000;Anvers;93439;108;RZ Heilig Hart;Louvain;74;0.000792
11002;2000;Anvers;93439;109;RZ Heilig Hart Tienen;Tirlemont;19;0.0002033
11002;2000;Anvers;93439;110;Clinique Saint-Jean;Bruxelles;31;0.0003318
11002;2000;Anvers;93439;111;Cliniques de l'Europe;Uccle;16;0.0001712
11002;2000;Anvers;93439;117;AZ Delta;Roulers;21;0.0002247
11002;2000;Anvers;93439;126;Onze-Lieve-Vrouwziekenhuis;Alost (Flandre orientale);52;0.0005565
11002;2000;Anvers;93439;140;AZ Sint-Lucas Brugge;Bruges;15;0.0001605
11002;2000;Anvers;93439;143;UZ Brussel;Jette;367;0.0039277
11002;2000;Anvers;93439;176;Algemeen Stedelijk Ziekenhuis;Alost (Flandre orientale);22;0.0002354
11002;2000;Anvers;93439;204;AZ Jan Portaels;Vilvorde;41;0.0004388
11002;2000;Anvers;93439;217;AZ Sint-Elisabeth;Zottegem;5;5.35e-05
11002;2000;Anvers;93439;243;Jessa Ziekenhuis;Hasselt;47;0.000503
11002;2000;Anvers;93439;265;AZ Lokeren;Lokeren;53;0.0005672
11002;2000;Anvers;93439;290;AZ Sint-Lucas;Gand;50;0.0005351
11002;2000;Anvers;93439;300;UZ Antwerpen;Edegem;7134;0.0763493
11002;2000;Anvers;93439;308;AZ Herentals;Herentals;90;0.0009632
11002;2000;Anvers;93439;310;AZ West;Furnes;9;9.63e-05
11002;2000;Anvers;93439;322;UZ Leuven;Louvain;1175;0.012575
11002;2000;Anvers;93439;332;CHIREC - Hôpital Delta;Auderghem;49;0.0005244
11002;2000;Anvers;93439;371;Ziekenhuis Oost-Limburg;Genk;82;0.0008776
11002;2000;Anvers;93439;392;AZ Zeno;Knokke-Heist;35;0.0003746
11002;2000;Anvers;93439;396;AZ Groeninge;Courtrai;15;0.0001605
11002;2000;Anvers;93439;397;OLV van Lourdes Ziekenhuis Waregem;Waregem;5;5.35e-05
