code_ins;code_postal;commune_patient;nombre_de_séjours_par_comunne_patient;classe;nombre_de_séjours_par_âge;numéro_agrément_hôpital;dénomination;commune_hôpital;nombre_de_séjours_par_hôpital_comunne_patient_âge;part_de_marché
11001;2630;Aartselaar;2330;Moins de 15 ans;104;9;Ziekenhuisnetwerk Antwerpen;Anvers;13;0.125
11001;2630;Aartselaar;2330;Moins de 15 ans;104;99;GZA ziekenhuizen;Anvers;41;0.3942308
11001;2630;Aartselaar;2330;Moins de 15 ans;104;300;UZ Antwerpen;Edegem;38;0.3653846
11001;2630;Aartselaar;2330;De 15 à 64 ans;958;9;Ziekenhuisnetwerk Antwerpen;Anvers;114;0.1189979
11001;2630;Aartselaar;2330;De 15 à 64 ans;958;26;AZ Sint-Maarten;Malines;22;0.0229645
11001;2630;Aartselaar;2330;De 15 à 64 ans;958;97;Heilig-Hartziekenhuis;Lierre;6;0.006263
11001;2630;Aartselaar;2330;De 15 à 64 ans;958;99;GZA ziekenhuizen;Anvers;197;0.2056367
11001;2630;Aartselaar;2330;De 15 à 64 ans;958;236;Revalidatieziekenhuis RevArte;Edegem;8;0.0083507
11001;2630;Aartselaar;2330;De 15 à 64 ans;958;300;UZ Antwerpen;Edegem;286;0.2985386
11001;2630;Aartselaar;2330;De 15 à 64 ans;958;314;AZ Rivierenland;Rumst;210;0.2192067
11001;2630;Aartselaar;2330;De 15 à 64 ans;958;322;UZ Leuven;Louvain;8;0.0083507
11001;2630;Aartselaar;2330;De 15 à 64 ans;958;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);5;0.0052192
11001;2630;Aartselaar;2330;De 15 à 64 ans;958;682;AZ Monica;Anvers;48;0.0501044
11001;2630;Aartselaar;2330;De 15 à 64 ans;958;710;AZ Klina;Brasschaat;10;0.0104384
11001;2630;Aartselaar;2330;65 ans et plus;1268;9;Ziekenhuisnetwerk Antwerpen;Anvers;176;0.1388013
11001;2630;Aartselaar;2330;65 ans et plus;1268;26;AZ Sint-Maarten;Malines;10;0.0078864
11001;2630;Aartselaar;2330;65 ans et plus;1268;99;GZA ziekenhuizen;Anvers;188;0.148265
11001;2630;Aartselaar;2330;65 ans et plus;1268;236;Revalidatieziekenhuis RevArte;Edegem;26;0.0205047
11001;2630;Aartselaar;2330;65 ans et plus;1268;300;UZ Antwerpen;Edegem;307;0.2421136
11001;2630;Aartselaar;2330;65 ans et plus;1268;314;AZ Rivierenland;Rumst;506;0.3990536
11001;2630;Aartselaar;2330;65 ans et plus;1268;322;UZ Leuven;Louvain;10;0.0078864
11001;2630;Aartselaar;2330;65 ans et plus;1268;682;AZ Monica;Anvers;24;0.0189274
11002;2000;Anvers;79520;Moins de 15 ans;8088;9;Ziekenhuisnetwerk Antwerpen;Anvers;3165;0.3913205
11002;2000;Anvers;79520;Moins de 15 ans;8088;26;AZ Sint-Maarten;Malines;7;0.0008655
11002;2000;Anvers;79520;Moins de 15 ans;8088;49;AZ Sint-Jan Brugge - Oostende;Bruges;5;0.0006182
11002;2000;Anvers;79520;Moins de 15 ans;8088;63;AZ Turnhout;Turnhout;9;0.0011128
11002;2000;Anvers;79520;Moins de 15 ans;8088;97;Heilig-Hartziekenhuis;Lierre;14;0.001731
11002;2000;Anvers;79520;Moins de 15 ans;8088;99;GZA ziekenhuizen;Anvers;2068;0.2556874
11002;2000;Anvers;79520;Moins de 15 ans;8088;143;UZ Brussel;Jette;52;0.0064293
11002;2000;Anvers;79520;Moins de 15 ans;8088;150;Hôpital Universitaire des Enfants Reine Fabiola;Bruxelles;6;0.0007418
11002;2000;Anvers;79520;Moins de 15 ans;8088;300;UZ Antwerpen;Edegem;1128;0.1394659
11002;2000;Anvers;79520;Moins de 15 ans;8088;308;AZ Herentals;Herentals;6;0.0007418
11002;2000;Anvers;79520;Moins de 15 ans;8088;322;UZ Leuven;Louvain;172;0.0212661
11002;2000;Anvers;79520;Moins de 15 ans;8088;403;Cliniques universitaires Saint-Luc;Woluwe-Saint-Lambert;8;0.0009891
11002;2000;Anvers;79520;Moins de 15 ans;8088;536;AZ Sint-Jozef Malle;Malle;45;0.0055638
11002;2000;Anvers;79520;Moins de 15 ans;8088;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);15;0.0018546
11002;2000;Anvers;79520;Moins de 15 ans;8088;670;UZ Gent;Gand;60;0.0074184
11002;2000;Anvers;79520;Moins de 15 ans;8088;682;AZ Monica;Anvers;1032;0.1275964
11002;2000;Anvers;79520;Moins de 15 ans;8088;689;Imelda Ziekenhuis;Bonheiden;9;0.0011128
11002;2000;Anvers;79520;Moins de 15 ans;8088;710;AZ Klina;Brasschaat;216;0.0267062
11002;2000;Anvers;79520;De 15 à 64 ans;39607;9;Ziekenhuisnetwerk Antwerpen;Anvers;14288;0.3607443
11002;2000;Anvers;79520;De 15 à 64 ans;39607;12;AZ Sint-Blasius;Termonde;13;0.0003282
11002;2000;Anvers;79520;De 15 à 64 ans;39607;17;AZ Maria Middelares;Gand;31;0.0007827
11002;2000;Anvers;79520;De 15 à 64 ans;39607;26;AZ Sint-Maarten;Malines;144;0.0036357
11002;2000;Anvers;79520;De 15 à 64 ans;39607;32;AZ Alma;Eeklo;5;0.0001262
11002;2000;Anvers;79520;De 15 à 64 ans;39607;49;AZ Sint-Jan Brugge - Oostende;Bruges;29;0.0007322
11002;2000;Anvers;79520;De 15 à 64 ans;39607;63;AZ Turnhout;Turnhout;94;0.0023733
11002;2000;Anvers;79520;De 15 à 64 ans;39607;76;CHU Saint-Pierre;Bruxelles;15;0.0003787
11002;2000;Anvers;79520;De 15 à 64 ans;39607;77;CHU Brugmann;Bruxelles;32;0.0008079
11002;2000;Anvers;79520;De 15 à 64 ans;39607;79;Institut Jules Bordet;Bruxelles;12;0.000303
11002;2000;Anvers;79520;De 15 à 64 ans;39607;87;Hôpitaux Iris Sud;Etterbeek;18;0.0004545
11002;2000;Anvers;79520;De 15 à 64 ans;39607;97;Heilig-Hartziekenhuis;Lierre;112;0.0028278
11002;2000;Anvers;79520;De 15 à 64 ans;39607;99;GZA ziekenhuizen;Anvers;10704;0.2702553
11002;2000;Anvers;79520;De 15 à 64 ans;39607;102;Heilig-Hartziekenhuis;Mol;28;0.0007069
11002;2000;Anvers;79520;De 15 à 64 ans;39607;104;AZ Rivierenland;Rumst;55;0.0013886
11002;2000;Anvers;79520;De 15 à 64 ans;39607;106;AZ Sint-Maria;Hal (Brabant flamand);5;0.0001262
11002;2000;Anvers;79520;De 15 à 64 ans;39607;108;RZ Heilig Hart;Louvain;7;0.0001767
11002;2000;Anvers;79520;De 15 à 64 ans;39607;110;Clinique Saint-Jean;Bruxelles;14;0.0003535
11002;2000;Anvers;79520;De 15 à 64 ans;39607;111;Cliniques de l'Europe;Uccle;10;0.0002525
11002;2000;Anvers;79520;De 15 à 64 ans;39607;116;Revalidatie & MS Centrum;Overpelt;5;0.0001262
11002;2000;Anvers;79520;De 15 à 64 ans;39607;117;AZ Delta;Roulers;19;0.0004797
11002;2000;Anvers;79520;De 15 à 64 ans;39607;126;Onze-Lieve-Vrouwziekenhuis;Alost (Flandre orientale);31;0.0007827
11002;2000;Anvers;79520;De 15 à 64 ans;39607;140;AZ Sint-Lucas Brugge;Bruges;43;0.0010857
11002;2000;Anvers;79520;De 15 à 64 ans;39607;143;UZ Brussel;Jette;93;0.0023481
11002;2000;Anvers;79520;De 15 à 64 ans;39607;176;Algemeen Stedelijk Ziekenhuis;Alost (Flandre orientale);7;0.0001767
11002;2000;Anvers;79520;De 15 à 64 ans;39607;204;AZ Jan Portaels;Vilvorde;21;0.0005302
11002;2000;Anvers;79520;De 15 à 64 ans;39607;236;Revalidatieziekenhuis RevArte;Edegem;140;0.0035347
11002;2000;Anvers;79520;De 15 à 64 ans;39607;243;Jessa Ziekenhuis;Hasselt;37;0.0009342
11002;2000;Anvers;79520;De 15 à 64 ans;39607;265;AZ Lokeren;Lokeren;7;0.0001767
11002;2000;Anvers;79520;De 15 à 64 ans;39607;290;AZ Sint-Lucas;Gand;19;0.0004797
11002;2000;Anvers;79520;De 15 à 64 ans;39607;300;UZ Antwerpen;Edegem;4939;0.1247002
11002;2000;Anvers;79520;De 15 à 64 ans;39607;308;AZ Herentals;Herentals;48;0.0012119
11002;2000;Anvers;79520;De 15 à 64 ans;39607;310;AZ West;Furnes;10;0.0002525
11002;2000;Anvers;79520;De 15 à 64 ans;39607;314;AZ Rivierenland;Rumst;157;0.0039639
11002;2000;Anvers;79520;De 15 à 64 ans;39607;322;UZ Leuven;Louvain;712;0.0179766
11002;2000;Anvers;79520;De 15 à 64 ans;39607;332;CHIREC - Hôpital Delta;Auderghem;34;0.0008584
11002;2000;Anvers;79520;De 15 à 64 ans;39607;371;Ziekenhuis Oost-Limburg;Genk;29;0.0007322
11002;2000;Anvers;79520;De 15 à 64 ans;39607;392;AZ Zeno;Knokke-Heist;22;0.0005555
11002;2000;Anvers;79520;De 15 à 64 ans;39607;395;Sint-Andriesziekenhuis;Tielt (Flandre occidentale);5;0.0001262
11002;2000;Anvers;79520;De 15 à 64 ans;39607;396;AZ Groeninge;Courtrai;8;0.000202
11002;2000;Anvers;79520;De 15 à 64 ans;39607;403;Cliniques universitaires Saint-Luc;Woluwe-Saint-Lambert;63;0.0015906
11002;2000;Anvers;79520;De 15 à 64 ans;39607;406;Cliniques Universitaires de Bruxelles - Hôpital Érasme;Anderlecht;29;0.0007322
11002;2000;Anvers;79520;De 15 à 64 ans;39607;499;Revalidatieziekenhuis Inkendaal;Leeuw-Saint-Pierre;11;0.0002777
11002;2000;Anvers;79520;De 15 à 64 ans;39607;525;AZ Damiaan Oostende;Ostende;14;0.0003535
11002;2000;Anvers;79520;De 15 à 64 ans;39607;536;AZ Sint-Jozef Malle;Malle;132;0.0033327
11002;2000;Anvers;79520;De 15 à 64 ans;39607;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);163;0.0041154
11002;2000;Anvers;79520;De 15 à 64 ans;39607;670;UZ Gent;Gand;185;0.0046709
11002;2000;Anvers;79520;De 15 à 64 ans;39607;682;AZ Monica;Anvers;5135;0.1296488
11002;2000;Anvers;79520;De 15 à 64 ans;39607;689;Imelda Ziekenhuis;Bonheiden;55;0.0013886
11002;2000;Anvers;79520;De 15 à 64 ans;39607;693;Nationaal Multiple Sclerose Centrum;Steenokkerzeel;53;0.0013381
11002;2000;Anvers;79520;De 15 à 64 ans;39607;707;CHU Sart Tilman;Liège;10;0.0002525
11002;2000;Anvers;79520;De 15 à 64 ans;39607;709;AZ St.-Dimpna;Geel;32;0.0008079
11002;2000;Anvers;79520;De 15 à 64 ans;39607;710;AZ Klina;Brasschaat;1605;0.0405231
11002;2000;Anvers;79520;De 15 à 64 ans;39607;712;AZ Diest;Diest;7;0.0001767
11002;2000;Anvers;79520;De 15 à 64 ans;39607;713;AZ Jan Palfijn Gent;Gand;23;0.0005807
11002;2000;Anvers;79520;De 15 à 64 ans;39607;714;Sint-Franciscusziekenhuis;Heusden-Zolder;11;0.0002777
11002;2000;Anvers;79520;De 15 à 64 ans;39607;716;AZ Vesalius;Tongres;7;0.0001767
11002;2000;Anvers;79520;De 15 à 64 ans;39607;719;Mariaziekenhuis Noord-Limburg;Overpelt;10;0.0002525
11002;2000;Anvers;79520;De 15 à 64 ans;39607;723;Centre Hospitalier Interrégional Édith Cavell;Anderlecht;6;0.0001515
11002;2000;Anvers;79520;65 ans et plus;31825;9;Ziekenhuisnetwerk Antwerpen;Anvers;13793;0.4334014
11002;2000;Anvers;79520;65 ans et plus;31825;17;AZ Maria Middelares;Gand;11;0.0003456
11002;2000;Anvers;79520;65 ans et plus;31825;26;AZ Sint-Maarten;Malines;50;0.0015711
11002;2000;Anvers;79520;65 ans et plus;31825;32;AZ Alma;Eeklo;7;0.00022
11002;2000;Anvers;79520;65 ans et plus;31825;46;Woonzorg- & revalidatiecentrum De Dennen;Malle;16;0.0005027
11002;2000;Anvers;79520;65 ans et plus;31825;49;AZ Sint-Jan Brugge - Oostende;Bruges;34;0.0010683
11002;2000;Anvers;79520;65 ans et plus;31825;63;AZ Turnhout;Turnhout;36;0.0011312
11002;2000;Anvers;79520;65 ans et plus;31825;97;Heilig-Hartziekenhuis;Lierre;44;0.0013826
11002;2000;Anvers;79520;65 ans et plus;31825;99;GZA ziekenhuizen;Anvers;8203;0.2577533
11002;2000;Anvers;79520;65 ans et plus;31825;104;AZ Rivierenland;Rumst;22;0.0006913
11002;2000;Anvers;79520;65 ans et plus;31825;110;Clinique Saint-Jean;Bruxelles;8;0.0002514
11002;2000;Anvers;79520;65 ans et plus;31825;126;Onze-Lieve-Vrouwziekenhuis;Alost (Flandre orientale);48;0.0015082
11002;2000;Anvers;79520;65 ans et plus;31825;143;UZ Brussel;Jette;32;0.0010055
11002;2000;Anvers;79520;65 ans et plus;31825;176;Algemeen Stedelijk Ziekenhuis;Alost (Flandre orientale);7;0.00022
11002;2000;Anvers;79520;65 ans et plus;31825;204;AZ Jan Portaels;Vilvorde;7;0.00022
11002;2000;Anvers;79520;65 ans et plus;31825;236;Revalidatieziekenhuis RevArte;Edegem;422;0.01326
11002;2000;Anvers;79520;65 ans et plus;31825;243;Jessa Ziekenhuis;Hasselt;11;0.0003456
11002;2000;Anvers;79520;65 ans et plus;31825;265;AZ Lokeren;Lokeren;5;0.0001571
11002;2000;Anvers;79520;65 ans et plus;31825;290;AZ Sint-Lucas;Gand;11;0.0003456
11002;2000;Anvers;79520;65 ans et plus;31825;300;UZ Antwerpen;Edegem;2347;0.0737471
11002;2000;Anvers;79520;65 ans et plus;31825;308;AZ Herentals;Herentals;35;0.0010998
11002;2000;Anvers;79520;65 ans et plus;31825;310;AZ West;Furnes;18;0.0005656
11002;2000;Anvers;79520;65 ans et plus;31825;314;AZ Rivierenland;Rumst;76;0.0023881
11002;2000;Anvers;79520;65 ans et plus;31825;322;UZ Leuven;Louvain;268;0.0084211
