nis_code_patiënt;postcode_patiënt;gemeente_patiënt;aantal_verblijven_per_gemeente;erkenningsnummer_ziekenhuis;naam_ziekenhuis;gemeente_ziekenhuis;aantal_verblijven_per_ziekenhuis_gemeente_patient;marktaandeel
11001;2630;Aartselaar;2214;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;344;0.1553749
11001;2630;Aartselaar;2214;26;AZ Sint-Maarten;Mechelen;44;0.0198735
11001;2630;Aartselaar;2214;97;Heilig-Hartziekenhuis;Lier;7;0.0031617
11001;2630;Aartselaar;2214;99;GZA ziekenhuizen;Antwerpen;383;0.1729901
11001;2630;Aartselaar;2214;104;AZ Rivierenland;Rumst;667;0.3012647
11001;2630;Aartselaar;2214;126;Onze-Lieve-Vrouwziekenhuis;Aalst (Oost-Vlaanderen);6;0.00271
11001;2630;Aartselaar;2214;143;UZ Brussel;Jette;7;0.0031617
11001;2630;Aartselaar;2214;300;UZ Antwerpen;Edegem;603;0.2723577
11001;2630;Aartselaar;2214;322;UZ Leuven;Leuven;35;0.0158085
11001;2630;Aartselaar;2214;392;AZ Zeno;Knokke-Heist;5;0.0022584
11001;2630;Aartselaar;2214;536;AZ Sint-Jozef Malle;Malle;8;0.0036134
11001;2630;Aartselaar;2214;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);5;0.0022584
11001;2630;Aartselaar;2214;682;AZ Monica;Antwerpen;63;0.0284553
11001;2630;Aartselaar;2214;710;AZ Klina;Brasschaat;7;0.0031617
11002;2000;Antwerpen;78293;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;30779;0.3931258
11002;2000;Antwerpen;78293;12;AZ Sint-Blasius;Dendermonde;25;0.0003193
11002;2000;Antwerpen;78293;17;AZ Maria Middelares;Gent;42;0.0005364
11002;2000;Antwerpen;78293;20;CHR de Verviers;Verviers;6;7.66e-05
11002;2000;Antwerpen;78293;26;AZ Sint-Maarten;Mechelen;218;0.0027844
11002;2000;Antwerpen;78293;32;AZ Alma;Eeklo;11;0.0001405
