code_ins;code_postal;commune_patient;nombre_de_séjours_par_comunne_patient;numéro_agrément_hôpital;dénomination;commune_hôpital;nombre_de_séjours_par_hôpital_comunne_patient;part_de_marché
11001;2630;Aartselaar;3079;9;Ziekenhuisnetwerk Antwerpen;Anvers;434;0.1409549
11001;2630;Aartselaar;3079;26;AZ Sint-Maarten;Malines;55;0.0178629
11001;2630;Aartselaar;3079;97;Heilig Hart Ziekenhuis - Lier;Lierre;6;0.0019487
11001;2630;Aartselaar;3079;99;GZA ziekenhuizen;Anvers;678;0.2202014
11001;2630;Aartselaar;3079;104;AZ Rivierenland;Rumst;1018;0.3306268
11001;2630;Aartselaar;3079;143;UZ Brussel;Jette;6;0.0019487
11001;2630;Aartselaar;3079;300;UZ Antwerpen;Edegem;650;0.2111075
11001;2630;Aartselaar;3079;322;UZ Leuven;Louvain;30;0.0097434
11001;2630;Aartselaar;3079;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);6;0.0019487
11001;2630;Aartselaar;3079;682;AZ Monica;Anvers;152;0.0493667
11001;2630;Aartselaar;3079;710;AZ Klina;Brasschaat;15;0.0048717
11002;2000;Anvers;80720;9;Ziekenhuisnetwerk Antwerpen;Anvers;31946;0.3957631
11002;2000;Anvers;80720;12;AZ Sint-Blasius;Termonde;23;0.0002849
11002;2000;Anvers;80720;17;AZ Maria Middelares;Gand;28;0.0003469
11002;2000;Anvers;80720;26;AZ Sint-Maarten;Malines;397;0.0049182
11002;2000;Anvers;80720;32;AZ Alma;Eeklo;11;0.0001363
11002;2000;Anvers;80720;49;AZ Sint-Jan Brugge - Oostende;Bruges;36;0.000446
11002;2000;Anvers;80720;63;AZ Turnhout;Turnhout;163;0.0020193
11002;2000;Anvers;80720;76;CHU Saint-Pierre;Bruxelles;8;9.91e-05
11002;2000;Anvers;80720;79;Institut Jules Bordet;Bruxelles;32;0.0003964
11002;2000;Anvers;80720;87;Hôpitaux Iris Sud;Etterbeek;13;0.0001611
11002;2000;Anvers;80720;97;Heilig Hart Ziekenhuis - Lier;Lierre;223;0.0027626
11002;2000;Anvers;80720;99;GZA ziekenhuizen;Anvers;19447;0.2409192
11002;2000;Anvers;80720;102;Heilig Hart Ziekenhuis;Mol;26;0.0003221
11002;2000;Anvers;80720;104;AZ Rivierenland;Rumst;658;0.0081516
11002;2000;Anvers;80720;106;AZ Sint-Maria;Hal (Brabant flamand);9;0.0001115
11002;2000;Anvers;80720;108;RZ Heilig Hart Leuven;Louvain;66;0.0008176
11002;2000;Anvers;80720;109;RZ Tienen;Tirlemont;14;0.0001734
11002;2000;Anvers;80720;110;Clinique Saint-Jean;Bruxelles;10;0.0001239
11002;2000;Anvers;80720;111;Cliniques de l'Europe;Uccle;5;6.19e-05
11002;2000;Anvers;80720;117;AZ Delta;Roulers;12;0.0001487
11002;2000;Anvers;80720;126;Onze-Lieve-Vrouw Ziekenhuis;Alost (Flandre orientale);52;0.0006442
11002;2000;Anvers;80720;134;AZ Sint-Vincentius;Deinze;28;0.0003469
11002;2000;Anvers;80720;140;AZ Sint-Lucas;Bruges;13;0.0001611
11002;2000;Anvers;80720;143;UZ Brussel;Jette;264;0.0032706
11002;2000;Anvers;80720;176;Algemeen Stedelijk Ziekenhuis AV;Alost (Flandre orientale);22;0.0002725
11002;2000;Anvers;80720;204;AZ Jan Portaels;Vilvorde;21;0.0002602
11002;2000;Anvers;80720;243;Jessa Ziekenhuis;Hasselt;36;0.000446
11002;2000;Anvers;80720;265;AZ Lokeren;Lokeren;51;0.0006318
11002;2000;Anvers;80720;290;AZ Sint-Lucas;Gand;36;0.000446
11002;2000;Anvers;80720;300;UZ Antwerpen;Edegem;6509;0.0806368
11002;2000;Anvers;80720;308;AZ Herentals;Herentals;109;0.0013503
11002;2000;Anvers;80720;310;AZ West;Furnes;9;0.0001115
11002;2000;Anvers;80720;322;UZ Leuven;Louvain;1259;0.0155971
11002;2000;Anvers;80720;332;CHIREC - Hôpital Delta;Auderghem;44;0.0005451
11002;2000;Anvers;80720;371;Ziekenhuis Oost-Limburg;Genk;50;0.0006194
11002;2000;Anvers;80720;392;AZ Zeno;Knokke-Heist;27;0.0003345
11002;2000;Anvers;80720;395;Sint-Andriesziekenhuis;Tielt (Flandre occidentale);8;9.91e-05
11002;2000;Anvers;80720;396;AZ Groeninge;Courtrai;5;6.19e-05
11002;2000;Anvers;80720;403;Cliniques universitaires Saint-Luc;Woluwe-Saint-Lambert;30;0.0003717
11002;2000;Anvers;80720;406;Cliniques Universitaires de Bruxelles - Hôpital Érasme;Anderlecht;26;0.0003221
11002;2000;Anvers;80720;525;AZ Damiaan;Ostende;17;0.0002106
11002;2000;Anvers;80720;536;AZ Voorkempen;Malle;350;0.004336
11002;2000;Anvers;80720;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);441;0.0054633
11002;2000;Anvers;80720;670;UZ Gent;Gand;223;0.0027626
11002;2000;Anvers;80720;682;AZ Monica;Anvers;14192;0.1758176
11002;2000;Anvers;80720;689;Imelda Ziekenhuis;Bonheiden;102;0.0012636
11002;2000;Anvers;80720;709;Ziekenhuis Geel;Geel;51;0.0006318
11002;2000;Anvers;80720;710;AZ Klina;Brasschaat;3445;0.0426784
11002;2000;Anvers;80720;712;AZ Diest;Diest;11;0.0001363
11002;2000;Anvers;80720;713;AZ Jan Palfijn;Gand;58;0.0007185
11002;2000;Anvers;80720;714;Sint-Franciscus Ziekenhuis;Heusden-Zolder;8;9.91e-05
11002;2000;Anvers;80720;716;AZ Vesalius;Tongres;8;9.91e-05
11002;2000;Anvers;80720;717;Ziekenhuis Maas en Kempen;Maaseik;6;7.43e-05
11002;2000;Anvers;80720;719;Noorderhart - Mariaziekenhuis;Pelt;21;0.0002602
11002;2000;Anvers;80720;723;Centre Hospitalier Interrégional Édith Cavell;Anderlecht;21;0.0002602
11004;2530;Boechout;2299;9;Ziekenhuisnetwerk Antwerpen;Anvers;226;0.0983036
11004;2530;Boechout;2299;26;AZ Sint-Maarten;Malines;116;0.0504567
11004;2530;Boechout;2299;63;AZ Turnhout;Turnhout;10;0.0043497
11004;2530;Boechout;2299;97;Heilig Hart Ziekenhuis - Lier;Lierre;458;0.1992171
11004;2530;Boechout;2299;99;GZA ziekenhuizen;Anvers;908;0.3949543
11004;2530;Boechout;2299;104;AZ Rivierenland;Rumst;24;0.0104393
11004;2530;Boechout;2299;126;Onze-Lieve-Vrouw Ziekenhuis;Alost (Flandre orientale);14;0.0060896
11004;2530;Boechout;2299;300;UZ Antwerpen;Edegem;196;0.0852545
11004;2530;Boechout;2299;322;UZ Leuven;Louvain;41;0.0178338
11004;2530;Boechout;2299;536;AZ Voorkempen;Malle;6;0.0026098
11004;2530;Boechout;2299;682;AZ Monica;Anvers;240;0.1043932
11004;2530;Boechout;2299;689;Imelda Ziekenhuis;Bonheiden;10;0.0043497
11004;2530;Boechout;2299;710;AZ Klina;Brasschaat;10;0.0043497
11005;2850;Boom;3521;9;Ziekenhuisnetwerk Antwerpen;Anvers;320;0.0908833
11005;2850;Boom;3521;26;AZ Sint-Maarten;Malines;227;0.0644703
11005;2850;Boom;3521;97;Heilig Hart Ziekenhuis - Lier;Lierre;10;0.0028401
11005;2850;Boom;3521;99;GZA ziekenhuizen;Anvers;292;0.082931
11005;2850;Boom;3521;104;AZ Rivierenland;Rumst;1974;0.5606362
11005;2850;Boom;3521;126;Onze-Lieve-Vrouw Ziekenhuis;Alost (Flandre orientale);14;0.0039761
11005;2850;Boom;3521;143;UZ Brussel;Jette;14;0.0039761
11005;2850;Boom;3521;204;AZ Jan Portaels;Vilvorde;5;0.0014201
11005;2850;Boom;3521;217;AZ Sint-Elisabeth;Zottegem;10;0.0028401
11005;2850;Boom;3521;300;UZ Antwerpen;Edegem;442;0.1255325
11005;2850;Boom;3521;322;UZ Leuven;Louvain;21;0.0059642
11005;2850;Boom;3521;403;Cliniques universitaires Saint-Luc;Woluwe-Saint-Lambert;13;0.0036921
11005;2850;Boom;3521;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);15;0.0042602
11005;2850;Boom;3521;670;UZ Gent;Gand;6;0.0017041
11005;2850;Boom;3521;682;AZ Monica;Anvers;94;0.026697
11005;2850;Boom;3521;689;Imelda Ziekenhuis;Bonheiden;13;0.0036921
11005;2850;Boom;3521;710;AZ Klina;Brasschaat;9;0.0025561
11007;2150;Borsbeek;1947;9;Ziekenhuisnetwerk Antwerpen;Anvers;358;0.1838726
11007;2150;Borsbeek;1947;26;AZ Sint-Maarten;Malines;16;0.0082178
11007;2150;Borsbeek;1947;97;Heilig Hart Ziekenhuis - Lier;Lierre;36;0.01849
11007;2150;Borsbeek;1947;99;GZA ziekenhuizen;Anvers;310;0.1592193
11007;2150;Borsbeek;1947;104;AZ Rivierenland;Rumst;6;0.0030817
11007;2150;Borsbeek;1947;143;UZ Brussel;Jette;9;0.0046225
11007;2150;Borsbeek;1947;300;UZ Antwerpen;Edegem;236;0.1212121
11007;2150;Borsbeek;1947;322;UZ Leuven;Louvain;11;0.0056497
11007;2150;Borsbeek;1947;536;AZ Voorkempen;Malle;5;0.0025681
11007;2150;Borsbeek;1947;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);16;0.0082178
11007;2150;Borsbeek;1947;682;AZ Monica;Anvers;916;0.4704674
11007;2150;Borsbeek;1947;710;AZ Klina;Brasschaat;9;0.0046225
11008;2930;Brasschaat;6736;9;Ziekenhuisnetwerk Antwerpen;Anvers;932;0.138361
11008;2930;Brasschaat;6736;26;AZ Sint-Maarten;Malines;12;0.0017815
11008;2930;Brasschaat;6736;49;AZ Sint-Jan Brugge - Oostende;Bruges;10;0.0014846
11008;2930;Brasschaat;6736;63;AZ Turnhout;Turnhout;11;0.001633
11008;2930;Brasschaat;6736;97;Heilig Hart Ziekenhuis - Lier;Lierre;7;0.0010392
11008;2930;Brasschaat;6736;99;GZA ziekenhuizen;Anvers;452;0.0671021
11008;2930;Brasschaat;6736;104;AZ Rivierenland;Rumst;12;0.0017815
11008;2930;Brasschaat;6736;126;Onze-Lieve-Vrouw Ziekenhuis;Alost (Flandre orientale);8;0.0011876
11008;2930;Brasschaat;6736;143;UZ Brussel;Jette;13;0.0019299
11008;2930;Brasschaat;6736;300;UZ Antwerpen;Edegem;376;0.0558195
11008;2930;Brasschaat;6736;308;AZ Herentals;Herentals;8;0.0011876
11008;2930;Brasschaat;6736;322;UZ Leuven;Louvain;127;0.0188539
11008;2930;Brasschaat;6736;536;AZ Voorkempen;Malle;79;0.011728
11008;2930;Brasschaat;6736;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);20;0.0029691
11008;2930;Brasschaat;6736;670;UZ Gent;Gand;30;0.0044537
11008;2930;Brasschaat;6736;682;AZ Monica;Anvers;420;0.0623515
11008;2930;Brasschaat;6736;689;Imelda Ziekenhuis;Bonheiden;6;0.0008907
11008;2930;Brasschaat;6736;710;AZ Klina;Brasschaat;4169;0.6189133
