nis_code_patiënt;postcode_patiënt;gemeente_patiënt;erkenningsnummer_ziekenhuis;gemeente_ziekenhuis;naam_ziekenhuis;marktaandeel;totaal_patiënten_per_gemeente
11001;2630;Aartselaar;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1667423898228078;2201
11001;2630;Aartselaar;99;Antwerpen;GZA ziekenhuizen;0.2089959109495684;2201
11001;2630;Aartselaar;300;Edegem;UZ Antwerpen;0.1935483870967742;2201
11001;2630;Aartselaar;314;Rumst;AZ Heilige Familie;0.2953203089504771;2201
11002;2000;Antwerpen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.4171141023399845;80086
11002;2000;Antwerpen;99;Antwerpen;GZA ziekenhuizen;0.2116724521139775;80086
11002;2000;Antwerpen;100;Antwerpen;Sint-Vincentiusziekenhuis;0.06085957595584746;80086
11002;2000;Antwerpen;300;Edegem;UZ Antwerpen;0.07900257223484754;80086
11002;2000;Antwerpen;682;Antwerpen;AZ Monica;0.1216192592962565;80086
11004;2530;Boechout;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.08574549426542873;1831
11004;2530;Boechout;97;Lier;H.-Hartziekenhuis Lier;0.2501365374112507;1831
11004;2530;Boechout;99;Antwerpen;GZA ziekenhuizen;0.2965592572364828;1831
11004;2530;Boechout;100;Antwerpen;Sint-Vincentiusziekenhuis;0.1316220644456581;1831
11004;2530;Boechout;300;Edegem;UZ Antwerpen;0.09885308574549427;1831
11004;2530;Boechout;682;Antwerpen;AZ Monica;0.06062261059530311;1831
11005;2850;Boom;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1232474731007499;3067
11005;2850;Boom;99;Antwerpen;GZA ziekenhuizen;0.08999021845451581;3067
11005;2850;Boom;300;Edegem;UZ Antwerpen;0.1229214215846104;3067
11005;2850;Boom;314;Rumst;AZ Heilige Familie;0.511574828822954;3067
11007;2150;Borsbeek;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.2169811320754717;1590
11007;2150;Borsbeek;99;Antwerpen;GZA ziekenhuizen;0.1811320754716981;1590
11007;2150;Borsbeek;300;Edegem;UZ Antwerpen;0.110062893081761;1590
11007;2150;Borsbeek;682;Antwerpen;AZ Monica;0.3415094339622641;1590
11008;2930;Brasschaat;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1107097706339173;5537
11008;2930;Brasschaat;99;Antwerpen;GZA ziekenhuizen;0.0502076936969478;5537
11008;2930;Brasschaat;300;Edegem;UZ Antwerpen;0.08488351092649449;5537
11008;2930;Brasschaat;710;Brasschaat;AZ Klina;0.6055625790139064;5537
11009;2960;Brecht;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1095295536791315;4145
11009;2960;Brecht;99;Antwerpen;GZA ziekenhuizen;0.05669481302774427;4145
11009;2960;Brecht;300;Edegem;UZ Antwerpen;0.06417370325693607;4145
11009;2960;Brecht;536;Malle;AZ Sint-Jozef Malle;0.4480096501809409;4145
11009;2960;Brecht;682;Antwerpen;AZ Monica;0.05428226779252111;4145
11009;2960;Brecht;710;Brasschaat;AZ Klina;0.1507840772014475;4145
11013;2650;Edegem;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1642794504530839;3421
11013;2650;Edegem;99;Antwerpen;GZA ziekenhuizen;0.416837182110494;3421
11013;2650;Edegem;100;Antwerpen;Sint-Vincentiusziekenhuis;0.09675533469745688;3421
11013;2650;Edegem;300;Edegem;UZ Antwerpen;0.2046185325928091;3421
11016;2910;Essen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1118170266836086;2361
11016;2910;Essen;300;Edegem;UZ Antwerpen;0.1003811944091487;2361
11016;2910;Essen;536;Malle;AZ Sint-Jozef Malle;0.06649724692926726;2361
11016;2910;Essen;710;Brasschaat;AZ Klina;0.554002541296061;2361
11018;2620;Hemiksem;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.2205387205387205;1782
11018;2620;Hemiksem;99;Antwerpen;GZA ziekenhuizen;0.2048260381593715;1782
11018;2620;Hemiksem;300;Edegem;UZ Antwerpen;0.1767676767676768;1782
11018;2620;Hemiksem;314;Rumst;AZ Heilige Familie;0.2968574635241302;1782
11021;2540;Hove;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1345646437994723;1137
11021;2540;Hove;99;Antwerpen;GZA ziekenhuizen;0.3579595426561126;1137
11021;2540;Hove;100;Antwerpen;Sint-Vincentiusziekenhuis;0.1697449428320141;1137
11021;2540;Hove;300;Edegem;UZ Antwerpen;0.1539138082673703;1137
11022;2920;Kalmthout;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1126221844453889;2353
11022;2920;Kalmthout;99;Antwerpen;GZA ziekenhuizen;0.05142371440713982;2353
11022;2920;Kalmthout;300;Edegem;UZ Antwerpen;0.08924776880577985;2353
11022;2920;Kalmthout;536;Malle;AZ Sint-Jozef Malle;0.0624734381640459;2353
11022;2920;Kalmthout;710;Brasschaat;AZ Klina;0.5529111772205695;2353
11023;2950;Kapellen (Antwerpen);9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1562096565969533;3873
11023;2950;Kapellen (Antwerpen);300;Edegem;UZ Antwerpen;0.1037955073586367;3873
11023;2950;Kapellen (Antwerpen);710;Brasschaat;AZ Klina;0.5584817970565453;3873
11024;2550;Kontich;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1052104208416834;2994
11024;2550;Kontich;26;Mechelen;AZ Sint-Maarten;0.1372745490981964;2994
11024;2550;Kontich;99;Antwerpen;GZA ziekenhuizen;0.2822311289245157;2994
11024;2550;Kontich;100;Antwerpen;Sint-Vincentiusziekenhuis;0.1005344021376085;2994
11024;2550;Kontich;300;Edegem;UZ Antwerpen;0.2117568470273881;2994
11025;2547;Lint;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.05804749340369393;1137
11025;2547;Lint;26;Mechelen;AZ Sint-Maarten;0.3254177660510114;1137
11025;2547;Lint;97;Lier;H.-Hartziekenhuis Lier;0.1750219876868953;1137
11025;2547;Lint;99;Antwerpen;GZA ziekenhuizen;0.1565523306948109;1137
11025;2547;Lint;100;Antwerpen;Sint-Vincentiusziekenhuis;0.05013192612137203;1137
11025;2547;Lint;300;Edegem;UZ Antwerpen;0.1143359718557608;1137
11029;2640;Mortsel;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1616135662898253;3892
11029;2640;Mortsel;99;Antwerpen;GZA ziekenhuizen;0.43448098663926;3892
11029;2640;Mortsel;100;Antwerpen;Sint-Vincentiusziekenhuis;0.1775436793422405;3892
11029;2640;Mortsel;300;Edegem;UZ Antwerpen;0.09609455292908531;3892
11030;2845;Niel;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1305655836341757;1662
11030;2845;Niel;99;Antwerpen;GZA ziekenhuizen;0.1089049338146811;1662
11030;2845;Niel;300;Edegem;UZ Antwerpen;0.1456077015643803;1662
11030;2845;Niel;314;Rumst;AZ Heilige Familie;0.4807460890493381;1662
11035;2520;Ranst;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.08401792382374906;2678
11035;2520;Ranst;97;Lier;H.-Hartziekenhuis Lier;0.4185959671396565;2678
11035;2520;Ranst;99;Antwerpen;GZA ziekenhuizen;0.05899925317401045;2678
11035;2520;Ranst;300;Edegem;UZ Antwerpen;0.09410007468259896;2678
11035;2520;Ranst;536;Malle;AZ Sint-Jozef Malle;0.1127707244212099;2678
11035;2520;Ranst;682;Antwerpen;AZ Monica;0.1041822255414488;2678
11037;2840;Rumst;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.08710217755443886;2388
11037;2840;Rumst;26;Mechelen;AZ Sint-Maarten;0.1687604690117253;2388
11037;2840;Rumst;99;Antwerpen;GZA ziekenhuizen;0.1256281407035176;2388
11037;2840;Rumst;300;Edegem;UZ Antwerpen;0.1373534338358459;2388
11037;2840;Rumst;314;Rumst;AZ Heilige Familie;0.3710217755443886;2388
11038;2627;Schelle;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.158899923605806;1309
11038;2627;Schelle;99;Antwerpen;GZA ziekenhuizen;0.1680672268907563;1309
11038;2627;Schelle;300;Edegem;UZ Antwerpen;0.1627196333078686;1309
11038;2627;Schelle;314;Rumst;AZ Heilige Familie;0.4041252864782277;1309
11039;2970;Schilde;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1274409044193217;2919
11039;2970;Schilde;99;Antwerpen;GZA ziekenhuizen;0.1133949982870846;2919
11039;2970;Schilde;300;Edegem;UZ Antwerpen;0.07571085988352175;2919
11039;2970;Schilde;536;Malle;AZ Sint-Jozef Malle;0.381637547105173;2919
11039;2970;Schilde;682;Antwerpen;AZ Monica;0.1062007536827681;2919
11039;2970;Schilde;710;Brasschaat;AZ Klina;0.09318259677971909;2919
11040;2900;Schoten;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.4315154038301415;4804
11040;2900;Schoten;99;Antwerpen;GZA ziekenhuizen;0.06182348043297253;4804
11040;2900;Schoten;300;Edegem;UZ Antwerpen;0.07327227310574522;4804
