nis_code_patiënt;postcode_patiënt;gemeente_patiënt;aantal_verblijven_per_gemeente;categorie;aantal_verblijven_per_ziekenhuis_gemeente_patient;erkenningsnummer_ziekenhuis;naam_ziekenhuis;gemeente_ziekenhuis;marktaandeel
11001;2630;Aartselaar;3124;Jonger dan 15 jaar;143;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.2587413
11001;2630;Aartselaar;3124;Jonger dan 15 jaar;143;99;GZA ziekenhuizen;Antwerpen;0.2517483
11001;2630;Aartselaar;3124;Jonger dan 15 jaar;143;300;UZ Antwerpen;Edegem;0.0769231
11001;2630;Aartselaar;3124;Jonger dan 15 jaar;143;314;AZ Heilige Familie;Rumst;0.2657343
11001;2630;Aartselaar;3124;Tussen 15 en 64 jaar;1570;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1394904
11001;2630;Aartselaar;3124;Tussen 15 en 64 jaar;1570;99;GZA ziekenhuizen;Antwerpen;0.2617834
11001;2630;Aartselaar;3124;Tussen 15 en 64 jaar;1570;300;UZ Antwerpen;Edegem;0.133121
11001;2630;Aartselaar;3124;Tussen 15 en 64 jaar;1570;314;AZ Heilige Familie;Rumst;0.3
11001;2630;Aartselaar;3124;Tussen 15 en 64 jaar;1570;682;AZ Monica;Antwerpen;0.0624204
11001;2630;Aartselaar;3124;65 jaar en ouder;1411;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1693834
11001;2630;Aartselaar;3124;65 jaar en ouder;1411;99;GZA ziekenhuizen;Antwerpen;0.1970234
11001;2630;Aartselaar;3124;65 jaar en ouder;1411;300;UZ Antwerpen;Edegem;0.1467045
11001;2630;Aartselaar;3124;65 jaar en ouder;1411;314;AZ Heilige Familie;Rumst;0.3961729
11002;2000;Antwerpen;90700;Jonger dan 15 jaar;7647;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.5097424
11002;2000;Antwerpen;90700;Jonger dan 15 jaar;7647;99;GZA ziekenhuizen;Antwerpen;0.1588858
11002;2000;Antwerpen;90700;Jonger dan 15 jaar;7647;300;UZ Antwerpen;Edegem;0.0731006
11002;2000;Antwerpen;90700;Jonger dan 15 jaar;7647;682;AZ Monica;Antwerpen;0.1595397
11002;2000;Antwerpen;90700;Tussen 15 en 64 jaar;50657;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.381053
11002;2000;Antwerpen;90700;Tussen 15 en 64 jaar;50657;99;GZA ziekenhuizen;Antwerpen;0.2681564
11002;2000;Antwerpen;90700;Tussen 15 en 64 jaar;50657;300;UZ Antwerpen;Edegem;0.0645518
11002;2000;Antwerpen;90700;Tussen 15 en 64 jaar;50657;682;AZ Monica;Antwerpen;0.1667489
11002;2000;Antwerpen;90700;65 jaar en ouder;32396;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.4089702
11002;2000;Antwerpen;90700;65 jaar en ouder;32396;99;GZA ziekenhuizen;Antwerpen;0.290931
11002;2000;Antwerpen;90700;65 jaar en ouder;32396;300;UZ Antwerpen;Edegem;0.0615199
11002;2000;Antwerpen;90700;65 jaar en ouder;32396;682;AZ Monica;Antwerpen;0.1661008
11004;2530;Boechout;2605;Jonger dan 15 jaar;108;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1388889
11004;2530;Boechout;2605;Jonger dan 15 jaar;108;26;AZ Sint-Maarten;Mechelen;0.0833333
11004;2530;Boechout;2605;Jonger dan 15 jaar;108;97;Heilig-Hartziekenhuis;Lier;0.1851852
11004;2530;Boechout;2605;Jonger dan 15 jaar;108;99;GZA ziekenhuizen;Antwerpen;0.2962963
11004;2530;Boechout;2605;Jonger dan 15 jaar;108;300;UZ Antwerpen;Edegem;0.0833333
11004;2530;Boechout;2605;Jonger dan 15 jaar;108;682;AZ Monica;Antwerpen;0.0648148
11004;2530;Boechout;2605;Tussen 15 en 64 jaar;1483;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.0896831
11004;2530;Boechout;2605;Tussen 15 en 64 jaar;1483;26;AZ Sint-Maarten;Mechelen;0.1166554
11004;2530;Boechout;2605;Tussen 15 en 64 jaar;1483;97;Heilig-Hartziekenhuis;Lier;0.1544167
11004;2530;Boechout;2605;Tussen 15 en 64 jaar;1483;99;GZA ziekenhuizen;Antwerpen;0.4059339
11004;2530;Boechout;2605;Tussen 15 en 64 jaar;1483;300;UZ Antwerpen;Edegem;0.0815914
11004;2530;Boechout;2605;Tussen 15 en 64 jaar;1483;682;AZ Monica;Antwerpen;0.0930546
11004;2530;Boechout;2605;65 jaar en ouder;1014;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.0857988
11004;2530;Boechout;2605;65 jaar en ouder;1014;97;Heilig-Hartziekenhuis;Lier;0.1913215
11004;2530;Boechout;2605;65 jaar en ouder;1014;99;GZA ziekenhuizen;Antwerpen;0.5345168
11004;2530;Boechout;2605;65 jaar en ouder;1014;300;UZ Antwerpen;Edegem;0.0710059
11004;2530;Boechout;2605;65 jaar en ouder;1014;682;AZ Monica;Antwerpen;0.0532544
11005;2850;Boom;3637;Jonger dan 15 jaar;273;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.2161172
11005;2850;Boom;3637;Jonger dan 15 jaar;273;99;GZA ziekenhuizen;Antwerpen;0.0769231
11005;2850;Boom;3637;Jonger dan 15 jaar;273;300;UZ Antwerpen;Edegem;0.1062271
11005;2850;Boom;3637;Jonger dan 15 jaar;273;314;AZ Heilige Familie;Rumst;0.5018315
11005;2850;Boom;3637;Tussen 15 en 64 jaar;2085;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1021583
11005;2850;Boom;3637;Tussen 15 en 64 jaar;2085;99;GZA ziekenhuizen;Antwerpen;0.111271
11005;2850;Boom;3637;Tussen 15 en 64 jaar;2085;104;Sint-Jozefkliniek;Bornem;0.0513189
11005;2850;Boom;3637;Tussen 15 en 64 jaar;2085;300;UZ Antwerpen;Edegem;0.1064748
11005;2850;Boom;3637;Tussen 15 en 64 jaar;2085;314;AZ Heilige Familie;Rumst;0.5098321
11005;2850;Boom;3637;65 jaar en ouder;1279;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.0695856
11005;2850;Boom;3637;65 jaar en ouder;1279;99;GZA ziekenhuizen;Antwerpen;0.0860047
11005;2850;Boom;3637;65 jaar en ouder;1279;300;UZ Antwerpen;Edegem;0.0961689
11005;2850;Boom;3637;65 jaar en ouder;1279;314;AZ Heilige Familie;Rumst;0.6489445
11007;2150;Borsbeek;2291;Jonger dan 15 jaar;143;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.3986014
11007;2150;Borsbeek;2291;Jonger dan 15 jaar;143;99;GZA ziekenhuizen;Antwerpen;0.1468531
11007;2150;Borsbeek;2291;Jonger dan 15 jaar;143;300;UZ Antwerpen;Edegem;0.0629371
11007;2150;Borsbeek;2291;Jonger dan 15 jaar;143;682;AZ Monica;Antwerpen;0.3286713
11007;2150;Borsbeek;2291;Tussen 15 en 64 jaar;1227;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1809291
11007;2150;Borsbeek;2291;Tussen 15 en 64 jaar;1227;97;Heilig-Hartziekenhuis;Lier;0.0529747
11007;2150;Borsbeek;2291;Tussen 15 en 64 jaar;1227;99;GZA ziekenhuizen;Antwerpen;0.2200489
11007;2150;Borsbeek;2291;Tussen 15 en 64 jaar;1227;300;UZ Antwerpen;Edegem;0.0863896
11007;2150;Borsbeek;2291;Tussen 15 en 64 jaar;1227;682;AZ Monica;Antwerpen;0.3879381
11007;2150;Borsbeek;2291;65 jaar en ouder;921;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.2084691
11007;2150;Borsbeek;2291;65 jaar en ouder;921;99;GZA ziekenhuizen;Antwerpen;0.2062975
11007;2150;Borsbeek;2291;65 jaar en ouder;921;300;UZ Antwerpen;Edegem;0.0770901
11007;2150;Borsbeek;2291;65 jaar en ouder;921;682;AZ Monica;Antwerpen;0.4679696
11008;2930;Brasschaat;6827;Jonger dan 15 jaar;376;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1276596
11008;2930;Brasschaat;6827;Jonger dan 15 jaar;376;670;UZ Gent;Gent;0.0957447
11008;2930;Brasschaat;6827;Jonger dan 15 jaar;376;682;AZ Monica;Antwerpen;0.0638298
11008;2930;Brasschaat;6827;Jonger dan 15 jaar;376;710;AZ Klina;Brasschaat;0.587766
11008;2930;Brasschaat;6827;Tussen 15 en 64 jaar;3644;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.138584
11008;2930;Brasschaat;6827;Tussen 15 en 64 jaar;3644;99;GZA ziekenhuizen;Antwerpen;0.0889133
11008;2930;Brasschaat;6827;Tussen 15 en 64 jaar;3644;682;AZ Monica;Antwerpen;0.0913831
11008;2930;Brasschaat;6827;Tussen 15 en 64 jaar;3644;710;AZ Klina;Brasschaat;0.5535126
11008;2930;Brasschaat;6827;65 jaar en ouder;2807;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1585322
11008;2930;Brasschaat;6827;65 jaar en ouder;2807;99;GZA ziekenhuizen;Antwerpen;0.0904881
11008;2930;Brasschaat;6827;65 jaar en ouder;2807;682;AZ Monica;Antwerpen;0.0513003
11008;2930;Brasschaat;6827;65 jaar en ouder;2807;710;AZ Klina;Brasschaat;0.6063413
11009;2960;Brecht;5144;Jonger dan 15 jaar;257;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.0856031
11009;2960;Brecht;5144;Jonger dan 15 jaar;257;300;UZ Antwerpen;Edegem;0.0972763
11009;2960;Brecht;5144;Jonger dan 15 jaar;257;536;AZ Sint-Jozef Malle;Malle;0.3540856
11009;2960;Brecht;5144;Jonger dan 15 jaar;257;682;AZ Monica;Antwerpen;0.0817121
11009;2960;Brecht;5144;Jonger dan 15 jaar;257;710;AZ Klina;Brasschaat;0.2762646
11009;2960;Brecht;5144;Tussen 15 en 64 jaar;3129;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1182486
11009;2960;Brecht;5144;Tussen 15 en 64 jaar;3129;63;AZ Turnhout;Turnhout;0.0504954
11009;2960;Brecht;5144;Tussen 15 en 64 jaar;3129;99;GZA ziekenhuizen;Antwerpen;0.0706296
11009;2960;Brecht;5144;Tussen 15 en 64 jaar;3129;300;UZ Antwerpen;Edegem;0.0511345
11009;2960;Brecht;5144;Tussen 15 en 64 jaar;3129;536;AZ Sint-Jozef Malle;Malle;0.365612
11009;2960;Brecht;5144;Tussen 15 en 64 jaar;3129;682;AZ Monica;Antwerpen;0.0987536
11009;2960;Brecht;5144;Tussen 15 en 64 jaar;3129;710;AZ Klina;Brasschaat;0.2042186
11009;2960;Brecht;5144;65 jaar en ouder;1758;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1245734
11009;2960;Brecht;5144;65 jaar en ouder;1758;536;AZ Sint-Jozef Malle;Malle;0.4829352
11009;2960;Brecht;5144;65 jaar en ouder;1758;682;AZ Monica;Antwerpen;0.0881684
11009;2960;Brecht;5144;65 jaar en ouder;1758;710;AZ Klina;Brasschaat;0.1712173
11013;2650;Edegem;4633;Jonger dan 15 jaar;243;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.2469136
11013;2650;Edegem;4633;Jonger dan 15 jaar;243;99;GZA ziekenhuizen;Antwerpen;0.2016461
11013;2650;Edegem;4633;Jonger dan 15 jaar;243;300;UZ Antwerpen;Edegem;0.3209877
11013;2650;Edegem;4633;Jonger dan 15 jaar;243;670;UZ Gent;Gent;0.0699588
11013;2650;Edegem;4633;Tussen 15 en 64 jaar;2227;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1396498
11013;2650;Edegem;4633;Tussen 15 en 64 jaar;2227;99;GZA ziekenhuizen;Antwerpen;0.5168388
11013;2650;Edegem;4633;Tussen 15 en 64 jaar;2227;300;UZ Antwerpen;Edegem;0.1324652
11013;2650;Edegem;4633;Tussen 15 en 64 jaar;2227;682;AZ Monica;Antwerpen;0.0826224
