nis_code_patiënt;postcode_patiënt;gemeente_patiënt;leeftijdsgroep;erkenningsnummer_ziekenhuis;gemeente_ziekenhuis;naam_ziekenhuis;marktaandeel;totaal_aantal_patiënten_per_leeftijd_en_per_gemeente;totaal_patiënten_per_gemeente
11001;2630;Aartselaar;Kinderen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.2785714285714286;140;2587
11001;2630;Aartselaar;Kinderen;99;Antwerpen;GZA ziekenhuizen;0.1857142857142857;140;2587
11001;2630;Aartselaar;Kinderen;300;Edegem;UZ Antwerpen;0.09285714285714286;140;2587
11001;2630;Aartselaar;Kinderen;314;Rumst;AZ Heilige Familie;0.2785714285714286;140;2587
11001;2630;Aartselaar;Kinderen;403;Sint-Lambrechts-Woluwe;Cliniques Universitaires Saint-Luc;0.05;140;2587
11001;2630;Aartselaar;Actieven;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1392739273927393;1515;2587
11001;2630;Aartselaar;Actieven;99;Antwerpen;GZA ziekenhuizen;0.2039603960396039;1515;2587
11001;2630;Aartselaar;Actieven;300;Edegem;UZ Antwerpen;0.1696369636963696;1515;2587
11001;2630;Aartselaar;Actieven;314;Rumst;AZ Heilige Familie;0.337953795379538;1515;2587
11001;2630;Aartselaar;Actieven;682;Antwerpen;AZ Monica;0.06138613861386139;1515;2587
11001;2630;Aartselaar;Bejaarden;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1362660944206009;932;2587
11001;2630;Aartselaar;Bejaarden;99;Antwerpen;GZA ziekenhuizen;0.174892703862661;932;2587
11001;2630;Aartselaar;Bejaarden;300;Edegem;UZ Antwerpen;0.1126609442060086;932;2587
11001;2630;Aartselaar;Bejaarden;314;Rumst;AZ Heilige Familie;0.5118025751072961;932;2587
11002;2000;Antwerpen;Kinderen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.4983055634001695;7082;74770
11002;2000;Antwerpen;Kinderen;99;Antwerpen;GZA ziekenhuizen;0.1886472747811353;7082;74770
11002;2000;Antwerpen;Kinderen;682;Antwerpen;AZ Monica;0.1424738774357526;7082;74770
11002;2000;Antwerpen;Kinderen;710;Brasschaat;AZ Klina;0.05069189494493081;7082;74770
11002;2000;Antwerpen;Actieven;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.3932589592363628;42219;74770
11002;2000;Antwerpen;Actieven;99;Antwerpen;GZA ziekenhuizen;0.2639096141547644;42219;74770
11002;2000;Antwerpen;Actieven;300;Edegem;UZ Antwerpen;0.05284350647812596;42219;74770
11002;2000;Antwerpen;Actieven;682;Antwerpen;AZ Monica;0.1760108008242734;42219;74770
11002;2000;Antwerpen;Bejaarden;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.3862342455534179;25469;74770
11002;2000;Antwerpen;Bejaarden;99;Antwerpen;GZA ziekenhuizen;0.3015823157564098;25469;74770
11002;2000;Antwerpen;Bejaarden;300;Edegem;UZ Antwerpen;0.05693195649613255;25469;74770
11002;2000;Antwerpen;Bejaarden;682;Antwerpen;AZ Monica;0.1826534218069025;25469;74770
11004;2530;Boechout;Kinderen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1478260869565217;115;1705
11004;2530;Boechout;Kinderen;26;Mechelen;AZ Sint-Maarten;0.1652173913043478;115;1705
11004;2530;Boechout;Kinderen;97;Lier;H.-Hartziekenhuis Lier;0.1130434782608696;115;1705
11004;2530;Boechout;Kinderen;99;Antwerpen;GZA ziekenhuizen;0.4260869565217391;115;1705
11004;2530;Boechout;Kinderen;682;Antwerpen;AZ Monica;0.05217391304347826;115;1705
11004;2530;Boechout;Actieven;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.09699321047526673;1031;1705
11004;2530;Boechout;Actieven;26;Mechelen;AZ Sint-Maarten;0.06789524733268672;1031;1705
11004;2530;Boechout;Actieven;97;Lier;H.-Hartziekenhuis Lier;0.1687681862269641;1031;1705
11004;2530;Boechout;Actieven;99;Antwerpen;GZA ziekenhuizen;0.4131910766246363;1031;1705
11004;2530;Boechout;Actieven;300;Edegem;UZ Antwerpen;0.06207565470417071;1031;1705
11004;2530;Boechout;Actieven;682;Antwerpen;AZ Monica;0.1445198836081474;1031;1705
11004;2530;Boechout;Bejaarden;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.08407871198568873;559;1705
11004;2530;Boechout;Bejaarden;97;Lier;H.-Hartziekenhuis Lier;0.2432915921288014;559;1705
11004;2530;Boechout;Bejaarden;99;Antwerpen;GZA ziekenhuizen;0.4042933810375671;559;1705
11004;2530;Boechout;Bejaarden;300;Edegem;UZ Antwerpen;0.06976744186046512;559;1705
11004;2530;Boechout;Bejaarden;682;Antwerpen;AZ Monica;0.1270125223613596;559;1705
11005;2850;Boom;Kinderen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1365313653136531;271;3149
11005;2850;Boom;Kinderen;99;Antwerpen;GZA ziekenhuizen;0.06642066420664207;271;3149
11005;2850;Boom;Kinderen;300;Edegem;UZ Antwerpen;0.05535055350553506;271;3149
11005;2850;Boom;Kinderen;314;Rumst;AZ Heilige Familie;0.5424354243542435;271;3149
11005;2850;Boom;Actieven;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.07901907356948229;1835;3149
11005;2850;Boom;Actieven;99;Antwerpen;GZA ziekenhuizen;0.1138964577656676;1835;3149
11005;2850;Boom;Actieven;104;Bornem;Sint-Jozefkliniek;0.0555858310626703;1835;3149
11005;2850;Boom;Actieven;300;Edegem;UZ Antwerpen;0.09155313351498638;1835;3149
11005;2850;Boom;Actieven;314;Rumst;AZ Heilige Familie;0.5253405994550409;1835;3149
