code_ins_patient;code_postal_patient;commune_patient;classe_âge;numéro_agrément_hôpital;commune_hôpital;nom_hôpital;part_de_marché;total_par_classe_âge_et_commune_patient;total_par_commune_patient
11001;2630;Aartselaar;Enfants;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1788617886178862;123;2330
11001;2630;Aartselaar;Enfants;99;Anvers;GZA ziekenhuizen;0.3983739837398374;123;2330
11001;2630;Aartselaar;Enfants;300;Edegem;UZ Antwerpen;0.2113821138211382;123;2330
11001;2630;Aartselaar;Enfants;670;Gand;UZ Gent;0.05691056910569105;123;2330
11001;2630;Aartselaar;Actifs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1458333333333333;1056;2330
11001;2630;Aartselaar;Actifs;99;Anvers;GZA ziekenhuizen;0.2225378787878788;1056;2330
11001;2630;Aartselaar;Actifs;300;Edegem;UZ Antwerpen;0.237689393939394;1056;2330
11001;2630;Aartselaar;Actifs;314;Rumst;AZ Heilige Familie;0.2424242424242424;1056;2330
11001;2630;Aartselaar;Retraités;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.159860990443093;1151;2330
11001;2630;Aartselaar;Retraités;99;Anvers;GZA ziekenhuizen;0.158992180712424;1151;2330
11001;2630;Aartselaar;Retraités;300;Edegem;UZ Antwerpen;0.1911381407471764;1151;2330
11001;2630;Aartselaar;Retraités;314;Rumst;AZ Heilige Familie;0.3909643788010426;1151;2330
11002;2000;Anvers;Enfants;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.3947198136404814;7727;80497
11002;2000;Anvers;Enfants;99;Anvers;GZA ziekenhuizen;0.2856218454768992;7727;80497
11002;2000;Anvers;Enfants;300;Edegem;UZ Antwerpen;0.08450886501876537;7727;80497
11002;2000;Anvers;Enfants;682;Anvers;AZ Monica;0.1181571114274621;7727;80497
11002;2000;Anvers;Actifs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.3827628968253968;40320;80497
11002;2000;Anvers;Actifs;99;Anvers;GZA ziekenhuizen;0.2802827380952381;40320;80497
11002;2000;Anvers;Actifs;300;Edegem;UZ Antwerpen;0.09665178571428572;40320;80497
11002;2000;Anvers;Actifs;682;Anvers;AZ Monica;0.1218501984126984;40320;80497
11002;2000;Anvers;Retraités;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.4573189522342065;32450;80497
11002;2000;Anvers;Retraités;99;Anvers;GZA ziekenhuizen;0.2539907550077042;32450;80497
11002;2000;Anvers;Retraités;300;Edegem;UZ Antwerpen;0.06382126348228043;32450;80497
11002;2000;Anvers;Retraités;682;Anvers;AZ Monica;0.1392604006163328;32450;80497
11004;2530;Boechout;Enfants;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.0970873786407767;103;1730
11004;2530;Boechout;Enfants;97;Lierre;H.-Hartziekenhuis Lier;0.2233009708737864;103;1730
11004;2530;Boechout;Enfants;99;Anvers;GZA ziekenhuizen;0.4077669902912621;103;1730
11004;2530;Boechout;Enfants;300;Edegem;UZ Antwerpen;0.1941747572815534;103;1730
11004;2530;Boechout;Actifs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.09296781883194279;839;1730
11004;2530;Boechout;Actifs;97;Lierre;H.-Hartziekenhuis Lier;0.1847437425506555;839;1730
11004;2530;Boechout;Actifs;99;Anvers;GZA ziekenhuizen;0.4088200238379023;839;1730
11004;2530;Boechout;Actifs;300;Edegem;UZ Antwerpen;0.1132300357568534;839;1730
11004;2530;Boechout;Actifs;682;Anvers;AZ Monica;0.06912991656734208;839;1730
11004;2530;Boechout;Retraités;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1205583756345178;788;1730
11004;2530;Boechout;Retraités;97;Lierre;H.-Hartziekenhuis Lier;0.25;788;1730
11004;2530;Boechout;Retraités;99;Anvers;GZA ziekenhuizen;0.467005076142132;788;1730
11004;2530;Boechout;Retraités;300;Edegem;UZ Antwerpen;0.07868020304568528;788;1730
11005;2850;Boom;Enfants;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1809954751131222;221;3159
11005;2850;Boom;Enfants;99;Anvers;GZA ziekenhuizen;0.1900452488687783;221;3159
11005;2850;Boom;Enfants;143;Jette;UZ Brussel;0.06334841628959276;221;3159
11005;2850;Boom;Enfants;300;Edegem;UZ Antwerpen;0.2760180995475113;221;3159
11005;2850;Boom;Enfants;314;Rumst;AZ Heilige Familie;0.08597285067873303;221;3159
11005;2850;Boom;Enfants;322;Louvain;UZ Leuven;0.07239819004524888;221;3159
11005;2850;Boom;Actifs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.08846153846153847;1560;3159
11005;2850;Boom;Actifs;99;Anvers;GZA ziekenhuizen;0.1153846153846154;1560;3159
11005;2850;Boom;Actifs;300;Edegem;UZ Antwerpen;0.1583333333333333;1560;3159
11005;2850;Boom;Actifs;314;Rumst;AZ Heilige Familie;0.4487179487179487;1560;3159
11005;2850;Boom;Retraités;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.09216255442670537;1378;3159
11005;2850;Boom;Retraités;99;Anvers;GZA ziekenhuizen;0.05515239477503629;1378;3159
11005;2850;Boom;Retraités;300;Edegem;UZ Antwerpen;0.08925979680696662;1378;3159
11005;2850;Boom;Retraités;314;Rumst;AZ Heilige Familie;0.6785195936139332;1378;3159
11007;2150;Borsbeek;Enfants;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.147239263803681;163;1584
11007;2150;Borsbeek;Enfants;99;Anvers;GZA ziekenhuizen;0.1717791411042945;163;1584
11007;2150;Borsbeek;Enfants;322;Louvain;UZ Leuven;0.05521472392638037;163;1584
11007;2150;Borsbeek;Enfants;682;Anvers;AZ Monica;0.4294478527607362;163;1584
11007;2150;Borsbeek;Actifs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1997621878715815;841;1584
11007;2150;Borsbeek;Actifs;99;Anvers;GZA ziekenhuizen;0.2378121284185493;841;1584
11007;2150;Borsbeek;Actifs;300;Edegem;UZ Antwerpen;0.1177170035671819;841;1584
11007;2150;Borsbeek;Actifs;682;Anvers;AZ Monica;0.3531510107015458;841;1584
11007;2150;Borsbeek;Retraités;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.2568965517241379;580;1584
11007;2150;Borsbeek;Retraités;99;Anvers;GZA ziekenhuizen;0.1603448275862069;580;1584
11007;2150;Borsbeek;Retraités;300;Edegem;UZ Antwerpen;0.07758620689655173;580;1584
11007;2150;Borsbeek;Retraités;682;Anvers;AZ Monica;0.446551724137931;580;1584
11008;2930;Brasschaat;Enfants;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.09433962264150944;371;5656
11008;2930;Brasschaat;Enfants;300;Edegem;UZ Antwerpen;0.1051212938005391;371;5656
11008;2930;Brasschaat;Enfants;536;Malle;AZ Sint-Jozef Malle;0.05121293800539083;371;5656
11008;2930;Brasschaat;Enfants;710;Brasschaat;AZ Klina;0.6415094339622641;371;5656
11008;2930;Brasschaat;Actifs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1186063750926612;2698;5656
11008;2930;Brasschaat;Actifs;99;Anvers;GZA ziekenhuizen;0.07338769458858414;2698;5656
11008;2930;Brasschaat;Actifs;300;Edegem;UZ Antwerpen;0.09229058561897702;2698;5656
11008;2930;Brasschaat;Actifs;710;Brasschaat;AZ Klina;0.5674573758339511;2698;5656
11008;2930;Brasschaat;Retraités;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.09779667568612292;2587;5656
11008;2930;Brasschaat;Retraités;300;Edegem;UZ Antwerpen;0.07189795129493622;2587;5656
11008;2930;Brasschaat;Retraités;710;Brasschaat;AZ Klina;0.6551990722844995;2587;5656
11009;2960;Brecht;Enfants;300;Edegem;UZ Antwerpen;0.08093994778067885;383;4157
11009;2960;Brecht;Enfants;536;Malle;AZ Sint-Jozef Malle;0.597911227154047;383;4157
11009;2960;Brecht;Enfants;710;Brasschaat;AZ Klina;0.1879895561357702;383;4157
11009;2960;Brecht;Actifs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1174345076784101;2214;4157
11009;2960;Brecht;Actifs;99;Anvers;GZA ziekenhuizen;0.06955736224028906;2214;4157
11009;2960;Brecht;Actifs;300;Edegem;UZ Antwerpen;0.07000903342366757;2214;4157
11009;2960;Brecht;Actifs;536;Malle;AZ Sint-Jozef Malle;0.3888888888888889;2214;4157
11009;2960;Brecht;Actifs;682;Anvers;AZ Monica;0.07317073170731707;2214;4157
