nis_code_patiënt;postcode_patiënt;gemeente_patiënt;erkenningsnummer_ziekenhuis;gemeente_ziekenhuis;naam_ziekenhuis;marktaandeel;totaal_patiënten_per_gemeente
11001;2630;Aartselaar;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1587006960556845;2155
11001;2630;Aartselaar;99;Antwerpen;GZA ziekenhuizen;0.1767981438515081;2155
11001;2630;Aartselaar;300;Edegem;UZ Antwerpen;0.1002320185614849;2155
11001;2630;Aartselaar;314;Rumst;AZ Heilige Familie;0.3916473317865429;2155
11001;2630;Aartselaar;682;Antwerpen;AZ Monica;0.06960556844547564;2155
11002;2000;Antwerpen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.40742177219398;72193
11002;2000;Antwerpen;99;Antwerpen;GZA ziekenhuizen;0.2122366434418849;72193
11002;2000;Antwerpen;100;Antwerpen;Sint-Vincentiusziekenhuis;0.05482526006676548;72193
11002;2000;Antwerpen;300;Edegem;UZ Antwerpen;0.05175016968404139;72193
11002;2000;Antwerpen;682;Antwerpen;AZ Monica;0.1747953402684471;72193
11004;2530;Boechout;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1005917159763314;1690
11004;2530;Boechout;26;Mechelen;AZ Sint-Maarten;0.0757396449704142;1690
11004;2530;Boechout;97;Lier;H.-Hartziekenhuis Lier;0.2011834319526627;1690
11004;2530;Boechout;99;Antwerpen;GZA ziekenhuizen;0.2798816568047337;1690
11004;2530;Boechout;100;Antwerpen;Sint-Vincentiusziekenhuis;0.1307692307692308;1690
11004;2530;Boechout;300;Edegem;UZ Antwerpen;0.06627218934911243;1690
11004;2530;Boechout;682;Antwerpen;AZ Monica;0.08698224852071006;1690
11005;2850;Boom;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.08964019851116625;3224
11005;2850;Boom;99;Antwerpen;GZA ziekenhuizen;0.0716501240694789;3224
11005;2850;Boom;300;Edegem;UZ Antwerpen;0.08933002481389578;3224
11005;2850;Boom;314;Rumst;AZ Heilige Familie;0.5983250620347395;3224
11007;2150;Borsbeek;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.2337905236907731;1604
11007;2150;Borsbeek;99;Antwerpen;GZA ziekenhuizen;0.1627182044887781;1604
11007;2150;Borsbeek;300;Edegem;UZ Antwerpen;0.05860349127182045;1604
11007;2150;Borsbeek;682;Antwerpen;AZ Monica;0.4195760598503741;1604
11008;2930;Brasschaat;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1621331424481031;5588
11008;2930;Brasschaat;99;Antwerpen;GZA ziekenhuizen;0.09073013600572656;5588
11008;2930;Brasschaat;682;Antwerpen;AZ Monica;0.08589835361488905;5588
11008;2930;Brasschaat;710;Brasschaat;AZ Klina;0.5526127415891195;5588
11009;2960;Brecht;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1476909007773205;4374
11009;2960;Brecht;99;Antwerpen;GZA ziekenhuizen;0.06904435299497028;4374
11009;2960;Brecht;536;Malle;AZ Sint-Jozef Malle;0.4202103337905807;4374
11009;2960;Brecht;682;Antwerpen;AZ Monica;0.09487882944673068;4374
11009;2960;Brecht;710;Brasschaat;AZ Klina;0.1492912665752172;4374
11013;2650;Edegem;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1495381062355658;3464
11013;2650;Edegem;99;Antwerpen;GZA ziekenhuizen;0.4792147806004619;3464
11013;2650;Edegem;100;Antwerpen;Sint-Vincentiusziekenhuis;0.0972863741339492;3464
11013;2650;Edegem;300;Edegem;UZ Antwerpen;0.1198036951501155;3464
11013;2650;Edegem;682;Antwerpen;AZ Monica;0.06784064665127021;3464
11016;2910;Essen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1336464560204953;2342
11016;2910;Essen;99;Antwerpen;GZA ziekenhuizen;0.1050384286934244;2342
11016;2910;Essen;536;Malle;AZ Sint-Jozef Malle;0.05935098206660974;2342
11016;2910;Essen;710;Brasschaat;AZ Klina;0.558070025619129;2342
11018;2620;Hemiksem;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.2024739583333333;1536
11018;2620;Hemiksem;99;Antwerpen;GZA ziekenhuizen;0.142578125;1536
