nis_code_patiënt;postcode_patiënt;gemeente_patiënt;aantal_verblijven_per_gemeente_patient;klasse;aantal_verblijven_per_leeftijd;erkenningsnummer_ziekenhuis;naam_ziekenhuis;gemeente_ziekenhuis;aantal_verblijven_per_ziekenhuis_gemeente_patient_leeftijd;marktaandeel
11001;2630;Aartselaar;2361;Jonger dan 15 jaar;127;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;29;0.2283465
11001;2630;Aartselaar;2361;Jonger dan 15 jaar;127;99;GZA ziekenhuizen;Antwerpen;36;0.2834646
11001;2630;Aartselaar;2361;Jonger dan 15 jaar;127;300;UZ Antwerpen;Edegem;47;0.3700787
11001;2630;Aartselaar;2361;Tussen 15 en 64 jaar;934;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;129;0.1381156
11001;2630;Aartselaar;2361;Tussen 15 en 64 jaar;934;26;AZ Sint-Maarten;Mechelen;19;0.0203426
11001;2630;Aartselaar;2361;Tussen 15 en 64 jaar;934;99;GZA ziekenhuizen;Antwerpen;216;0.2312634
11001;2630;Aartselaar;2361;Tussen 15 en 64 jaar;934;104;AZ Rivierenland;Rumst;6;0.006424
11001;2630;Aartselaar;2361;Tussen 15 en 64 jaar;934;236;Revalidatieziekenhuis RevArte;Edegem;7;0.0074946
11001;2630;Aartselaar;2361;Tussen 15 en 64 jaar;934;300;UZ Antwerpen;Edegem;256;0.2740899
11001;2630;Aartselaar;2361;Tussen 15 en 64 jaar;934;314;AZ Rivierenland;Rumst;195;0.2087794
11001;2630;Aartselaar;2361;Tussen 15 en 64 jaar;934;322;UZ Leuven;Leuven;12;0.012848
11001;2630;Aartselaar;2361;Tussen 15 en 64 jaar;934;682;AZ Monica;Antwerpen;58;0.0620985
11001;2630;Aartselaar;2361;Tussen 15 en 64 jaar;934;710;AZ Klina;Brasschaat;7;0.0074946
11001;2630;Aartselaar;2361;65 jaar en ouder;1300;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;178;0.1369231
11001;2630;Aartselaar;2361;65 jaar en ouder;1300;26;AZ Sint-Maarten;Mechelen;16;0.0123077
11001;2630;Aartselaar;2361;65 jaar en ouder;1300;99;GZA ziekenhuizen;Antwerpen;210;0.1615385
