code_ins;code_postal;commune_patient;nombre_de_séjours;numéro_agrément_hôpital;dénomination;commune_hôpital;part_de_marché
11001;2630;Aartselaar;2286;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1426072
11001;2630;Aartselaar;2286;99;GZA ziekenhuizen;Anvers;0.1977253
11001;2630;Aartselaar;2286;300;UZ Antwerpen;Edegem;0.2572178
11001;2630;Aartselaar;2286;314;AZ Heilige Familie;Rumst;0.2891514
11002;2000;Anvers;81080;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.4027504
11002;2000;Anvers;81080;99;GZA ziekenhuizen;Anvers;0.2676369
11002;2000;Anvers;81080;300;UZ Antwerpen;Edegem;0.0960533
11002;2000;Anvers;81080;682;AZ Monica;Anvers;0.1292181
11004;2530;Boechout;1738;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.0978136
11004;2530;Boechout;1738;97;Heilig-Hartziekenhuis;Lierre;0.1956272
11004;2530;Boechout;1738;99;GZA ziekenhuizen;Anvers;0.4102417
11004;2530;Boechout;1738;300;UZ Antwerpen;Edegem;0.1248562
11004;2530;Boechout;1738;682;AZ Monica;Anvers;0.0701956
11005;2850;Boom;3056;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.101767
11005;2850;Boom;3056;99;GZA ziekenhuizen;Anvers;0.1020942
11005;2850;Boom;3056;300;UZ Antwerpen;Edegem;0.1786649
11005;2850;Boom;3056;314;AZ Heilige Familie;Rumst;0.4859293
11007;2150;Borsbeek;1728;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1521991
11007;2150;Borsbeek;1728;99;GZA ziekenhuizen;Anvers;0.1996528
11007;2150;Borsbeek;1728;300;UZ Antwerpen;Edegem;0.1018519
11007;2150;Borsbeek;1728;682;AZ Monica;Anvers;0.4519676
11008;2930;Brasschaat;5757;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1066528
11008;2930;Brasschaat;5757;300;UZ Antwerpen;Edegem;0.0948411
11008;2930;Brasschaat;5757;710;AZ Klina;Brasschaat;0.6395692
11009;2960;Brecht;4467;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.0982762
11009;2960;Brecht;4467;99;GZA ziekenhuizen;Anvers;0.0566376
11009;2960;Brecht;4467;300;UZ Antwerpen;Edegem;0.0664876
11009;2960;Brecht;4467;536;AZ Sint-Jozef Malle;Malle;0.4410119
11009;2960;Brecht;4467;710;AZ Klina;Brasschaat;0.2140139
11013;2650;Edegem;3480;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1554598
11013;2650;Edegem;3480;99;GZA ziekenhuizen;Anvers;0.4704023
11013;2650;Edegem;3480;300;UZ Antwerpen;Edegem;0.2520115
11016;2910;Essen;2586;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.0858469
11016;2910;Essen;2586;300;UZ Antwerpen;Edegem;0.108662
11016;2910;Essen;2586;536;AZ Sint-Jozef Malle;Malle;0.0723125
11016;2910;Essen;2586;710;AZ Klina;Brasschaat;0.6024749
11018;2620;Hemiksem;1703;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1826189
11018;2620;Hemiksem;1703;99;GZA ziekenhuizen;Anvers;0.1978861
11018;2620;Hemiksem;1703;300;UZ Antwerpen;Edegem;0.2014093
11018;2620;Hemiksem;1703;314;AZ Heilige Familie;Rumst;0.3047563
11021;2540;Hove;1169;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1043627
11021;2540;Hove;1169;99;GZA ziekenhuizen;Anvers;0.5457656
11021;2540;Hove;1169;300;UZ Antwerpen;Edegem;0.1693755
11022;2920;Kalmthout;2615;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1078394
11022;2920;Kalmthout;2615;300;UZ Antwerpen;Edegem;0.1036329
11022;2920;Kalmthout;2615;536;AZ Sint-Jozef Malle;Malle;0.0562141
11022;2920;Kalmthout;2615;710;AZ Klina;Brasschaat;0.5873805
11023;2950;Kapellen (Anvers);3911;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1674763
11023;2950;Kapellen (Anvers);3911;300;UZ Antwerpen;Edegem;0.094605
11023;2950;Kapellen (Anvers);3911;710;AZ Klina;Brasschaat;0.5824597
11024;2550;Kontich;3059;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1085322
11024;2550;Kontich;3059;26;AZ Sint-Maarten;Malines;0.1153972
11024;2550;Kontich;3059;99;GZA ziekenhuizen;Anvers;0.3589408
11024;2550;Kontich;3059;300;UZ Antwerpen;Edegem;0.2553122
11025;2547;Lint;1185;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.064135
11025;2547;Lint;1185;26;AZ Sint-Maarten;Malines;0.3130802
11025;2547;Lint;1185;97;Heilig-Hartziekenhuis;Lierre;0.1485232
11025;2547;Lint;1185;99;GZA ziekenhuizen;Anvers;0.1814346
11025;2547;Lint;1185;300;UZ Antwerpen;Edegem;0.1864979
11029;2640;Mortsel;4076;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1467125
11029;2640;Mortsel;4076;99;GZA ziekenhuizen;Anvers;0.5978901
11029;2640;Mortsel;4076;300;UZ Antwerpen;Edegem;0.1334642
11030;2845;Niel;1732;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.108545
11030;2845;Niel;1732;99;GZA ziekenhuizen;Anvers;0.1426097
11030;2845;Niel;1732;300;UZ Antwerpen;Edegem;0.2113164
11030;2845;Niel;1732;314;AZ Heilige Familie;Rumst;0.4301386
11035;2520;Ranst;2911;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.0803847
11035;2520;Ranst;2911;97;Heilig-Hartziekenhuis;Lierre;0.3789076
11035;2520;Ranst;2911;99;GZA ziekenhuizen;Anvers;0.0796977
11035;2520;Ranst;2911;300;UZ Antwerpen;Edegem;0.1161113
11035;2520;Ranst;2911;536;AZ Sint-Jozef Malle;Malle;0.1332875
11035;2520;Ranst;2911;682;AZ Monica;Anvers;0.1150807
11037;2840;Rumst;2320;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.0823276
11037;2840;Rumst;2320;26;AZ Sint-Maarten;Malines;0.1771552
11037;2840;Rumst;2320;99;GZA ziekenhuizen;Anvers;0.1383621
11037;2840;Rumst;2320;300;UZ Antwerpen;Edegem;0.1594828
11037;2840;Rumst;2320;314;AZ Heilige Familie;Rumst;0.3133621
11038;2627;Schelle;1350;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1303704
11038;2627;Schelle;1350;99;GZA ziekenhuizen;Anvers;0.1392593
11038;2627;Schelle;1350;300;UZ Antwerpen;Edegem;0.1955556
11038;2627;Schelle;1350;314;AZ Heilige Familie;Rumst;0.4044444
11039;2970;Schilde;2952;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1128049
11039;2970;Schilde;2952;99;GZA ziekenhuizen;Anvers;0.1134824
11039;2970;Schilde;2952;300;UZ Antwerpen;Edegem;0.0775745
11039;2970;Schilde;2952;536;AZ Sint-Jozef Malle;Malle;0.3987127
11039;2970;Schilde;2952;682;AZ Monica;Anvers;0.1023035
11039;2970;Schilde;2952;710;AZ Klina;Brasschaat;0.1107724
11040;2900;Schoten;5406;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.4199038
11040;2900;Schoten;5406;99;GZA ziekenhuizen;Anvers;0.054384
11040;2900;Schoten;5406;300;UZ Antwerpen;Edegem;0.0714021
11040;2900;Schoten;5406;682;AZ Monica;Anvers;0.0828709
11040;2900;Schoten;5406;710;AZ Klina;Brasschaat;0.2765446
11044;2940;Stabroek;2902;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.2553411
11044;2940;Stabroek;2902;300;UZ Antwerpen;Edegem;0.1078567
11044;2940;Stabroek;2902;710;AZ Klina;Brasschaat;0.4958649
11050;2110;Wijnegem;1547;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1422107
11050;2110;Wijnegem;1547;99;GZA ziekenhuizen;Anvers;0.1001939
11050;2110;Wijnegem;1547;300;UZ Antwerpen;Edegem;0.1098901
11050;2110;Wijnegem;1547;536;AZ Sint-Jozef Malle;Malle;0.2307692
11050;2110;Wijnegem;1547;682;AZ Monica;Anvers;0.3160957
11052;2160;Wommelgem;2047;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1680508
