code_ins_patient;code_postal_patient;commune_patient;classe_âge;numéro_agrément_hôpital;commune_hôpital;nom_hôpital;part_de_marché;total_par_classe_âge_et_commune_patient;total_par_commune_patient
11001;2630;Aartselaar;Enfants;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.237410071942446;139;2273
11001;2630;Aartselaar;Enfants;99;Anvers;AZ Sint-Augustinus;0.2086330935251799;139;2273
11001;2630;Aartselaar;Enfants;300;Edegem;UZ Antwerpen;0.05035971223021583;139;2273
11001;2630;Aartselaar;Enfants;314;Rumst;AZ Heilige Familie;0.3884892086330936;139;2273
11001;2630;Aartselaar;Actifs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.162037037037037;1296;2273
11001;2630;Aartselaar;Actifs;99;Anvers;AZ Sint-Augustinus;0.1720679012345679;1296;2273
11001;2630;Aartselaar;Actifs;300;Edegem;UZ Antwerpen;0.1311728395061728;1296;2273
11001;2630;Aartselaar;Actifs;314;Rumst;AZ Heilige Familie;0.3333333333333333;1296;2273
11001;2630;Aartselaar;Actifs;682;Anvers;AZ Monica;0.07021604938271606;1296;2273
11001;2630;Aartselaar;Retraités;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1778042959427208;838;2273
11001;2630;Aartselaar;Retraités;99;Anvers;AZ Sint-Augustinus;0.1575178997613365;838;2273
11001;2630;Aartselaar;Retraités;100;Anvers;Sint-Vincentiusziekenhuis;0.05011933174224344;838;2273
11001;2630;Aartselaar;Retraités;300;Edegem;UZ Antwerpen;0.1563245823389021;838;2273
11001;2630;Aartselaar;Retraités;314;Rumst;AZ Heilige Familie;0.3902147971360382;838;2273
11002;2000;Anvers;Enfants;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.5062220804084238;6268;71043
11002;2000;Anvers;Enfants;99;Anvers;AZ Sint-Augustinus;0.08487555839183153;6268;71043
11002;2000;Anvers;Enfants;100;Anvers;Sint-Vincentiusziekenhuis;0.1013082322910019;6268;71043
11002;2000;Anvers;Enfants;682;Anvers;AZ Monica;0.1359285258455648;6268;71043
11002;2000;Anvers;Enfants;710;Brasschaat;AZ Klina;0.05472239948947032;6268;71043
11002;2000;Anvers;Actifs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.4017839094400647;39576;71043
11002;2000;Anvers;Actifs;99;Anvers;AZ Sint-Augustinus;0.1473115019203558;39576;71043
11002;2000;Anvers;Actifs;100;Anvers;Sint-Vincentiusziekenhuis;0.1026632302405498;39576;71043
11002;2000;Anvers;Actifs;300;Edegem;UZ Antwerpen;0.05515969274307661;39576;71043
11002;2000;Anvers;Actifs;682;Anvers;AZ Monica;0.1758894279361229;39576;71043
11002;2000;Anvers;Retraités;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.3924362077860232;25199;71043
11002;2000;Anvers;Retraités;99;Anvers;AZ Sint-Augustinus;0.1781816738759475;25199;71043
11002;2000;Anvers;Retraités;100;Anvers;Sint-Vincentiusziekenhuis;0.1089725782769158;25199;71043
11002;2000;Anvers;Retraités;300;Edegem;UZ Antwerpen;0.05889122584229533;25199;71043
11002;2000;Anvers;Retraités;682;Anvers;AZ Monica;0.1838168181277035;25199;71043
11004;2530;Boechout;Enfants;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1848739495798319;119;1660
11004;2530;Boechout;Enfants;26;Malines;AZ Sint-Maarten;0.1260504201680672;119;1660
11004;2530;Boechout;Enfants;97;Lierre;H.-Hartziekenhuis Lier;0.1428571428571428;119;1660
11004;2530;Boechout;Enfants;99;Anvers;AZ Sint-Augustinus;0.1764705882352941;119;1660
11004;2530;Boechout;Enfants;100;Anvers;Sint-Vincentiusziekenhuis;0.1596638655462185;119;1660
11004;2530;Boechout;Enfants;300;Edegem;UZ Antwerpen;0.05042016806722689;119;1660
11004;2530;Boechout;Enfants;314;Rumst;AZ Heilige Familie;0.05042016806722689;119;1660
11004;2530;Boechout;Actifs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.08661417322834646;1016;1660
11004;2530;Boechout;Actifs;26;Malines;AZ Sint-Maarten;0.07381889763779527;1016;1660
11004;2530;Boechout;Actifs;97;Lierre;H.-Hartziekenhuis Lier;0.187007874015748;1016;1660
11004;2530;Boechout;Actifs;99;Anvers;AZ Sint-Augustinus;0.2125984251968504;1016;1660
11004;2530;Boechout;Actifs;100;Anvers;Sint-Vincentiusziekenhuis;0.2303149606299213;1016;1660
11004;2530;Boechout;Actifs;300;Edegem;UZ Antwerpen;0.0610236220472441;1016;1660
11004;2530;Boechout;Actifs;682;Anvers;AZ Monica;0.08267716535433071;1016;1660
11004;2530;Boechout;Retraités;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.0838095238095238;525;1660
11004;2530;Boechout;Retraités;97;Lierre;H.-Hartziekenhuis Lier;0.2666666666666667;525;1660
11004;2530;Boechout;Retraités;99;Anvers;AZ Sint-Augustinus;0.1523809523809524;525;1660
11004;2530;Boechout;Retraités;100;Anvers;Sint-Vincentiusziekenhuis;0.2038095238095238;525;1660
11004;2530;Boechout;Retraités;300;Edegem;UZ Antwerpen;0.07809523809523809;525;1660
11004;2530;Boechout;Retraités;308;Herentals;AZ Sint-Elisabeth Herentals;0.05523809523809524;525;1660
11004;2530;Boechout;Retraités;682;Anvers;AZ Monica;0.06857142857142857;525;1660
11005;2850;Boom;Enfants;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1742424242424243;264;3252
11005;2850;Boom;Enfants;300;Edegem;UZ Antwerpen;0.06818181818181818;264;3252
11005;2850;Boom;Enfants;314;Rumst;AZ Heilige Familie;0.5643939393939394;264;3252
11005;2850;Boom;Actifs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.08406850025947069;1927;3252
11005;2850;Boom;Actifs;99;Anvers;AZ Sint-Augustinus;0.07939802802283343;1927;3252
11005;2850;Boom;Actifs;104;Bornem;Sint-Jozefkliniek;0.0508562532433835;1927;3252
11005;2850;Boom;Actifs;300;Edegem;UZ Antwerpen;0.09029579657498703;1927;3252
11005;2850;Boom;Actifs;314;Rumst;AZ Heilige Familie;0.5656460819927348;1927;3252
11005;2850;Boom;Retraités;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.08105560791705937;1061;3252
11005;2850;Boom;Retraités;99;Anvers;AZ Sint-Augustinus;0.05466540999057493;1061;3252
11005;2850;Boom;Retraités;300;Edegem;UZ Antwerpen;0.06974552309142319;1061;3252
11005;2850;Boom;Retraités;314;Rumst;AZ Heilige Familie;0.708765315739868;1061;3252
11007;2150;Borsbeek;Enfants;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.2298850574712644;87;1695
11007;2150;Borsbeek;Enfants;99;Anvers;AZ Sint-Augustinus;0.08045977011494253;87;1695
11007;2150;Borsbeek;Enfants;100;Anvers;Sint-Vincentiusziekenhuis;0.08045977011494253;87;1695
11007;2150;Borsbeek;Enfants;536;Malle;AZ Sint-Jozef Malle;0.08045977011494253;87;1695
11007;2150;Borsbeek;Enfants;682;Anvers;AZ Monica;0.3218390804597701;87;1695
11007;2150;Borsbeek;Actifs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.2292263610315186;1047;1695
11007;2150;Borsbeek;Actifs;99;Anvers;AZ Sint-Augustinus;0.1451766953199618;1047;1695
11007;2150;Borsbeek;Actifs;100;Anvers;Sint-Vincentiusziekenhuis;0.1327602674307545;1047;1695
11007;2150;Borsbeek;Actifs;682;Anvers;AZ Monica;0.3829990448901623;1047;1695
11007;2150;Borsbeek;Retraités;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.2442067736185383;561;1695
11007;2150;Borsbeek;Retraités;99;Anvers;AZ Sint-Augustinus;0.0784313725490196;561;1695
11007;2150;Borsbeek;Retraités;100;Anvers;Sint-Vincentiusziekenhuis;0.1443850267379679;561;1695
11007;2150;Borsbeek;Retraités;682;Anvers;AZ Monica;0.4705882352941176;561;1695
11008;2930;Brasschaat;Enfants;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1158536585365854;328;5978
11008;2930;Brasschaat;Enfants;682;Anvers;AZ Monica;0.0975609756097561;328;5978
11008;2930;Brasschaat;Enfants;710;Brasschaat;AZ Klina;0.6859756097560976;328;5978
11008;2930;Brasschaat;Actifs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1788235294117647;3400;5978
11008;2930;Brasschaat;Actifs;99;Anvers;AZ Sint-Augustinus;0.07705882352941176;3400;5978
