code_ins;code_postal;commune_patient;nombre_de_séjours;numéro_agrément_hôpital;dénomination;commune_hôpital;part_de_marché
11001;2630;Aartselaar;2178;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1437098
11001;2630;Aartselaar;2178;99;GZA ziekenhuizen;Anvers;0.2011019
11001;2630;Aartselaar;2178;300;UZ Antwerpen;Edegem;0.2603306
11001;2630;Aartselaar;2178;314;AZ Heilige Familie;Rumst;0.2855831
11002;2000;Anvers;80108;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.4010586
11002;2000;Anvers;80108;99;GZA ziekenhuizen;Anvers;0.2711215
11002;2000;Anvers;80108;300;UZ Antwerpen;Edegem;0.0928871
11002;2000;Anvers;80108;682;AZ Monica;Anvers;0.1303365
11004;2530;Boechout;1798;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.105673
11004;2530;Boechout;1798;97;Heilig-Hartziekenhuis;Lierre;0.2074527
11004;2530;Boechout;1798;99;GZA ziekenhuizen;Anvers;0.3904338
11004;2530;Boechout;1798;300;UZ Antwerpen;Edegem;0.1206897
11004;2530;Boechout;1798;682;AZ Monica;Anvers;0.0656285
11005;2850;Boom;2994;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1032064
11005;2850;Boom;2994;99;GZA ziekenhuizen;Anvers;0.0931864
11005;2850;Boom;2994;300;UZ Antwerpen;Edegem;0.1609886
11005;2850;Boom;2994;314;AZ Heilige Familie;Rumst;0.488978
11007;2150;Borsbeek;1658;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.159228
11007;2150;Borsbeek;1658;99;GZA ziekenhuizen;Anvers;0.1942099
11007;2150;Borsbeek;1658;300;UZ Antwerpen;Edegem;0.1037394
11007;2150;Borsbeek;1658;682;AZ Monica;Anvers;0.4475271
11008;2930;Brasschaat;5833;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1020058
11008;2930;Brasschaat;5833;300;UZ Antwerpen;Edegem;0.0941197
11008;2930;Brasschaat;5833;710;AZ Klina;Brasschaat;0.6562661
11009;2960;Brecht;4315;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.0971031
11009;2960;Brecht;4315;99;GZA ziekenhuizen;Anvers;0.0560834
11009;2960;Brecht;4315;300;UZ Antwerpen;Edegem;0.0711472
11009;2960;Brecht;4315;536;AZ Sint-Jozef Malle;Malle;0.4572422
11009;2960;Brecht;4315;682;AZ Monica;Anvers;0.0519119
11009;2960;Brecht;4315;710;AZ Klina;Brasschaat;0.1932793
11013;2650;Edegem;3425;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1570803
11013;2650;Edegem;3425;99;GZA ziekenhuizen;Anvers;0.4636496
11013;2650;Edegem;3425;300;UZ Antwerpen;Edegem;0.2429197
11016;2910;Essen;2420;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.0921488
11016;2910;Essen;2420;300;UZ Antwerpen;Edegem;0.0871901
11016;2910;Essen;2420;536;AZ Sint-Jozef Malle;Malle;0.0731405
11016;2910;Essen;2420;710;AZ Klina;Brasschaat;0.6144628
11018;2620;Hemiksem;1875;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.2218667
11018;2620;Hemiksem;1875;99;GZA ziekenhuizen;Anvers;0.1909333
11018;2620;Hemiksem;1875;300;UZ Antwerpen;Edegem;0.1781333
11018;2620;Hemiksem;1875;314;AZ Heilige Familie;Rumst;0.2949333
11021;2540;Hove;1186;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.0902192
11021;2540;Hove;1186;99;GZA ziekenhuizen;Anvers;0.5160202
11021;2540;Hove;1186;300;UZ Antwerpen;Edegem;0.2192243
11022;2920;Kalmthout;2521;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.099167
11022;2920;Kalmthout;2521;300;UZ Antwerpen;Edegem;0.111067
11022;2920;Kalmthout;2521;710;AZ Klina;Brasschaat;0.606902
11023;2950;Kapellen (Anvers);4003;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1633775
11023;2950;Kapellen (Anvers);4003;300;UZ Antwerpen;Edegem;0.0981764
11023;2950;Kapellen (Anvers);4003;710;AZ Klina;Brasschaat;0.5918061
11024;2550;Kontich;3037;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.0964768
11024;2550;Kontich;3037;26;AZ Sint-Maarten;Malines;0.1089891
11024;2550;Kontich;3037;99;GZA ziekenhuizen;Anvers;0.3938097
11024;2550;Kontich;3037;300;UZ Antwerpen;Edegem;0.2255515
11025;2547;Lint;1249;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.0640512
11025;2547;Lint;1249;26;AZ Sint-Maarten;Malines;0.3378703
11025;2547;Lint;1249;97;Heilig-Hartziekenhuis;Lierre;0.1385108
11025;2547;Lint;1249;99;GZA ziekenhuizen;Anvers;0.2001601
11025;2547;Lint;1249;300;UZ Antwerpen;Edegem;0.1361089
11029;2640;Mortsel;4039;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1621689
11029;2640;Mortsel;4039;99;GZA ziekenhuizen;Anvers;0.5984154
11029;2640;Mortsel;4039;300;UZ Antwerpen;Edegem;0.1128992
11030;2845;Niel;1774;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1296505
11030;2845;Niel;1774;99;GZA ziekenhuizen;Anvers;0.1273957
11030;2845;Niel;1774;300;UZ Antwerpen;Edegem;0.1719278
11030;2845;Niel;1774;314;AZ Heilige Familie;Rumst;0.4408117
11035;2520;Ranst;2798;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.078985
11035;2520;Ranst;2798;97;Heilig-Hartziekenhuis;Lierre;0.3620443
11035;2520;Ranst;2798;99;GZA ziekenhuizen;Anvers;0.0793424
11035;2520;Ranst;2798;300;UZ Antwerpen;Edegem;0.1172266
11035;2520;Ranst;2798;536;AZ Sint-Jozef Malle;Malle;0.1304503
11035;2520;Ranst;2798;682;AZ Monica;Anvers;0.1218728
11037;2840;Rumst;2337;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.0817287
