code_ins;code_postal;commune_patient;nombre_de_séjours;numéro_agrément_hôpital;dénomination;commune_hôpital;part_de_marché
11001;2630;Aartselaar;3124;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1584507
11001;2630;Aartselaar;3124;99;GZA ziekenhuizen;Anvers;0.2320743
11001;2630;Aartselaar;3124;300;UZ Antwerpen;Edegem;0.1366837
11001;2630;Aartselaar;3124;314;AZ Heilige Familie;Rumst;0.3418694
11002;2000;Anvers;90700;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.4018743
11002;2000;Anvers;90700;99;GZA ziekenhuizen;Anvers;0.2670783
11002;2000;Anvers;90700;300;UZ Antwerpen;Edegem;0.0641896
11002;2000;Anvers;90700;682;AZ Monica;Anvers;0.1659096
11004;2530;Boechout;2605;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.0902111
11004;2530;Boechout;2605;26;AZ Sint-Maarten;Malines;0.0840691
11004;2530;Boechout;2605;97;Heilig-Hartziekenhuis;Lierre;0.1700576
11004;2530;Boechout;2605;99;GZA ziekenhuizen;Anvers;0.4514395
11004;2530;Boechout;2605;300;UZ Antwerpen;Edegem;0.0775432
11004;2530;Boechout;2605;682;AZ Monica;Anvers;0.0763916
11005;2850;Boom;3637;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.0992576
11005;2850;Boom;3637;99;GZA ziekenhuizen;Anvers;0.0998075
11005;2850;Boom;3637;300;UZ Antwerpen;Edegem;0.102832
11005;2850;Boom;3637;314;AZ Heilige Familie;Rumst;0.5581523
11007;2150;Borsbeek;2291;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.2055871
11007;2150;Borsbeek;2291;99;GZA ziekenhuizen;Anvers;0.209952
11007;2150;Borsbeek;2291;300;UZ Antwerpen;Edegem;0.0811873
11007;2150;Borsbeek;2291;682;AZ Monica;Anvers;0.416412
11008;2930;Brasschaat;6827;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1461843
11008;2930;Brasschaat;6827;99;GZA ziekenhuizen;Anvers;0.086861
11008;2930;Brasschaat;6827;682;AZ Monica;Anvers;0.0733851
11008;2930;Brasschaat;6827;710;AZ Klina;Brasschaat;0.5771203
11009;2960;Brecht;5144;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1187792
11009;2960;Brecht;5144;99;GZA ziekenhuizen;Anvers;0.0598756
