code_ins_patient;code_postal_patient;commune_patient;numéro_agrément_hôpital;commune_hôpital;nom_hôpital;part_de_marché;total_par_commune_patient
11001;2630;Aartselaar;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1469445425644648;2831
11001;2630;Aartselaar;99;Anvers;GZA ziekenhuizen;0.1875662310137761;2831
11001;2630;Aartselaar;300;Edegem;UZ Antwerpen;0.1557753444012716;2831
11001;2630;Aartselaar;314;Rumst;AZ Heilige Familie;0.3903214411868597;2831
11002;2000;Anvers;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.4122869540208325;79971
11002;2000;Anvers;99;Anvers;GZA ziekenhuizen;0.2693851521176426;79971
11002;2000;Anvers;682;Anvers;AZ Monica;0.1667354415975791;79971
11004;2530;Boechout;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1046875;1920
11004;2530;Boechout;26;Malines;AZ Sint-Maarten;0.071875;1920
11004;2530;Boechout;97;Lierre;H.-Hartziekenhuis Lier;0.1744791666666667;1920
11004;2530;Boechout;99;Anvers;GZA ziekenhuizen;0.4614583333333334;1920
11004;2530;Boechout;300;Edegem;UZ Antwerpen;0.05885416666666667;1920
11004;2530;Boechout;682;Anvers;AZ Monica;0.07552083333333333;1920
11005;2850;Boom;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.09837003145553332;3497
11005;2850;Boom;99;Anvers;GZA ziekenhuizen;0.1046611381183872;3497
11005;2850;Boom;300;Edegem;UZ Antwerpen;0.08578781812982557;3497
11005;2850;Boom;314;Rumst;AZ Heilige Familie;0.5496139548184158;3497
11007;2150;Borsbeek;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.2850162866449512;1842
11007;2150;Borsbeek;99;Anvers;GZA ziekenhuizen;0.1981541802388708;1842
11007;2150;Borsbeek;682;Anvers;AZ Monica;0.4136807817589577;1842
11008;2930;Brasschaat;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1379033552737197;6229
11008;2930;Brasschaat;99;Anvers;GZA ziekenhuizen;0.0918285439075293;6229
11008;2930;Brasschaat;682;Anvers;AZ Monica;0.07930646973832076;6229
11008;2930;Brasschaat;710;Brasschaat;AZ Klina;0.6175951196018623;6229
11009;2960;Brecht;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1364769422517657;4814
11009;2960;Brecht;99;Anvers;GZA ziekenhuizen;0.08786871624428749;4814
11009;2960;Brecht;536;Malle;AZ Sint-Jozef Malle;0.4023680930619028;4814
11009;2960;Brecht;682;Anvers;AZ Monica;0.09160781055255504;4814
11009;2960;Brecht;710;Brasschaat;AZ Klina;0.161404237640216;4814
11013;2650;Edegem;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1528781793842035;3735
11013;2650;Edegem;99;Anvers;GZA ziekenhuizen;0.584471218206158;3735
11013;2650;Edegem;300;Edegem;UZ Antwerpen;0.1108433734939759;3735
11013;2650;Edegem;682;Anvers;AZ Monica;0.06720214190093708;3735
11016;2910;Essen;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1235090419392074;2599
11016;2910;Essen;99;Anvers;GZA ziekenhuizen;0.08695652173913043;2599
11016;2910;Essen;536;Malle;AZ Sint-Jozef Malle;0.061177375913813;2599
11016;2910;Essen;710;Brasschaat;AZ Klina;0.5975375144286263;2599
11018;2620;Hemiksem;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.2111922141119221;2055
11018;2620;Hemiksem;99;Anvers;GZA ziekenhuizen;0.1931873479318735;2055
11018;2620;Hemiksem;300;Edegem;UZ Antwerpen;0.06958637469586375;2055
11018;2620;Hemiksem;314;Rumst;AZ Heilige Familie;0.4077858880778589;2055
11021;2540;Hove;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1190661478599222;1285
11021;2540;Hove;99;Anvers;GZA ziekenhuizen;0.5447470817120622;1285
11021;2540;Hove;300;Edegem;UZ Antwerpen;0.0980544747081712;1285
11021;2540;Hove;682;Anvers;AZ Monica;0.09961089494163425;1285
11022;2920;Kalmthout;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1120556414219474;2588
11022;2920;Kalmthout;99;Anvers;GZA ziekenhuizen;0.08578052550231839;2588
11022;2920;Kalmthout;536;Malle;AZ Sint-Jozef Malle;0.0687789799072643;2588
11022;2920;Kalmthout;682;Anvers;AZ Monica;0.06916537867078826;2588
11022;2920;Kalmthout;710;Brasschaat;AZ Klina;0.5614374034003091;2588
11023;2950;Kapellen (Anvers);9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1758928571428572;4480
11023;2950;Kapellen (Anvers);99;Anvers;GZA ziekenhuizen;0.08950892857142857;4480
11023;2950;Kapellen (Anvers);300;Edegem;UZ Antwerpen;0.05200892857142857;4480
11023;2950;Kapellen (Anvers);682;Anvers;AZ Monica;0.09174107142857142;4480
11023;2950;Kapellen (Anvers);710;Brasschaat;AZ Klina;0.5424107142857143;4480
11024;2550;Kontich;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1008661637328863;3579
11024;2550;Kontich;26;Malines;AZ Sint-Maarten;0.1575859178541492;3579
11024;2550;Kontich;99;Anvers;GZA ziekenhuizen;0.3906119027661358;3579
11024;2550;Kontich;300;Edegem;UZ Antwerpen;0.1212629226040794;3579
11024;2550;Kontich;314;Rumst;AZ Heilige Familie;0.06985191394244203;3579
11024;2550;Kontich;682;Anvers;AZ Monica;0.07516065940206762;3579
11025;2547;Lint;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.06268011527377522;1388
11025;2547;Lint;26;Malines;AZ Sint-Maarten;0.3148414985590778;1388
11025;2547;Lint;97;Lierre;H.-Hartziekenhuis Lier;0.1246397694524496;1388
11025;2547;Lint;99;Anvers;GZA ziekenhuizen;0.2759365994236311;1388
11025;2547;Lint;300;Edegem;UZ Antwerpen;0.07997118155619597;1388
11025;2547;Lint;682;Anvers;AZ Monica;0.0569164265129683;1388
11029;2640;Mortsel;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1847089081131634;4277
11029;2640;Mortsel;99;Anvers;GZA ziekenhuizen;0.5908346972176759;4277
11029;2640;Mortsel;300;Edegem;UZ Antwerpen;0.05681552490063128;4277
11029;2640;Mortsel;682;Anvers;AZ Monica;0.07879354687865327;4277
11030;2845;Niel;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1149949341438703;1974
11030;2845;Niel;99;Anvers;GZA ziekenhuizen;0.1251266464032421;1974
11030;2845;Niel;300;Edegem;UZ Antwerpen;0.08156028368794327;1974
11030;2845;Niel;314;Rumst;AZ Heilige Familie;0.5577507598784195;1974
11035;2520;Ranst;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.09432082364662903;3011
11035;2520;Ranst;26;Malines;AZ Sint-Maarten;0.05413483892394554;3011
11035;2520;Ranst;97;Lierre;H.-Hartziekenhuis Lier;0.3012288276320159;3011
11035;2520;Ranst;99;Anvers;GZA ziekenhuizen;0.1086017934241116;3011
11035;2520;Ranst;300;Edegem;UZ Antwerpen;0.07638658253072068;3011
11035;2520;Ranst;536;Malle;AZ Sint-Jozef Malle;0.1238791099302557;3011
11035;2520;Ranst;682;Anvers;AZ Monica;0.1717037529060113;3011
11037;2840;Rumst;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.07511249567324334;2889
11037;2840;Rumst;26;Malines;AZ Sint-Maarten;0.1211491865697473;2889
11037;2840;Rumst;99;Anvers;GZA ziekenhuizen;0.1343025268258913;2889
11037;2840;Rumst;300;Edegem;UZ Antwerpen;0.07580477673935618;2889
11037;2840;Rumst;314;Rumst;AZ Heilige Familie;0.457251644167532;2889
11038;2627;Schelle;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1688235294117647;1700
11038;2627;Schelle;99;Anvers;GZA ziekenhuizen;0.1441176470588235;1700
11038;2627;Schelle;300;Edegem;UZ Antwerpen;0.09411764705882353;1700
11038;2627;Schelle;314;Rumst;AZ Heilige Familie;0.4888235294117647;1700
11039;2970;Schilde;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1681608258625374;3681
11039;2970;Schilde;99;Anvers;GZA ziekenhuizen;0.1735941320293398;3681
11039;2970;Schilde;536;Malle;AZ Sint-Jozef Malle;0.3270850312415104;3681
11039;2970;Schilde;682;Anvers;AZ Monica;0.1578375441456126;3681
11039;2970;Schilde;710;Brasschaat;AZ Klina;0.07769627818527575;3681
11040;2900;Schoten;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.4205378973105134;6135
11040;2900;Schoten;99;Anvers;GZA ziekenhuizen;0.09470252648736756;6135
11040;2900;Schoten;682;Anvers;AZ Monica;0.1687041564792176;6135
11040;2900;Schoten;710;Brasschaat;AZ Klina;0.2166259168704157;6135
11044;2940;Stabroek;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.2458256029684601;3234
11044;2940;Stabroek;99;Anvers;GZA ziekenhuizen;0.09554730983302412;3234
11044;2940;Stabroek;300;Edegem;UZ Antwerpen;0.05225726654298083;3234
11044;2940;Stabroek;682;Anvers;AZ Monica;0.1178107606679035;3234
11044;2940;Stabroek;710;Brasschaat;AZ Klina;0.4523809523809524;3234
11050;2110;Wijnegem;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1747311827956989;1488
11050;2110;Wijnegem;99;Anvers;GZA ziekenhuizen;0.1182795698924731;1488
11050;2110;Wijnegem;536;Malle;AZ Sint-Jozef Malle;0.1995967741935484;1488
11050;2110;Wijnegem;682;Anvers;AZ Monica;0.3763440860215054;1488
11052;2160;Wommelgem;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1933560477001704;2348
11052;2160;Wommelgem;97;Lierre;H.-Hartziekenhuis Lier;0.05238500851788756;2348
11052;2160;Wommelgem;99;Anvers;GZA ziekenhuizen;0.1835604770017036;2348
11052;2160;Wommelgem;682;Anvers;AZ Monica;0.4463373083475298;2348
11053;2990;Wuustwezel;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.135894699395233;2811
11053;2990;Wuustwezel;536;Malle;AZ Sint-Jozef Malle;0.2746353610814657;2811
11053;2990;Wuustwezel;682;Anvers;AZ Monica;0.05407328352899324;2811
11053;2990;Wuustwezel;710;Brasschaat;AZ Klina;0.4076840981856991;2811
11054;2240;Zandhoven;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.08027079303675048;2068
11054;2240;Zandhoven;97;Lierre;H.-Hartziekenhuis Lier;0.2470986460348162;2068
11054;2240;Zandhoven;99;Anvers;GZA ziekenhuizen;0.1000967117988395;2068
11054;2240;Zandhoven;308;Herentals;AZ Sint-Elisabeth Herentals;0.1112185686653772;2068
11054;2240;Zandhoven;536;Malle;AZ Sint-Jozef Malle;0.2074468085106383;2068
11054;2240;Zandhoven;682;Anvers;AZ Monica;0.07930367504835589;2068
11055;2980;Zoersel;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.09105960264900662;3624
11055;2980;Zoersel;99;Anvers;GZA ziekenhuizen;0.08471302428256071;3624
11055;2980;Zoersel;536;Malle;AZ Sint-Jozef Malle;0.58719646799117;3624
11055;2980;Zoersel;682;Anvers;AZ Monica;0.1181015452538631;3624
11056;2070;Zwijndrecht;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.2026614915442196;3607
11056;2070;Zwijndrecht;99;Anvers;GZA ziekenhuizen;0.3432215137233158;3607
11056;2070;Zwijndrecht;300;Edegem;UZ Antwerpen;0.06736900471305794;3607
11056;2070;Zwijndrecht;595;Saint-Nicolas (Flandre orienta;AZ Nikolaas;0.2265040199611866;3607
11056;2070;Zwijndrecht;682;Anvers;AZ Monica;0.1028555586359856;3607
11057;2390;Malle;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.0745240988254354;2469
11057;2390;Malle;63;Turnhout;AZ Turnhout;0.07614418793033617;2469
11057;2390;Malle;99;Anvers;GZA ziekenhuizen;0.0583232077764277;2469
11057;2390;Malle;536;Malle;AZ Sint-Jozef Malle;0.6180639935196436;2469
11057;2390;Malle;682;Anvers;AZ Monica;0.0749291211016606;2469
12002;2590;Berlaar;26;Malines;AZ Sint-Maarten;0.1165570830842797;1673
12002;2590;Berlaar;97;Lierre;H.-Hartziekenhuis Lier;0.5821876867901973;1673
12002;2590;Berlaar;689;Bonheiden;Imelda Ziekenhuis;0.09145248057381948;1673
12005;2820;Bonheiden;26;Malines;AZ Sint-Maarten;0.1088280060882801;2628
12005;2820;Bonheiden;322;Louvain;UZ Leuven;0.05289193302891933;2628
12005;2820;Bonheiden;689;Bonheiden;Imelda Ziekenhuis;0.7538051750380518;2628
12007;2880;Bornem;12;Termonde;AZ Sint-Blasius;0.06514404360238775;3853
12007;2880;Bornem;104;Bornem;Sint-Jozefkliniek;0.579807941863483;3853
12007;2880;Bornem;314;Rumst;AZ Heilige Familie;0.06099143524526343;3853
12007;2880;Bornem;595;Saint-Nicolas (Flandre orienta;AZ Nikolaas;0.1027770568388269;3853
12009;2570;Duffel;26;Malines;AZ Sint-Maarten;0.6988130563798219;2696
12009;2570;Duffel;97;Lierre;H.-Hartziekenhuis Lier;0.08753709198813056;2696
12014;2220;Heist-op-den-Berg;26;Malines;AZ Sint-Maarten;0.07720930232558139;6450
12014;2220;Heist-op-den-Berg;97;Lierre;H.-Hartziekenhuis Lier;0.2438759689922481;6450
12014;2220;Heist-op-den-Berg;322;Louvain;UZ Leuven;0.09565891472868217;6450
12014;2220;Heist-op-den-Berg;689;Bonheiden;Imelda Ziekenhuis;0.4189147286821706;6450
12021;2500;Lierre;26;Malines;AZ Sint-Maarten;0.1470470869912211;5012
12021;2500;Lierre;97;Lierre;H.-Hartziekenhuis Lier;0.6069433359936153;5012
12021;2500;Lierre;99;Anvers;GZA ziekenhuizen;0.05207501995211492;5012
12025;2800;Malines;26;Malines;AZ Sint-Maarten;0.5743569449940641;12635
12025;2800;Malines;322;Louvain;UZ Leuven;0.0594380688563514;12635
12025;2800;Malines;689;Bonheiden;Imelda Ziekenhuis;0.2245350217649387;12635
12026;2560;Nijlen;26;Malines;AZ Sint-Maarten;0.1080357142857143;3360
12026;2560;Nijlen;97;Lierre;H.-Hartziekenhuis Lier;0.5529761904761905;3360
12026;2560;Nijlen;99;Anvers;GZA ziekenhuizen;0.06369047619047619;3360
12026;2560;Nijlen;308;Herentals;AZ Sint-Elisabeth Herentals;0.05892857142857143;3360
12026;2560;Nijlen;682;Anvers;AZ Monica;0.05029761904761905;3360
12029;2580;Putte;26;Malines;AZ Sint-Maarten;0.1212364512244079;2491
12029;2580;Putte;97;Lierre;H.-Hartziekenhuis Lier;0.1196306704134886;2491
12029;2580;Putte;322;Louvain;UZ Leuven;0.06784423926134082;2491
12029;2580;Putte;689;Bonheiden;Imelda Ziekenhuis;0.5772782015254918;2491
12030;2870;Puurs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.06818993216708319;2801
12030;2870;Puurs;104;Bornem;Sint-Jozefkliniek;0.4105676544091396;2801
12030;2870;Puurs;300;Edegem;UZ Antwerpen;0.05248125669403784;2801
12030;2870;Puurs;314;Rumst;AZ Heilige Familie;0.2213495180292753;2801
12034;2890;Sint-Amands;12;Termonde;AZ Sint-Blasius;0.2307167235494881;1465
12034;2890;Sint-Amands;104;Bornem;Sint-Jozefkliniek;0.4498293515358362;1465
12034;2890;Sint-Amands;314;Rumst;AZ Heilige Familie;0.05460750853242321;1465
12035;2860;Sint-Katelijne-Waver;26;Malines;AZ Sint-Maarten;0.4931129476584022;3630
12035;2860;Sint-Katelijne-Waver;322;Louvain;UZ Leuven;0.05922865013774105;3630
12035;2860;Sint-Katelijne-Waver;689;Bonheiden;Imelda Ziekenhuis;0.3247933884297521;3630
12040;2830;Willebroek;26;Malines;AZ Sint-Maarten;0.132032667876588;4408
12040;2830;Willebroek;104;Bornem;Sint-Jozefkliniek;0.3523139745916515;4408
12040;2830;Willebroek;314;Rumst;AZ Heilige Familie;0.2413793103448276;4408
13001;2370;Arendonk;63;Turnhout;AZ Turnhout;0.7958023611718409;2287
13002;2387;Baerle-Duc;63;Turnhout;AZ Turnhout;0.8601398601398601;429
13003;2490;Balen;102;Mol;H. Hartziekenhuis Mol;0.5458385093167701;4025
13003;2490;Balen;322;Louvain;UZ Leuven;0.05614906832298137;4025
13003;2490;Balen;709;Geel;AZ St.-Dimpna;0.1816149068322981;4025
13003;2490;Balen;719;Overpelt;Mariaziekenhuis Noord-Limburg;0.07677018633540372;4025
13004;2340;Beerse;63;Turnhout;AZ Turnhout;0.7602125539687812;3011
13004;2340;Beerse;536;Malle;AZ Sint-Jozef Malle;0.06177349717701761;3011
13006;2480;Dessel;63;Turnhout;AZ Turnhout;0.1511701454775459;1581
13006;2480;Dessel;102;Mol;H. Hartziekenhuis Mol;0.5256166982922201;1581
13006;2480;Dessel;322;Louvain;UZ Leuven;0.06261859582542695;1581
13006;2480;Dessel;709;Geel;AZ St.-Dimpna;0.1714104996837445;1581
13008;2440;Geel;63;Turnhout;AZ Turnhout;0.05077871512005191;6164
13008;2440;Geel;322;Louvain;UZ Leuven;0.05710577547047372;6164
13008;2440;Geel;709;Geel;AZ St.-Dimpna;0.7068462037637897;6164
13010;2280;Grobbendonk;97;Lierre;H.-Hartziekenhuis Lier;0.2259083728278041;1899
13010;2280;Grobbendonk;308;Herentals;AZ Sint-Elisabeth Herentals;0.4349657714586624;1899
13011;2200;Herentals;97;Lierre;H.-Hartziekenhuis Lier;0.08466819221967964;4807
13011;2200;Herentals;308;Herentals;AZ Sint-Elisabeth Herentals;0.6407322654462243;4807
13012;2270;Herenthout;97;Lierre;H.-Hartziekenhuis Lier;0.3308504034761018;1611
13012;2270;Herenthout;308;Herentals;AZ Sint-Elisabeth Herentals;0.3743016759776536;1611
13012;2270;Herenthout;689;Bonheiden;Imelda Ziekenhuis;0.07883302296710118;1611
13013;2230;Herselt;109;Tirlemont;Regionaal Ziekenhuis Heilig Hart Tienen;0.2023073753605274;2427
13013;2230;Herselt;308;Herentals;AZ Sint-Elisabeth Herentals;0.1009476720230738;2427
13013;2230;Herselt;322;Louvain;UZ Leuven;0.2480428512566955;2427
13013;2230;Herselt;689;Bonheiden;Imelda Ziekenhuis;0.1714050267820354;2427
13013;2230;Herselt;709;Geel;AZ St.-Dimpna;0.1170168932838896;2427
13014;2320;Hoogstraten;63;Turnhout;AZ Turnhout;0.7172395967950375;3869
13014;2320;Hoogstraten;536;Malle;AZ Sint-Jozef Malle;0.1134660118893771;3869
13016;2235;Hulshout;97;Lierre;H.-Hartziekenhuis Lier;0.1819767441860465;1720
13016;2235;Hulshout;109;Tirlemont;Regionaal Ziekenhuis Heilig Hart Tienen;0.06511627906976744;1720
13016;2235;Hulshout;308;Herentals;AZ Sint-Elisabeth Herentals;0.1255813953488372;1720
13016;2235;Hulshout;322;Louvain;UZ Leuven;0.1604651162790698;1720
13016;2235;Hulshout;689;Bonheiden;Imelda Ziekenhuis;0.3279069767441861;1720
13017;2460;Kasterlee;63;Turnhout;AZ Turnhout;0.5462233887430737;3429
13017;2460;Kasterlee;308;Herentals;AZ Sint-Elisabeth Herentals;0.2385535141440653;3429
13017;2460;Kasterlee;709;Geel;AZ St.-Dimpna;0.06969962088072325;3429
13019;2275;Lille;63;Turnhout;AZ Turnhout;0.4347249834327369;3018
13019;2275;Lille;308;Herentals;AZ Sint-Elisabeth Herentals;0.2886017229953612;3018
13019;2275;Lille;322;Louvain;UZ Leuven;0.05036447978793903;3018
13019;2275;Lille;536;Malle;AZ Sint-Jozef Malle;0.05069582504970179;3018
13021;2450;Meerhout;102;Mol;H. Hartziekenhuis Mol;0.2384526558891455;1732
13021;2450;Meerhout;709;Geel;AZ St.-Dimpna;0.5103926096997691;1732
13023;2330;Merksplas;63;Turnhout;AZ Turnhout;0.8468227424749164;1495
13025;2400;Mol;63;Turnhout;AZ Turnhout;0.06108897742363878;6024
13025;2400;Mol;102;Mol;H. Hartziekenhuis Mol;0.6020916334661355;6024
13025;2400;Mol;322;Louvain;UZ Leuven;0.06540504648074369;6024
13025;2400;Mol;709;Geel;AZ St.-Dimpna;0.1485723771580345;6024
13029;2250;Olen;63;Turnhout;AZ Turnhout;0.05301914580265096;2037
13029;2250;Olen;97;Lierre;H.-Hartziekenhuis Lier;0.0662739322533137;2037
13029;2250;Olen;308;Herentals;AZ Sint-Elisabeth Herentals;0.5321551300932744;2037
13029;2250;Olen;709;Geel;AZ St.-Dimpna;0.1885125184094256;2037
13031;2360;Oud-Turnhout;63;Turnhout;AZ Turnhout;0.8605610561056105;2424
13035;2380;Ravels;63;Turnhout;AZ Turnhout;0.8796913363732024;2851
13036;2470;Retie;63;Turnhout;AZ Turnhout;0.5533256880733946;1744
13036;2470;Retie;102;Mol;H. Hartziekenhuis Mol;0.2511467889908257;1744
13036;2470;Retie;709;Geel;AZ St.-Dimpna;0.09002293577981652;1744
13037;2310;Rijkevorsel;63;Turnhout;AZ Turnhout;0.570704744357439;2171
13037;2310;Rijkevorsel;322;Louvain;UZ Leuven;0.05757715338553662;2171
13037;2310;Rijkevorsel;536;Malle;AZ Sint-Jozef Malle;0.2229387379087978;2171
13040;2300;Turnhout;63;Turnhout;AZ Turnhout;0.8641289981496167;7566
13044;2290;Vorselaar;63;Turnhout;AZ Turnhout;0.07013738250180766;1383
13044;2290;Vorselaar;97;Lierre;H.-Hartziekenhuis Lier;0.09038322487346348;1383
13044;2290;Vorselaar;308;Herentals;AZ Sint-Elisabeth Herentals;0.5408532176428055;1383
13044;2290;Vorselaar;322;Louvain;UZ Leuven;0.0636297903109183;1383
13046;2350;Vosselaar;63;Turnhout;AZ Turnhout;0.7609994568169474;1841
13046;2350;Vosselaar;322;Louvain;UZ Leuven;0.0706137968495383;1841
13049;2260;Westerlo;97;Lierre;H.-Hartziekenhuis Lier;0.0607601065117405;4131
13049;2260;Westerlo;308;Herentals;AZ Sint-Elisabeth Herentals;0.3311546840958606;4131
13049;2260;Westerlo;322;Louvain;UZ Leuven;0.1203098523359961;4131
13049;2260;Westerlo;709;Geel;AZ St.-Dimpna;0.270878721859114;4131
13053;2430;Laakdal;243;Hasselt;Jessa Ziekenhuis;0.0569164265129683;2776
13053;2430;Laakdal;322;Louvain;UZ Leuven;0.1307636887608069;2776
13053;2430;Laakdal;709;Geel;AZ St.-Dimpna;0.5151296829971181;2776
13053;2430;Laakdal;712;Diest;AZ Diest;0.1246397694524496;2776
21001;1070;Anderlecht;76;Bruxelles;CHU Saint-Pierre;0.07461263408820024;12585
21001;1070;Anderlecht;87;Etterbeek;Hôpitaux Iris Sud;0.1820421136273341;12585
21001;1070;Anderlecht;332;Uccle;Centre Hospitalier Interrégional Édith Cavell;0.06356773937226858;12585
21001;1070;Anderlecht;406;Anderlecht;Cliniques Universitaires de Bruxelles – Hôpital Érasme;0.2246324990067541;12585
21001;1070;Anderlecht;723;Anderlecht;Centre Hospitalier Interrégional Édith Cavell;0.2021454112038141;12585
21002;1160;Auderghem;76;Bruxelles;CHU Saint-Pierre;0.05298013245033113;3171
21002;1160;Auderghem;87;Etterbeek;Hôpitaux Iris Sud;0.1292967518133081;3171
21002;1160;Auderghem;111;Uccle;Cliniques de l'Europe;0.1772311573636077;3171
21002;1160;Auderghem;332;Uccle;Centre Hospitalier Interrégional Édith Cavell;0.1945758435824661;3171
21002;1160;Auderghem;403;Woluwe-Saint-Lambert;Cliniques Universitaires Saint-Luc;0.239356669820246;3171
21003;1082;Berchem-Sainte-Agathe;76;Bruxelles;CHU Saint-Pierre;0.05848513902205178;2086
