code_ins;code_postal;commune_patient;nombre_de_séjours;classe;nombre_de_séjours.1;numéro_agrément_hôpital;dénomination;commune_hôpital;nombre_de_séjours.2;part_de_marché
11001;2630;Aartselaar;2214;Moins de 15 ans;115;9;Ziekenhuisnetwerk Antwerpen;Anvers;16;0.1391304
11001;2630;Aartselaar;2214;Moins de 15 ans;115;99;GZA ziekenhuizen;Anvers;34;0.2956522
11001;2630;Aartselaar;2214;Moins de 15 ans;115;300;UZ Antwerpen;Edegem;50;0.4347826
11001;2630;Aartselaar;2214;De 15 à 64 ans;879;9;Ziekenhuisnetwerk Antwerpen;Anvers;137;0.1558589
11001;2630;Aartselaar;2214;De 15 à 64 ans;879;26;AZ Sint-Maarten;Malines;27;0.0307167
11001;2630;Aartselaar;2214;De 15 à 64 ans;879;97;Heilig-Hartziekenhuis;Lierre;5;0.0056883
11001;2630;Aartselaar;2214;De 15 à 64 ans;879;99;GZA ziekenhuizen;Anvers;182;0.2070535
11001;2630;Aartselaar;2214;De 15 à 64 ans;879;104;AZ Rivierenland;Rumst;150;0.1706485
11001;2630;Aartselaar;2214;De 15 à 64 ans;879;126;Onze-Lieve-Vrouwziekenhuis;Alost (Flandre orientale);6;0.0068259
11001;2630;Aartselaar;2214;De 15 à 64 ans;879;143;UZ Brussel;Jette;6;0.0068259
11001;2630;Aartselaar;2214;De 15 à 64 ans;879;300;UZ Antwerpen;Edegem;273;0.3105802
11001;2630;Aartselaar;2214;De 15 à 64 ans;879;322;UZ Leuven;Louvain;20;0.0227531
11001;2630;Aartselaar;2214;De 15 à 64 ans;879;682;AZ Monica;Anvers;42;0.0477816
11001;2630;Aartselaar;2214;De 15 à 64 ans;879;710;AZ Klina;Brasschaat;5;0.0056883
11001;2630;Aartselaar;2214;65 ans et plus;1220;9;Ziekenhuisnetwerk Antwerpen;Anvers;191;0.1565574
11001;2630;Aartselaar;2214;65 ans et plus;1220;26;AZ Sint-Maarten;Malines;14;0.0114754
11001;2630;Aartselaar;2214;65 ans et plus;1220;99;GZA ziekenhuizen;Anvers;167;0.1368852
11001;2630;Aartselaar;2214;65 ans et plus;1220;104;AZ Rivierenland;Rumst;515;0.4221311
11001;2630;Aartselaar;2214;65 ans et plus;1220;300;UZ Antwerpen;Edegem;280;0.2295082
11001;2630;Aartselaar;2214;65 ans et plus;1220;322;UZ Leuven;Louvain;11;0.0090164
11001;2630;Aartselaar;2214;65 ans et plus;1220;682;AZ Monica;Anvers;18;0.0147541
11002;2000;Anvers;78293;Moins de 15 ans;8163;9;Ziekenhuisnetwerk Antwerpen;Anvers;3114;0.3814774
11002;2000;Anvers;78293;Moins de 15 ans;8163;26;AZ Sint-Maarten;Malines;11;0.0013475
