nis_code_patiënt;postcode_patiënt;gemeente_patiënt;aantal_verblijven_per_gemeente;erkenningsnummer_ziekenhuis;naam_ziekenhuis;gemeente_ziekenhuis;aantal_verblijven_per_ziekenhuis_gemeente_patient;marktaandeel
11001;2630;Aartselaar;2361;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;336;0.1423126
11001;2630;Aartselaar;2361;26;AZ Sint-Maarten;Mechelen;36;0.0152478
11001;2630;Aartselaar;2361;97;Heilig-Hartziekenhuis;Lier;6;0.0025413
11001;2630;Aartselaar;2361;99;GZA ziekenhuizen;Antwerpen;462;0.1956798
11001;2630;Aartselaar;2361;104;AZ Rivierenland;Rumst;9;0.0038119
11001;2630;Aartselaar;2361;126;Onze-Lieve-Vrouwziekenhuis;Aalst (Oost-Vlaanderen);5;0.0021177
11001;2630;Aartselaar;2361;236;Revalidatieziekenhuis RevArte;Edegem;48;0.0203304
11001;2630;Aartselaar;2361;300;UZ Antwerpen;Edegem;592;0.2507412
11001;2630;Aartselaar;2361;314;AZ Rivierenland;Rumst;690;0.292249
11001;2630;Aartselaar;2361;322;UZ Leuven;Leuven;26;0.0110123
11001;2630;Aartselaar;2361;536;AZ Sint-Jozef Malle;Malle;5;0.0021177
11001;2630;Aartselaar;2361;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);5;0.0021177
11001;2630;Aartselaar;2361;670;UZ Gent;Gent;6;0.0025413
11001;2630;Aartselaar;2361;682;AZ Monica;Antwerpen;91;0.038543
11001;2630;Aartselaar;2361;710;AZ Klina;Brasschaat;11;0.004659
11002;2000;Antwerpen;80816;4;Clinique Reine Astrid;Malmedy;5;6.19e-05
11002;2000;Antwerpen;80816;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;32126;0.3975203
11002;2000;Antwerpen;80816;12;AZ Sint-Blasius;Dendermonde;23;0.0002846
11002;2000;Antwerpen;80816;17;AZ Maria Middelares;Gent;24;0.000297
11002;2000;Antwerpen;80816;20;CHR de Verviers;Verviers;5;6.19e-05
11002;2000;Antwerpen;80816;26;AZ Sint-Maarten;Mechelen;218;0.0026975
11002;2000;Antwerpen;80816;32;AZ Alma;Eeklo;11;0.0001361
11002;2000;Antwerpen;80816;46;Woonzorg- & revalidatiecentrum De Dennen;Malle;28;0.0003465
11002;2000;Antwerpen;80816;49;AZ Sint-Jan Brugge - Oostende;Brugge;61;0.0007548
11002;2000;Antwerpen;80816;57;Jan Yperman Ziekenhuis;Ieper;9;0.0001114
11002;2000;Antwerpen;80816;63;AZ Turnhout;Turnhout;147;0.0018189
11002;2000;Antwerpen;80816;76;UMC Sint-Pieter;Brussel;34;0.0004207
11002;2000;Antwerpen;80816;77;UVC Brugmann;Brussel;31;0.0003836
11002;2000;Antwerpen;80816;79;Jules Bordet Instituut;Brussel;21;0.0002598
11002;2000;Antwerpen;80816;87;Iris Ziekenhuizen Zuid;Etterbeek;16;0.000198
11002;2000;Antwerpen;80816;97;Heilig-Hartziekenhuis;Lier;186;0.0023015
11002;2000;Antwerpen;80816;99;GZA ziekenhuizen;Antwerpen;21589;0.2671377
11002;2000;Antwerpen;80816;102;Heilig-Hartziekenhuis;Mol;27;0.0003341
11002;2000;Antwerpen;80816;104;AZ Rivierenland;Rumst;64;0.0007919
11002;2000;Antwerpen;80816;106;AZ Sint-Maria;Halle (Vlaams-Brabant);7;8.66e-05
11002;2000;Antwerpen;80816;108;RZ Heilig Hart;Leuven;14;0.0001732
11002;2000;Antwerpen;80816;109;RZ Heilig Hart Tienen;Tienen;11;0.0001361
11002;2000;Antwerpen;80816;110;Kliniek Sint-Jan;Brussel;17;0.0002104
11002;2000;Antwerpen;80816;111;Europaziekenhuizen;Ukkel;14;0.0001732
11002;2000;Antwerpen;80816;117;AZ Delta;Roeselare;10;0.0001237
11002;2000;Antwerpen;80816;124;VZW Sint-Jozefskliniek;Izegem;5;6.19e-05
11002;2000;Antwerpen;80816;126;Onze-Lieve-Vrouwziekenhuis;Aalst (Oost-Vlaanderen);101;0.0012498
11002;2000;Antwerpen;80816;140;AZ Sint-Lucas Brugge;Brugge;22;0.0002722
11002;2000;Antwerpen;80816;143;UZ Brussel;Jette;189;0.0023386
11002;2000;Antwerpen;80816;150;Universitair Kinderziekenhuis Koningin Fabiola;Brussel;11;0.0001361
11002;2000;Antwerpen;80816;152;Centre Hospitalier Chrétien;Luik;7;8.66e-05
11002;2000;Antwerpen;80816;164;Vivalia - IFAC;Marche-en-Famenne;9;0.0001114
11002;2000;Antwerpen;80816;168;Vivalia - Centre hospitalier de l'Ardenne;Libramont-Chevigny;10;0.0001237
11002;2000;Antwerpen;80816;176;Algemeen Stedelijk Ziekenhuis;Aalst (Oost-Vlaanderen);19;0.0002351
11002;2000;Antwerpen;80816;204;AZ Jan Portaels;Vilvoorde;47;0.0005816
11002;2000;Antwerpen;80816;217;AZ Sint-Elisabeth;Zottegem;8;9.9e-05
11002;2000;Antwerpen;80816;236;Revalidatieziekenhuis RevArte;Edegem;502;0.0062116
