nis_code_patiënt;postcode_patiënt;gemeente_patiënt;erkenningsnummer_ziekenhuis;gemeente_ziekenhuis;naam_ziekenhuis;marktaandeel;totaal_patiënten_per_gemeente
11001;2630;Aartselaar;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.172459304883414;2273
11001;2630;Aartselaar;99;Antwerpen;AZ Sint-Augustinus;0.1689397272327321;2273
11001;2630;Aartselaar;300;Edegem;UZ Antwerpen;0.1355037395512539;2273
11001;2630;Aartselaar;314;Rumst;AZ Heilige Familie;0.3576770787505499;2273
11001;2630;Aartselaar;682;Antwerpen;AZ Monica;0.05059392872855258;2273
11002;2000;Antwerpen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.4076826710583731;71043
11002;2000;Antwerpen;99;Antwerpen;AZ Sint-Augustinus;0.1527525583097561;71043
11002;2000;Antwerpen;100;Antwerpen;Sint-Vincentiusziekenhuis;0.1047816111369171;71043
11002;2000;Antwerpen;300;Edegem;UZ Antwerpen;0.0551356220880312;71043
11002;2000;Antwerpen;682;Antwerpen;AZ Monica;0.1751755978773419;71043
11004;2530;Boechout;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.0927710843373494;1660
11004;2530;Boechout;26;Mechelen;AZ Sint-Maarten;0.05843373493975904;1660
11004;2530;Boechout;97;Lier;H.-Hartziekenhuis Lier;0.2090361445783133;1660
11004;2530;Boechout;99;Antwerpen;AZ Sint-Augustinus;0.1909638554216868;1660
11004;2530;Boechout;100;Antwerpen;Sint-Vincentiusziekenhuis;0.2168674698795181;1660
11004;2530;Boechout;300;Edegem;UZ Antwerpen;0.06566265060240964;1660
11004;2530;Boechout;682;Antwerpen;AZ Monica;0.07409638554216867;1660
11005;2850;Boom;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.09040590405904059;3252
11005;2850;Boom;99;Antwerpen;AZ Sint-Augustinus;0.06795817958179581;3252
11005;2850;Boom;300;Edegem;UZ Antwerpen;0.08179581795817958;3252
11005;2850;Boom;314;Rumst;AZ Heilige Familie;0.6122386223862238;3252
11007;2150;Borsbeek;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.2342182890855457;1695
11007;2150;Borsbeek;99;Antwerpen;AZ Sint-Augustinus;0.11976401179941;1695
11007;2150;Borsbeek;100;Antwerpen;Sint-Vincentiusziekenhuis;0.1339233038348083;1695
11007;2150;Borsbeek;682;Antwerpen;AZ Monica;0.4088495575221239;1695
11008;2930;Brasschaat;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1656072264971562;5978
11008;2930;Brasschaat;99;Antwerpen;AZ Sint-Augustinus;0.06155904984944797;5978
11008;2930;Brasschaat;682;Antwerpen;AZ Monica;0.08430913348946135;5978
11008;2930;Brasschaat;710;Brasschaat;AZ Klina;0.5630645700903312;5978
11009;2960;Brecht;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.161076887976272;4383
11009;2960;Brecht;99;Antwerpen;AZ Sint-Augustinus;0.05772302076203514;4383
11009;2960;Brecht;536;Malle;AZ Sint-Jozef Malle;0.3956194387405886;4383
11009;2960;Brecht;682;Antwerpen;AZ Monica;0.07916951859456993;4383
11009;2960;Brecht;710;Brasschaat;AZ Klina;0.1658681268537531;4383
11013;2650;Edegem;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1588702559576346;3399
11013;2650;Edegem;99;Antwerpen;AZ Sint-Augustinus;0.382171226831421;3399
11013;2650;Edegem;100;Antwerpen;Sint-Vincentiusziekenhuis;0.1759340982641953;3399
11013;2650;Edegem;300;Edegem;UZ Antwerpen;0.1294498381877023;3399
11013;2650;Edegem;682;Antwerpen;AZ Monica;0.0656075316269491;3399
11016;2910;Essen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1267437225986449;2509
