nis_code_patiënt;postcode_patiënt;gemeente_patiënt;erkenningsnummer_ziekenhuis;gemeente_ziekenhuis;naam_ziekenhuis;marktaandeel;totaal_patiënten_per_gemeente
11001;2630;Aartselaar;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1748830514573588;2779
11001;2630;Aartselaar;99;Antwerpen;GZA ziekenhuizen;0.2515293270960777;2779
11001;2630;Aartselaar;300;Edegem;UZ Antwerpen;0.1478949262324577;2779
11001;2630;Aartselaar;314;Rumst;AZ Heilige Familie;0.2914717524289313;2779
11002;2000;Antwerpen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.4163038890563762;82925
11002;2000;Antwerpen;99;Antwerpen;GZA ziekenhuizen;0.2747060596924932;82925
11002;2000;Antwerpen;300;Edegem;UZ Antwerpen;0.05266204401567682;82925
11002;2000;Antwerpen;682;Antwerpen;AZ Monica;0.160229122701236;82925
11004;2530;Boechout;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1119333950046253;2162
11004;2530;Boechout;26;Mechelen;AZ Sint-Maarten;0.07076780758556891;2162
11004;2530;Boechout;97;Lier;Heilig-Hartziekenhuis;0.211840888066605;2162
11004;2530;Boechout;99;Antwerpen;GZA ziekenhuizen;0.4209065679925995;2162
11004;2530;Boechout;300;Edegem;UZ Antwerpen;0.07215541165587419;2162
11004;2530;Boechout;682;Antwerpen;AZ Monica;0.07169287696577244;2162
11005;2850;Boom;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1043343653250774;3230
11005;2850;Boom;99;Antwerpen;GZA ziekenhuizen;0.09504643962848297;3230
11005;2850;Boom;104;Bornem;Sint-Jozefkliniek;0.07058823529411765;3230
11005;2850;Boom;300;Edegem;UZ Antwerpen;0.1213622291021672;3230
11005;2850;Boom;314;Rumst;AZ Heilige Familie;0.5108359133126935;3230
11007;2150;Borsbeek;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.211897738446411;2034
11007;2150;Borsbeek;99;Antwerpen;GZA ziekenhuizen;0.2138643067846608;2034
11007;2150;Borsbeek;300;Edegem;UZ Antwerpen;0.07964601769911504;2034
11007;2150;Borsbeek;682;Antwerpen;AZ Monica;0.4021632251720748;2034
11008;2930;Brasschaat;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1238895170408658;6191
