nis_code_patiënt;postcode_patiënt;gemeente_patiënt;aantal_verblijven_per_gemeente;categorie;aantal_verblijven_per_ziekenhuis_gemeente_patient;erkenningsnummer_ziekenhuis;naam_ziekenhuis;gemeente_ziekenhuis;marktaandeel
11001;2630;Aartselaar;3007;Jonger dan 15 jaar;136;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.2279412
11001;2630;Aartselaar;3007;Jonger dan 15 jaar;136;99;GZA ziekenhuizen;Antwerpen;0.1691176
11001;2630;Aartselaar;3007;Jonger dan 15 jaar;136;300;UZ Antwerpen;Edegem;0.2426471
11001;2630;Aartselaar;3007;Jonger dan 15 jaar;136;314;AZ Heilige Familie;Rumst;0.2573529
11001;2630;Aartselaar;3007;Tussen 15 en 64 jaar;1564;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1310742
11001;2630;Aartselaar;3007;Tussen 15 en 64 jaar;1564;99;GZA ziekenhuizen;Antwerpen;0.2710997
11001;2630;Aartselaar;3007;Tussen 15 en 64 jaar;1564;300;UZ Antwerpen;Edegem;0.1112532
11001;2630;Aartselaar;3007;Tussen 15 en 64 jaar;1564;314;AZ Heilige Familie;Rumst;0.3209719
11001;2630;Aartselaar;3007;Tussen 15 en 64 jaar;1564;682;AZ Monica;Antwerpen;0.0671355
11001;2630;Aartselaar;3007;65 jaar en ouder;1307;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1667942
11001;2630;Aartselaar;3007;65 jaar en ouder;1307;99;GZA ziekenhuizen;Antwerpen;0.1866871
11001;2630;Aartselaar;3007;65 jaar en ouder;1307;300;UZ Antwerpen;Edegem;0.1889824
11001;2630;Aartselaar;3007;65 jaar en ouder;1307;314;AZ Heilige Familie;Rumst;0.3649579
11002;2000;Antwerpen;88721;Jonger dan 15 jaar;7695;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.5087719
11002;2000;Antwerpen;88721;Jonger dan 15 jaar;7695;99;GZA ziekenhuizen;Antwerpen;0.1594542
11002;2000;Antwerpen;88721;Jonger dan 15 jaar;7695;300;UZ Antwerpen;Edegem;0.0631579
11002;2000;Antwerpen;88721;Jonger dan 15 jaar;7695;682;AZ Monica;Antwerpen;0.1585445
11002;2000;Antwerpen;88721;Tussen 15 en 64 jaar;49494;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.3880066
11002;2000;Antwerpen;88721;Tussen 15 en 64 jaar;49494;99;GZA ziekenhuizen;Antwerpen;0.2679921
11002;2000;Antwerpen;88721;Tussen 15 en 64 jaar;49494;300;UZ Antwerpen;Edegem;0.0582697
11002;2000;Antwerpen;88721;Tussen 15 en 64 jaar;49494;682;AZ Monica;Antwerpen;0.1723441
11002;2000;Antwerpen;88721;65 jaar en ouder;31532;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.4068882
11002;2000;Antwerpen;88721;65 jaar en ouder;31532;99;GZA ziekenhuizen;Antwerpen;0.2945896
11002;2000;Antwerpen;88721;65 jaar en ouder;31532;300;UZ Antwerpen;Edegem;0.0564189
11002;2000;Antwerpen;88721;65 jaar en ouder;31532;682;AZ Monica;Antwerpen;0.1669098
11004;2530;Boechout;2480;Jonger dan 15 jaar;114;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1929825
11004;2530;Boechout;2480;Jonger dan 15 jaar;114;26;AZ Sint-Maarten;Mechelen;0.1491228
11004;2530;Boechout;2480;Jonger dan 15 jaar;114;97;Heilig-Hartziekenhuis;Lier;0.122807
11004;2530;Boechout;2480;Jonger dan 15 jaar;114;99;GZA ziekenhuizen;Antwerpen;0.1754386
11004;2530;Boechout;2480;Jonger dan 15 jaar;114;300;UZ Antwerpen;Edegem;0.1403509
11004;2530;Boechout;2480;Jonger dan 15 jaar;114;682;AZ Monica;Antwerpen;0.0877193
11004;2530;Boechout;2480;Tussen 15 en 64 jaar;1523;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.122784
11004;2530;Boechout;2480;Tussen 15 en 64 jaar;1523;26;AZ Sint-Maarten;Mechelen;0.0814183
11004;2530;Boechout;2480;Tussen 15 en 64 jaar;1523;97;Heilig-Hartziekenhuis;Lier;0.1641497
11004;2530;Boechout;2480;Tussen 15 en 64 jaar;1523;99;GZA ziekenhuizen;Antwerpen;0.425476
11004;2530;Boechout;2480;Tussen 15 en 64 jaar;1523;300;UZ Antwerpen;Edegem;0.0741957
11004;2530;Boechout;2480;Tussen 15 en 64 jaar;1523;682;AZ Monica;Antwerpen;0.0860144
