code_ins_patient;code_postal_patient;commune_patient;classe_âge;numéro_agrément_hôpital;commune_hôpital;nom_hôpital;part_de_marché;total_par_classe_âge_et_commune_patient;total_par_commune_patient
11001;2630;Aartselaar;Moins de 15 ans;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1965811965811966;117;2242
11001;2630;Aartselaar;Moins de 15 ans;99;Anvers;GZA ziekenhuizen;0.4444444444444444;117;2242
11001;2630;Aartselaar;Moins de 15 ans;300;Edegem;UZ Antwerpen;0.2564102564102564;117;2242
11001;2630;Aartselaar;De 15 à 64 ans;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1615154536390828;1003;2242
11001;2630;Aartselaar;De 15 à 64 ans;99;Anvers;GZA ziekenhuizen;0.2362911266201396;1003;2242
11001;2630;Aartselaar;De 15 à 64 ans;300;Edegem;UZ Antwerpen;0.2612163509471585;1003;2242
11001;2630;Aartselaar;De 15 à 64 ans;314;Rumst;AZ Heilige Familie;0.1964107676969093;1003;2242
11001;2630;Aartselaar;65 ans et plus;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1506238859180036;1122;2242
11001;2630;Aartselaar;65 ans et plus;99;Anvers;GZA ziekenhuizen;0.1809269162210339;1122;2242
11001;2630;Aartselaar;65 ans et plus;300;Edegem;UZ Antwerpen;0.1880570409982175;1122;2242
11001;2630;Aartselaar;65 ans et plus;314;Rumst;AZ Heilige Familie;0.3983957219251337;1122;2242
11002;2000;Anvers;Moins de 15 ans;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.4050648397357475;8174;80982
11002;2000;Anvers;Moins de 15 ans;99;Anvers;GZA ziekenhuizen;0.2684120381698067;8174;80982
11002;2000;Anvers;Moins de 15 ans;300;Edegem;UZ Antwerpen;0.1120626376315146;8174;80982
11002;2000;Anvers;Moins de 15 ans;682;Anvers;AZ Monica;0.1130413506239295;8174;80982
11002;2000;Anvers;De 15 à 64 ans;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.3745016960903261;40387;80982
11002;2000;Anvers;De 15 à 64 ans;99;Anvers;GZA ziekenhuizen;0.2760789362913809;40387;80982
11002;2000;Anvers;De 15 à 64 ans;300;Edegem;UZ Antwerpen;0.1076831653749969;40387;80982
11002;2000;Anvers;De 15 à 64 ans;682;Anvers;AZ Monica;0.1252135588184317;40387;80982
11002;2000;Anvers;65 ans et plus;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.4418124055396194;32421;80982
11002;2000;Anvers;65 ans et plus;99;Anvers;GZA ziekenhuizen;0.2688072545572314;32421;80982
11002;2000;Anvers;65 ans et plus;300;Edegem;UZ Antwerpen;0.06554393757132723;32421;80982
11002;2000;Anvers;65 ans et plus;682;Anvers;AZ Monica;0.1315505382313932;32421;80982
11004;2530;Boechout;Moins de 15 ans;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.2073170731707317;82;1580
11004;2530;Boechout;Moins de 15 ans;97;Lierre;Heilig-Hartziekenhuis;0.2560975609756098;82;1580
11004;2530;Boechout;Moins de 15 ans;99;Anvers;GZA ziekenhuizen;0.2560975609756098;82;1580
11004;2530;Boechout;Moins de 15 ans;300;Edegem;UZ Antwerpen;0.1829268292682927;82;1580
11004;2530;Boechout;De 15 à 64 ans;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1013767209011264;799;1580
11004;2530;Boechout;De 15 à 64 ans;97;Lierre;Heilig-Hartziekenhuis;0.181476846057572;799;1580
11004;2530;Boechout;De 15 à 64 ans;99;Anvers;GZA ziekenhuizen;0.409261576971214;799;1580
11004;2530;Boechout;De 15 à 64 ans;300;Edegem;UZ Antwerpen;0.1451814768460576;799;1580
11004;2530;Boechout;65 ans et plus;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.0844062947067239;699;1580
11004;2530;Boechout;65 ans et plus;97;Lierre;Heilig-Hartziekenhuis;0.3118741058655222;699;1580
11004;2530;Boechout;65 ans et plus;99;Anvers;GZA ziekenhuizen;0.3834048640915594;699;1580
11004;2530;Boechout;65 ans et plus;300;Edegem;UZ Antwerpen;0.0944206008583691;699;1580
11005;2850;Boom;Moins de 15 ans;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.2366412213740458;262;3222
11005;2850;Boom;Moins de 15 ans;26;Malines;AZ Sint-Maarten;0.05725190839694656;262;3222
11005;2850;Boom;Moins de 15 ans;99;Anvers;GZA ziekenhuizen;0.2290076335877863;262;3222
11005;2850;Boom;Moins de 15 ans;300;Edegem;UZ Antwerpen;0.3053435114503817;262;3222
11005;2850;Boom;De 15 à 64 ans;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.09921156373193167;1522;3222
11005;2850;Boom;De 15 à 64 ans;99;Anvers;GZA ziekenhuizen;0.1222076215505913;1522;3222
11005;2850;Boom;De 15 à 64 ans;300;Edegem;UZ Antwerpen;0.1885676741130092;1522;3222
11005;2850;Boom;De 15 à 64 ans;314;Rumst;AZ Heilige Familie;0.4250985545335085;1522;3222
11005;2850;Boom;65 ans et plus;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.08553546592489569;1438;3222
11005;2850;Boom;65 ans et plus;99;Anvers;GZA ziekenhuizen;0.06815020862308763;1438;3222
11005;2850;Boom;65 ans et plus;300;Edegem;UZ Antwerpen;0.0890125173852573;1438;3222
11005;2850;Boom;65 ans et plus;314;Rumst;AZ Heilige Familie;0.6453407510431154;1438;3222
11007;2150;Borsbeek;Moins de 15 ans;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1216216216216216;148;1696
11007;2150;Borsbeek;Moins de 15 ans;99;Anvers;GZA ziekenhuizen;0.222972972972973;148;1696
11007;2150;Borsbeek;Moins de 15 ans;300;Edegem;UZ Antwerpen;0.1013513513513514;148;1696
11007;2150;Borsbeek;Moins de 15 ans;682;Anvers;AZ Monica;0.4662162162162162;148;1696
11007;2150;Borsbeek;De 15 à 64 ans;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1593220338983051;885;1696
11007;2150;Borsbeek;De 15 à 64 ans;99;Anvers;GZA ziekenhuizen;0.2011299435028249;885;1696
11007;2150;Borsbeek;De 15 à 64 ans;300;Edegem;UZ Antwerpen;0.1389830508474576;885;1696
11007;2150;Borsbeek;De 15 à 64 ans;682;Anvers;AZ Monica;0.4011299435028249;885;1696
11007;2150;Borsbeek;65 ans et plus;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.2292609351432881;663;1696
11007;2150;Borsbeek;65 ans et plus;99;Anvers;GZA ziekenhuizen;0.1568627450980392;663;1696
