code_ins_patient;code_postal_patient;commune_patient;numéro_agrément_hôpital;commune_hôpital;nom_hôpital;part_de_marché;total_par_commune_patient
11001;2630;Aartselaar;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.168504631671813;2267
11001;2630;Aartselaar;99;Anvers;AZ Sint-Augustinus;0.1795324217026908;2267
11001;2630;Aartselaar;300;Edegem;UZ Antwerpen;0.2015880017644464;2267
11001;2630;Aartselaar;314;Rumst;AZ Heilige Familie;0.3193647992942215;2267
11002;2000;Anvers;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.4377291167701256;81836
11002;2000;Anvers;99;Anvers;AZ Sint-Augustinus;0.1516569724815485;81836
11002;2000;Anvers;100;Anvers;Sint-Vincentiusziekenhuis;0.1105625885918178;81836
11002;2000;Anvers;300;Edegem;UZ Antwerpen;0.0789139254117992;81836
11002;2000;Anvers;682;Anvers;AZ Monica;0.1124077423138961;81836
11004;2530;Boechout;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.0956221198156682;1736
11004;2530;Boechout;97;Lierre;H.-Hartziekenhuis Lier;0.2569124423963134;1736
11004;2530;Boechout;99;Anvers;AZ Sint-Augustinus;0.1549539170506913;1736
11004;2530;Boechout;100;Anvers;Sint-Vincentiusziekenhuis;0.2638248847926267;1736
11004;2530;Boechout;300;Edegem;UZ Antwerpen;0.09331797235023041;1736
11004;2530;Boechout;682;Anvers;AZ Monica;0.05357142857142857;1736
11005;2850;Boom;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1149387214309374;3019
11005;2850;Boom;99;Anvers;AZ Sint-Augustinus;0.09506459092414707;3019
11005;2850;Boom;300;Edegem;UZ Antwerpen;0.1152699569393839;3019
11005;2850;Boom;314;Rumst;AZ Heilige Familie;0.5279894004637297;3019
11007;2150;Borsbeek;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.2563938618925831;1564
11007;2150;Borsbeek;99;Anvers;AZ Sint-Augustinus;0.118925831202046;1564
11007;2150;Borsbeek;100;Anvers;Sint-Vincentiusziekenhuis;0.08312020460358056;1564
11007;2150;Borsbeek;300;Edegem;UZ Antwerpen;0.1157289002557545;1564
11007;2150;Borsbeek;682;Anvers;AZ Monica;0.3369565217391304;1564
11008;2930;Brasschaat;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1217391304347826;5405
11008;2930;Brasschaat;300;Edegem;UZ Antwerpen;0.08751156336725255;5405
11008;2930;Brasschaat;710;Brasschaat;AZ Klina;0.5966697502312673;5405
11009;2960;Brecht;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1086231538828013;4198
