code_ins;code_postal;commune_patient;nombre_de_séjours_par_comunne_patient;catégorie;nombre_de_séjours_par_hôpital_comunne_patient;numéro_agrément_hôpital;dénomination;commune_hôpital;part_de_marché
11001;2630;Aartselaar;2178;Moins de 15 ans;113;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.2566372
11001;2630;Aartselaar;2178;Moins de 15 ans;113;99;GZA ziekenhuizen;Anvers;0.3628319
11001;2630;Aartselaar;2178;Moins de 15 ans;113;300;UZ Antwerpen;Edegem;0.3097345
11001;2630;Aartselaar;2178;De 15 à 64 ans;966;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1418219
11001;2630;Aartselaar;2178;De 15 à 64 ans;966;99;GZA ziekenhuizen;Anvers;0.2215321
11001;2630;Aartselaar;2178;De 15 à 64 ans;966;300;UZ Antwerpen;Edegem;0.2919255
11001;2630;Aartselaar;2178;De 15 à 64 ans;966;314;AZ Heilige Familie;Rumst;0.2111801
11001;2630;Aartselaar;2178;65 ans et plus;1099;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.133758
11001;2630;Aartselaar;2178;65 ans et plus;1099;99;GZA ziekenhuizen;Anvers;0.166515
11001;2630;Aartselaar;2178;65 ans et plus;1099;300;UZ Antwerpen;Edegem;0.2274795
11001;2630;Aartselaar;2178;65 ans et plus;1099;314;AZ Heilige Familie;Rumst;0.377616
11002;2000;Anvers;80108;Moins de 15 ans;8195;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.4134228
11002;2000;Anvers;80108;Moins de 15 ans;8195;99;GZA ziekenhuizen;Anvers;0.266626
11002;2000;Anvers;80108;Moins de 15 ans;8195;300;UZ Antwerpen;Edegem;0.1099451
11002;2000;Anvers;80108;Moins de 15 ans;8195;682;AZ Monica;Anvers;0.1160464
11002;2000;Anvers;80108;De 15 à 64 ans;39716;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.368592
11002;2000;Anvers;80108;De 15 à 64 ans;39716;99;GZA ziekenhuizen;Anvers;0.278024
11002;2000;Anvers;80108;De 15 à 64 ans;39716;300;UZ Antwerpen;Edegem;0.11056
11002;2000;Anvers;80108;De 15 à 64 ans;39716;682;AZ Monica;Anvers;0.1262463
11002;2000;Anvers;80108;65 ans et plus;32197;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.4379601
11002;2000;Anvers;80108;65 ans et plus;32197;99;GZA ziekenhuizen;Anvers;0.2637513
11002;2000;Anvers;80108;65 ans et plus;32197;300;UZ Antwerpen;Edegem;0.0667453
11002;2000;Anvers;80108;65 ans et plus;32197;682;AZ Monica;Anvers;0.1390192
11004;2530;Boechout;1798;Moins de 15 ans;112;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.0803571
11004;2530;Boechout;1798;Moins de 15 ans;112;97;Heilig-Hartziekenhuis;Lierre;0.2589286
11004;2530;Boechout;1798;Moins de 15 ans;112;99;GZA ziekenhuizen;Anvers;0.2946429
