nis_code_patiënt;postcode_patiënt;gemeente_patiënt;aantal_verblijven_per_gemeente_patient;klasse;aantal_verblijven_per_leeftijd;erkenningsnummer_ziekenhuis;naam_ziekenhuis;gemeente_ziekenhuis;aantal_verblijven_per_ziekenhuis_gemeente_patient_leeftijd;marktaandeel
11001;2630;Aartselaar;2214;Jonger dan 15 jaar;115;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;16;0.1391304
11001;2630;Aartselaar;2214;Jonger dan 15 jaar;115;99;GZA ziekenhuizen;Antwerpen;34;0.2956522
11001;2630;Aartselaar;2214;Jonger dan 15 jaar;115;300;UZ Antwerpen;Edegem;50;0.4347826
11001;2630;Aartselaar;2214;Tussen 15 en 64 jaar;879;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;137;0.1558589
11001;2630;Aartselaar;2214;Tussen 15 en 64 jaar;879;26;AZ Sint-Maarten;Mechelen;27;0.0307167
11001;2630;Aartselaar;2214;Tussen 15 en 64 jaar;879;97;Heilig-Hartziekenhuis;Lier;5;0.0056883
11001;2630;Aartselaar;2214;Tussen 15 en 64 jaar;879;99;GZA ziekenhuizen;Antwerpen;182;0.2070535
11001;2630;Aartselaar;2214;Tussen 15 en 64 jaar;879;104;AZ Rivierenland;Rumst;150;0.1706485
11001;2630;Aartselaar;2214;Tussen 15 en 64 jaar;879;126;Onze-Lieve-Vrouwziekenhuis;Aalst (Oost-Vlaanderen);6;0.0068259
11001;2630;Aartselaar;2214;Tussen 15 en 64 jaar;879;143;UZ Brussel;Jette;6;0.0068259
11001;2630;Aartselaar;2214;Tussen 15 en 64 jaar;879;300;UZ Antwerpen;Edegem;273;0.3105802
11001;2630;Aartselaar;2214;Tussen 15 en 64 jaar;879;322;UZ Leuven;Leuven;20;0.0227531
11001;2630;Aartselaar;2214;Tussen 15 en 64 jaar;879;682;AZ Monica;Antwerpen;42;0.0477816
11001;2630;Aartselaar;2214;Tussen 15 en 64 jaar;879;710;AZ Klina;Brasschaat;5;0.0056883
11001;2630;Aartselaar;2214;65 jaar en ouder;1220;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;191;0.1565574
11001;2630;Aartselaar;2214;65 jaar en ouder;1220;26;AZ Sint-Maarten;Mechelen;14;0.0114754
11001;2630;Aartselaar;2214;65 jaar en ouder;1220;99;GZA ziekenhuizen;Antwerpen;167;0.1368852
11001;2630;Aartselaar;2214;65 jaar en ouder;1220;104;AZ Rivierenland;Rumst;515;0.4221311
11001;2630;Aartselaar;2214;65 jaar en ouder;1220;300;UZ Antwerpen;Edegem;280;0.2295082
11001;2630;Aartselaar;2214;65 jaar en ouder;1220;322;UZ Leuven;Leuven;11;0.0090164
11001;2630;Aartselaar;2214;65 jaar en ouder;1220;682;AZ Monica;Antwerpen;18;0.0147541
11002;2000;Antwerpen;78293;Jonger dan 15 jaar;8163;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;3114;0.3814774
11002;2000;Antwerpen;78293;Jonger dan 15 jaar;8163;26;AZ Sint-Maarten;Mechelen;11;0.0013475
11002;2000;Antwerpen;78293;Jonger dan 15 jaar;8163;63;AZ Turnhout;Turnhout;11;0.0013475
11002;2000;Antwerpen;78293;Jonger dan 15 jaar;8163;97;Heilig-Hartziekenhuis;Lier;18;0.0022051
11002;2000;Antwerpen;78293;Jonger dan 15 jaar;8163;99;GZA ziekenhuizen;Antwerpen;2100;0.2572584
11002;2000;Antwerpen;78293;Jonger dan 15 jaar;8163;143;UZ Brussel;Jette;22;0.0026951
11002;2000;Antwerpen;78293;Jonger dan 15 jaar;8163;150;Universitair Kinderziekenhuis Koningin Fabiola;Brussel;5;0.0006125
11002;2000;Antwerpen;78293;Jonger dan 15 jaar;8163;300;UZ Antwerpen;Edegem;1051;0.1287517
11002;2000;Antwerpen;78293;Jonger dan 15 jaar;8163;322;UZ Leuven;Leuven;248;0.030381
11002;2000;Antwerpen;78293;Jonger dan 15 jaar;8163;371;Ziekenhuis Oost-Limburg;Genk;7;0.0008575
11002;2000;Antwerpen;78293;Jonger dan 15 jaar;8163;392;AZ Zeno;Knokke-Heist;8;0.00098
11002;2000;Antwerpen;78293;Jonger dan 15 jaar;8163;396;AZ Groeninge;Kortrijk;5;0.0006125
11002;2000;Antwerpen;78293;Jonger dan 15 jaar;8163;403;Cliniques universitaires Saint-Luc;Sint-Lambrechts-Woluwe;14;0.0017151
