nis_code_patiënt;postcode_patiënt;gemeente_patiënt;aantal_verblijven_per_gemeente_patient;klasse;aantal_verblijven_per_leeftijd;erkenningsnummer_ziekenhuis;naam_ziekenhuis;gemeente_ziekenhuis;aantal_verblijven_per_ziekenhuis_gemeente_patient_leeftijd;marktaandeel
11001;2630;Aartselaar;3105;Jonger dan 15 jaar;118;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;28;0.2372881
11001;2630;Aartselaar;3105;Jonger dan 15 jaar;118;99;GZA ziekenhuizen;Antwerpen;28;0.2372881
11001;2630;Aartselaar;3105;Jonger dan 15 jaar;118;300;UZ Antwerpen;Edegem;11;0.0932203
11001;2630;Aartselaar;3105;Jonger dan 15 jaar;118;314;AZ Rivierenland;Rumst;39;0.3305085
11001;2630;Aartselaar;3105;Tussen 15 en 64 jaar;1531;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;226;0.1476159
11001;2630;Aartselaar;3105;Tussen 15 en 64 jaar;1531;26;AZ Sint-Maarten;Mechelen;35;0.0228609
11001;2630;Aartselaar;3105;Tussen 15 en 64 jaar;1531;97;Heilig-Hartziekenhuis;Lier;7;0.0045722
11001;2630;Aartselaar;3105;Tussen 15 en 64 jaar;1531;99;GZA ziekenhuizen;Antwerpen;356;0.2325278
11001;2630;Aartselaar;3105;Tussen 15 en 64 jaar;1531;104;AZ Rivierenland;Rumst;24;0.015676
11001;2630;Aartselaar;3105;Tussen 15 en 64 jaar;1531;300;UZ Antwerpen;Edegem;234;0.1528413
11001;2630;Aartselaar;3105;Tussen 15 en 64 jaar;1531;314;AZ Rivierenland;Rumst;494;0.3226649
11001;2630;Aartselaar;3105;Tussen 15 en 64 jaar;1531;322;UZ Leuven;Leuven;10;0.0065317
11001;2630;Aartselaar;3105;Tussen 15 en 64 jaar;1531;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);12;0.007838
11001;2630;Aartselaar;3105;Tussen 15 en 64 jaar;1531;682;AZ Monica;Antwerpen;100;0.0653168
11001;2630;Aartselaar;3105;Tussen 15 en 64 jaar;1531;710;AZ Klina;Brasschaat;5;0.0032658
11001;2630;Aartselaar;3105;65 jaar en ouder;1456;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;215;0.1476648
11001;2630;Aartselaar;3105;65 jaar en ouder;1456;26;AZ Sint-Maarten;Mechelen;16;0.010989
11001;2630;Aartselaar;3105;65 jaar en ouder;1456;99;GZA ziekenhuizen;Antwerpen;399;0.2740385
11001;2630;Aartselaar;3105;65 jaar en ouder;1456;104;AZ Rivierenland;Rumst;17;0.0116758
11001;2630;Aartselaar;3105;65 jaar en ouder;1456;300;UZ Antwerpen;Edegem;207;0.1421703
11001;2630;Aartselaar;3105;65 jaar en ouder;1456;314;AZ Rivierenland;Rumst;508;0.3489011
11001;2630;Aartselaar;3105;65 jaar en ouder;1456;322;UZ Leuven;Leuven;21;0.0144231
11001;2630;Aartselaar;3105;65 jaar en ouder;1456;682;AZ Monica;Antwerpen;54;0.0370879
11001;2630;Aartselaar;3105;65 jaar en ouder;1456;710;AZ Klina;Brasschaat;6;0.0041209
11002;2000;Antwerpen;90375;Jonger dan 15 jaar;7608;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;3949;0.5190589
11002;2000;Antwerpen;90375;Jonger dan 15 jaar;7608;26;AZ Sint-Maarten;Mechelen;19;0.0024974
11002;2000;Antwerpen;90375;Jonger dan 15 jaar;7608;63;AZ Turnhout;Turnhout;7;0.0009201
11002;2000;Antwerpen;90375;Jonger dan 15 jaar;7608;97;Heilig-Hartziekenhuis;Lier;10;0.0013144
11002;2000;Antwerpen;90375;Jonger dan 15 jaar;7608;99;GZA ziekenhuizen;Antwerpen;1176;0.1545741
11002;2000;Antwerpen;90375;Jonger dan 15 jaar;7608;104;AZ Rivierenland;Rumst;5;0.0006572
11002;2000;Antwerpen;90375;Jonger dan 15 jaar;7608;143;UZ Brussel;Jette;54;0.0070978
11002;2000;Antwerpen;90375;Jonger dan 15 jaar;7608;150;Universitair Kinderziekenhuis Koningin Fabiola;Brussel;5;0.0006572
11002;2000;Antwerpen;90375;Jonger dan 15 jaar;7608;243;Jessa Ziekenhuis;Hasselt;5;0.0006572
11002;2000;Antwerpen;90375;Jonger dan 15 jaar;7608;265;AZ Lokeren;Lokeren;11;0.0014458
11002;2000;Antwerpen;90375;Jonger dan 15 jaar;7608;300;UZ Antwerpen;Edegem;532;0.0699264
11002;2000;Antwerpen;90375;Jonger dan 15 jaar;7608;314;AZ Rivierenland;Rumst;107;0.0140641
11002;2000;Antwerpen;90375;Jonger dan 15 jaar;7608;322;UZ Leuven;Leuven;115;0.0151157
11002;2000;Antwerpen;90375;Jonger dan 15 jaar;7608;403;Cliniques universitaires Saint-Luc;Sint-Lambrechts-Woluwe;5;0.0006572
11002;2000;Antwerpen;90375;Jonger dan 15 jaar;7608;536;AZ Sint-Jozef Malle;Malle;20;0.0026288
11002;2000;Antwerpen;90375;Jonger dan 15 jaar;7608;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);10;0.0013144
11002;2000;Antwerpen;90375;Jonger dan 15 jaar;7608;670;UZ Gent;Gent;66;0.0086751
11002;2000;Antwerpen;90375;Jonger dan 15 jaar;7608;682;AZ Monica;Antwerpen;1170;0.1537855
11002;2000;Antwerpen;90375;Jonger dan 15 jaar;7608;710;AZ Klina;Brasschaat;288;0.0378549
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;19026;0.3793743
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;12;AZ Sint-Blasius;Dendermonde;29;0.0005783
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;17;AZ Maria Middelares;Gent;19;0.0003789
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;26;AZ Sint-Maarten;Mechelen;378;0.0075372
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;49;AZ Sint-Jan Brugge - Oostende;Brugge;10;0.0001994
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;63;AZ Turnhout;Turnhout;140;0.0027916
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;76;UMC Sint-Pieter;Brussel;13;0.0002592
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;77;UVC Brugmann;Brussel;9;0.0001795
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;79;Jules Bordet Instituut;Brussel;68;0.0013559
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;87;Iris Ziekenhuizen Zuid;Etterbeek;6;0.0001196
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;97;Heilig-Hartziekenhuis;Lier;151;0.0030109
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;99;GZA ziekenhuizen;Antwerpen;13409;0.2673725
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;102;Heilig-Hartziekenhuis;Mol;9;0.0001795
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;104;AZ Rivierenland;Rumst;58;0.0011565
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;108;RZ Heilig Hart;Leuven;53;0.0010568
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;109;RZ Heilig Hart Tienen;Tienen;25;0.0004985
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;110;Kliniek Sint-Jan;Brussel;17;0.000339
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;111;Europaziekenhuizen;Ukkel;5;9.97e-05
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;117;AZ Delta;Roeselare;11;0.0002193
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;124;VZW Sint-Jozefskliniek;Izegem;7;0.0001396
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;126;Onze-Lieve-Vrouwziekenhuis;Aalst (Oost-Vlaanderen);36;0.0007178
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;140;AZ Sint-Lucas Brugge;Brugge;13;0.0002592
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;143;UZ Brussel;Jette;324;0.0064605
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;176;Algemeen Stedelijk Ziekenhuis;Aalst (Oost-Vlaanderen);7;0.0001396
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;204;AZ Jan Portaels;Vilvoorde;19;0.0003789
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;217;AZ Sint-Elisabeth;Zottegem;10;0.0001994
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;243;Jessa Ziekenhuis;Hasselt;28;0.0005583
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;265;AZ Lokeren;Lokeren;24;0.0004786
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;290;AZ Sint-Lucas;Gent;31;0.0006181
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;300;UZ Antwerpen;Edegem;3370;0.0671971
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;308;AZ Herentals;Herentals;45;0.0008973
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;314;AZ Rivierenland;Rumst;292;0.0058224
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;322;UZ Leuven;Leuven;782;0.0155929
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;332;CHIREC - Delta Ziekenhuis;Oudergem;30;0.0005982
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;371;Ziekenhuis Oost-Limburg;Genk;49;0.000977
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;392;AZ Zeno;Knokke-Heist;13;0.0002592
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;396;AZ Groeninge;Kortrijk;13;0.0002592
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;403;Cliniques universitaires Saint-Luc;Sint-Lambrechts-Woluwe;17;0.000339
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;406;Cliniques Universitaires de Bruxelles - Erasmus Ziekenhuis;Anderlecht;24;0.0004786
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;536;AZ Sint-Jozef Malle;Malle;141;0.0028115
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);273;0.0054436
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;670;UZ Gent;Gent;109;0.0021734
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;682;AZ Monica;Antwerpen;8666;0.1727981
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;689;Imelda Ziekenhuis;Bonheiden;94;0.0018743
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;709;AZ St.-Dimpna;Geel;26;0.0005184
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;710;AZ Klina;Brasschaat;2098;0.0418337
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;712;AZ Diest;Diest;7;0.0001396
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;713;AZ Jan Palfijn Gent;Gent;71;0.0014157
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;714;Sint-Franciscusziekenhuis;Heusden-Zolder;6;0.0001196
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;715;Sint-Trudo Ziekenhuis;Sint-Truiden;9;0.0001795
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;716;AZ Vesalius;Tongeren;5;9.97e-05
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;717;Ziekenhuis Maas en Kempen;Maaseik;5;9.97e-05
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;719;Mariaziekenhuis Noord-Limburg;Overpelt;7;0.0001396
11002;2000;Antwerpen;90375;Tussen 15 en 64 jaar;50151;723;Centre Hospitalier Interrégional Édith Cavell;Anderlecht;12;0.0002393
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;13289;0.4074381
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;12;AZ Sint-Blasius;Dendermonde;10;0.0003066
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;26;AZ Sint-Maarten;Mechelen;179;0.0054881
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;49;AZ Sint-Jan Brugge - Oostende;Brugge;7;0.0002146
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;63;AZ Turnhout;Turnhout;43;0.0013184
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;79;Jules Bordet Instituut;Brussel;7;0.0002146
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;97;Heilig-Hartziekenhuis;Lier;46;0.0014104
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;99;GZA ziekenhuizen;Antwerpen;9486;0.2908389
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;104;AZ Rivierenland;Rumst;30;0.0009198
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;109;RZ Heilig Hart Tienen;Tienen;5;0.0001533
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;126;Onze-Lieve-Vrouwziekenhuis;Aalst (Oost-Vlaanderen);13;0.0003986
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;143;UZ Brussel;Jette;28;0.0008585
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;176;Algemeen Stedelijk Ziekenhuis;Aalst (Oost-Vlaanderen);8;0.0002453
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;204;AZ Jan Portaels;Vilvoorde;10;0.0003066
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;265;AZ Lokeren;Lokeren;26;0.0007972
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;290;AZ Sint-Lucas;Gent;7;0.0002146
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;300;UZ Antwerpen;Edegem;2024;0.0620554
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;308;AZ Herentals;Herentals;24;0.0007358
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;310;AZ West;Veurne;18;0.0005519
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;314;AZ Rivierenland;Rumst;166;0.0050895
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;322;UZ Leuven;Leuven;253;0.0077569
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;332;CHIREC - Delta Ziekenhuis;Oudergem;8;0.0002453
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;392;AZ Zeno;Knokke-Heist;14;0.0004292
11002;2000;Antwerpen;90375;65 jaar en ouder;32616;403;Cliniques universitaires Saint-Luc;Sint-Lambrechts-Woluwe;7;0.0002146
