nis_code_patiënt;postcode_patiënt;gemeente_patiënt;aantal_verblijven_per_gemeente;categorie;aantal_verblijven_per_ziekenhuis_gemeente_patient;erkenningsnummer_ziekenhuis;naam_ziekenhuis;gemeente_ziekenhuis;marktaandeel
11001;2630;Aartselaar;2286;Jonger dan 15 jaar;147;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1972789
11001;2630;Aartselaar;2286;Jonger dan 15 jaar;147;99;GZA ziekenhuizen;Antwerpen;0.3265306
11001;2630;Aartselaar;2286;Jonger dan 15 jaar;147;300;UZ Antwerpen;Edegem;0.3333333
11001;2630;Aartselaar;2286;Jonger dan 15 jaar;147;322;UZ Leuven;Leuven;0.0612245
11001;2630;Aartselaar;2286;Tussen 15 en 64 jaar;990;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1353535
11001;2630;Aartselaar;2286;Tussen 15 en 64 jaar;990;99;GZA ziekenhuizen;Antwerpen;0.2252525
11001;2630;Aartselaar;2286;Tussen 15 en 64 jaar;990;300;UZ Antwerpen;Edegem;0.2989899
11001;2630;Aartselaar;2286;Tussen 15 en 64 jaar;990;314;AZ Heilige Familie;Rumst;0.1959596
11001;2630;Aartselaar;2286;65 jaar en ouder;1149;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1418625
11001;2630;Aartselaar;2286;65 jaar en ouder;1149;99;GZA ziekenhuizen;Antwerpen;0.1575283
11001;2630;Aartselaar;2286;65 jaar en ouder;1149;300;UZ Antwerpen;Edegem;0.2114883
11001;2630;Aartselaar;2286;65 jaar en ouder;1149;314;AZ Heilige Familie;Rumst;0.4055701
11002;2000;Antwerpen;81080;Jonger dan 15 jaar;8625;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.4153043
11002;2000;Antwerpen;81080;Jonger dan 15 jaar;8625;99;GZA ziekenhuizen;Antwerpen;0.2529855
11002;2000;Antwerpen;81080;Jonger dan 15 jaar;8625;300;UZ Antwerpen;Edegem;0.1138551
11002;2000;Antwerpen;81080;Jonger dan 15 jaar;8625;682;AZ Monica;Antwerpen;0.1235942
11002;2000;Antwerpen;81080;Tussen 15 en 64 jaar;40421;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.3717622
11002;2000;Antwerpen;81080;Tussen 15 en 64 jaar;40421;99;GZA ziekenhuizen;Antwerpen;0.2734717
11002;2000;Antwerpen;81080;Tussen 15 en 64 jaar;40421;300;UZ Antwerpen;Edegem;0.1137775
11002;2000;Antwerpen;81080;Tussen 15 en 64 jaar;40421;682;AZ Monica;Antwerpen;0.1235991
11002;2000;Antwerpen;81080;65 jaar en ouder;32034;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.4384716
11002;2000;Antwerpen;81080;65 jaar en ouder;32034;99;GZA ziekenhuizen;Antwerpen;0.2642193
11002;2000;Antwerpen;81080;65 jaar en ouder;32034;300;UZ Antwerpen;Edegem;0.0688955
11002;2000;Antwerpen;81080;65 jaar en ouder;32034;682;AZ Monica;Antwerpen;0.1378223
11004;2530;Boechout;1738;Jonger dan 15 jaar;109;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.0733945
11004;2530;Boechout;1738;Jonger dan 15 jaar;109;97;Heilig-Hartziekenhuis;Lier;0.1926606
11004;2530;Boechout;1738;Jonger dan 15 jaar;109;99;GZA ziekenhuizen;Antwerpen;0.4036697
11004;2530;Boechout;1738;Jonger dan 15 jaar;109;300;UZ Antwerpen;Edegem;0.1651376
11004;2530;Boechout;1738;Jonger dan 15 jaar;109;682;AZ Monica;Antwerpen;0.1100917
11004;2530;Boechout;1738;Tussen 15 en 64 jaar;869;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1081703
11004;2530;Boechout;1738;Tussen 15 en 64 jaar;869;97;Heilig-Hartziekenhuis;Lier;0.141542
11004;2530;Boechout;1738;Tussen 15 en 64 jaar;869;99;GZA ziekenhuizen;Antwerpen;0.406214
11004;2530;Boechout;1738;Tussen 15 en 64 jaar;869;300;UZ Antwerpen;Edegem;0.150748
11004;2530;Boechout;1738;Tussen 15 en 64 jaar;869;682;AZ Monica;Antwerpen;0.0863061
11004;2530;Boechout;1738;65 jaar en ouder;760;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.0894737
11004;2530;Boechout;1738;65 jaar en ouder;760;97;Heilig-Hartziekenhuis;Lier;0.2578947
11004;2530;Boechout;1738;65 jaar en ouder;760;99;GZA ziekenhuizen;Antwerpen;0.4157895
11004;2530;Boechout;1738;65 jaar en ouder;760;300;UZ Antwerpen;Edegem;0.0894737
11005;2850;Boom;3056;Jonger dan 15 jaar;255;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.2
11005;2850;Boom;3056;Jonger dan 15 jaar;255;99;GZA ziekenhuizen;Antwerpen;0.2196078
11005;2850;Boom;3056;Jonger dan 15 jaar;255;300;UZ Antwerpen;Edegem;0.4
11005;2850;Boom;3056;Tussen 15 en 64 jaar;1469;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.0993873
11005;2850;Boom;3056;Tussen 15 en 64 jaar;1469;99;GZA ziekenhuizen;Antwerpen;0.1232131
11005;2850;Boom;3056;Tussen 15 en 64 jaar;1469;300;UZ Antwerpen;Edegem;0.2123894
11005;2850;Boom;3056;Tussen 15 en 64 jaar;1469;314;AZ Heilige Familie;Rumst;0.4220558
11005;2850;Boom;3056;65 jaar en ouder;1332;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.0855856
11005;2850;Boom;3056;65 jaar en ouder;1332;99;GZA ziekenhuizen;Antwerpen;0.0563063
11005;2850;Boom;3056;65 jaar en ouder;1332;300;UZ Antwerpen;Edegem;0.0990991
11005;2850;Boom;3056;65 jaar en ouder;1332;314;AZ Heilige Familie;Rumst;0.6448949
11007;2150;Borsbeek;1728;Jonger dan 15 jaar;185;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.172973
11007;2150;Borsbeek;1728;Jonger dan 15 jaar;185;99;GZA ziekenhuizen;Antwerpen;0.1621622
11007;2150;Borsbeek;1728;Jonger dan 15 jaar;185;300;UZ Antwerpen;Edegem;0.1135135
11007;2150;Borsbeek;1728;Jonger dan 15 jaar;185;682;AZ Monica;Antwerpen;0.4216216
11007;2150;Borsbeek;1728;Tussen 15 en 64 jaar;858;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1585082
11007;2150;Borsbeek;1728;Tussen 15 en 64 jaar;858;99;GZA ziekenhuizen;Antwerpen;0.2249417
11007;2150;Borsbeek;1728;Tussen 15 en 64 jaar;858;300;UZ Antwerpen;Edegem;0.1060606
11007;2150;Borsbeek;1728;Tussen 15 en 64 jaar;858;682;AZ Monica;Antwerpen;0.4114219
11007;2150;Borsbeek;1728;65 jaar en ouder;685;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1386861
11007;2150;Borsbeek;1728;65 jaar en ouder;685;99;GZA ziekenhuizen;Antwerpen;0.1781022
11007;2150;Borsbeek;1728;65 jaar en ouder;685;300;UZ Antwerpen;Edegem;0.0934307
11007;2150;Borsbeek;1728;65 jaar en ouder;685;682;AZ Monica;Antwerpen;0.5109489
11008;2930;Brasschaat;5757;Jonger dan 15 jaar;413;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1089588
11008;2930;Brasschaat;5757;Jonger dan 15 jaar;413;300;UZ Antwerpen;Edegem;0.0702179
11008;2930;Brasschaat;5757;Jonger dan 15 jaar;413;536;AZ Sint-Jozef Malle;Malle;0.0556901
11008;2930;Brasschaat;5757;Jonger dan 15 jaar;413;710;AZ Klina;Brasschaat;0.6634383
11008;2930;Brasschaat;5757;Tussen 15 en 64 jaar;2571;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1127966
