code_ins_patient;code_postal_patient;commune_patient;classe_âge;numéro_agrément_hôpital;commune_hôpital;nom_hôpital;part_de_marché;total_par_classe_âge_et_commune_patient;total_par_commune_patient
11001;2630;Aartselaar;Enfants;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.2810457516339869;153;2267
11001;2630;Aartselaar;Enfants;99;Anvers;AZ Sint-Augustinus;0.2745098039215687;153;2267
11001;2630;Aartselaar;Enfants;300;Edegem;UZ Antwerpen;0.261437908496732;153;2267
11001;2630;Aartselaar;Actifs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1408839779005525;1086;2267
11001;2630;Aartselaar;Actifs;99;Anvers;AZ Sint-Augustinus;0.2191528545119705;1086;2267
11001;2630;Aartselaar;Actifs;300;Edegem;UZ Antwerpen;0.2274401473296501;1086;2267
11001;2630;Aartselaar;Actifs;314;Rumst;AZ Heilige Familie;0.2495395948434622;1086;2267
11001;2630;Aartselaar;Retraités;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1809338521400778;1028;2267
11001;2630;Aartselaar;Retraités;99;Anvers;AZ Sint-Augustinus;0.1235408560311284;1028;2267
11001;2630;Aartselaar;Retraités;300;Edegem;UZ Antwerpen;0.1653696498054475;1028;2267
11001;2630;Aartselaar;Retraités;314;Rumst;AZ Heilige Familie;0.4348249027237354;1028;2267
11002;2000;Anvers;Enfants;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.4149816800108563;7369;81836
11002;2000;Anvers;Enfants;99;Anvers;AZ Sint-Augustinus;0.1371963631428959;7369;81836
11002;2000;Anvers;Enfants;100;Anvers;Sint-Vincentiusziekenhuis;0.1719364907043018;7369;81836
11002;2000;Anvers;Enfants;300;Edegem;UZ Antwerpen;0.06513773917763604;7369;81836
11002;2000;Anvers;Enfants;682;Anvers;AZ Monica;0.09784231238974081;7369;81836
11002;2000;Anvers;Actifs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.4051913988073145;40413;81836
11002;2000;Anvers;Actifs;99;Anvers;AZ Sint-Augustinus;0.1529953232870611;40413;81836
11002;2000;Anvers;Actifs;100;Anvers;Sint-Vincentiusziekenhuis;0.1152846856209636;40413;81836
11002;2000;Anvers;Actifs;300;Edegem;UZ Antwerpen;0.09618192165887214;40413;81836
11002;2000;Anvers;Actifs;682;Anvers;AZ Monica;0.1080840323658229;40413;81836
11002;2000;Anvers;Retraités;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.4812650496270629;34054;81836
11002;2000;Anvers;Retraités;99;Anvers;AZ Sint-Augustinus;0.1531978622188289;34054;81836
11002;2000;Anvers;Retraités;100;Anvers;Sint-Vincentiusziekenhuis;0.09167792329829096;34054;81836
11002;2000;Anvers;Retraités;300;Edegem;UZ Antwerpen;0.06140247841663241;34054;81836
11002;2000;Anvers;Retraités;682;Anvers;AZ Monica;0.1206906677629647;34054;81836
11004;2530;Boechout;Enfants;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1732283464566929;127;1736
11004;2530;Boechout;Enfants;97;Lierre;H.-Hartziekenhuis Lier;0.2834645669291339;127;1736
11004;2530;Boechout;Enfants;99;Anvers;AZ Sint-Augustinus;0.2913385826771653;127;1736
11004;2530;Boechout;Actifs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.09684947491248541;857;1736
11004;2530;Boechout;Actifs;97;Lierre;H.-Hartziekenhuis Lier;0.2170361726954493;857;1736
11004;2530;Boechout;Actifs;99;Anvers;AZ Sint-Augustinus;0.1528588098016336;857;1736
11004;2530;Boechout;Actifs;100;Anvers;Sint-Vincentiusziekenhuis;0.2555425904317386;857;1736
11004;2530;Boechout;Actifs;300;Edegem;UZ Antwerpen;0.1131855309218203;857;1736
11004;2530;Boechout;Actifs;682;Anvers;AZ Monica;0.07467911318553092;857;1736
11004;2530;Boechout;Retraités;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.08111702127659574;752;1736
11004;2530;Boechout;Retraités;97;Lierre;H.-Hartziekenhuis Lier;0.2978723404255319;752;1736
11004;2530;Boechout;Retraités;99;Anvers;AZ Sint-Augustinus;0.1343085106382979;752;1736
11004;2530;Boechout;Retraités;100;Anvers;Sint-Vincentiusziekenhuis;0.3111702127659575;752;1736
11004;2530;Boechout;Retraités;300;Edegem;UZ Antwerpen;0.07845744680851063;752;1736
11005;2850;Boom;Enfants;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.27;200;3019
11005;2850;Boom;Enfants;99;Anvers;AZ Sint-Augustinus;0.245;200;3019
11005;2850;Boom;Enfants;300;Edegem;UZ Antwerpen;0.225;200;3019
11005;2850;Boom;Enfants;314;Rumst;AZ Heilige Familie;0.09;200;3019
11005;2850;Boom;Actifs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1006036217303823;1491;3019
11005;2850;Boom;Actifs;99;Anvers;AZ Sint-Augustinus;0.09926224010731052;1491;3019
11005;2850;Boom;Actifs;300;Edegem;UZ Antwerpen;0.1488933601609658;1491;3019
11005;2850;Boom;Actifs;314;Rumst;AZ Heilige Familie;0.4627766599597585;1491;3019
11005;2850;Boom;Retraités;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1076807228915663;1328;3019
11005;2850;Boom;Retraités;99;Anvers;AZ Sint-Augustinus;0.0677710843373494;1328;3019
11005;2850;Boom;Retraités;300;Edegem;UZ Antwerpen;0.06099397590361446;1328;3019
