nis_code_patiënt;postcode_patiënt;gemeente_patiënt;aantal_verblijven_per_gemeente_patient;klasse;aantal_verblijven_per_leeftijd;erkenningsnummer_ziekenhuis;naam_ziekenhuis;gemeente_ziekenhuis;aantal_verblijven_per_ziekenhuis_gemeente_patient_leeftijd;marktaandeel
11001;2630;Aartselaar;1803;Jonger dan 15 jaar;93;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;11;0.1182796
11001;2630;Aartselaar;1803;Jonger dan 15 jaar;93;99;GZA ziekenhuizen;Antwerpen;28;0.3010753
11001;2630;Aartselaar;1803;Jonger dan 15 jaar;93;300;UZ Antwerpen;Edegem;28;0.3010753
11001;2630;Aartselaar;1803;Jonger dan 15 jaar;93;322;UZ Leuven;Leuven;18;0.1935484
11001;2630;Aartselaar;1803;Tussen 15 en 64 jaar;816;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;115;0.1409314
11001;2630;Aartselaar;1803;Tussen 15 en 64 jaar;816;26;AZ Sint-Maarten;Mechelen;22;0.0269608
11001;2630;Aartselaar;1803;Tussen 15 en 64 jaar;816;99;GZA ziekenhuizen;Antwerpen;163;0.1997549
11001;2630;Aartselaar;1803;Tussen 15 en 64 jaar;816;104;AZ Rivierenland;Rumst;121;0.1482843
11001;2630;Aartselaar;1803;Tussen 15 en 64 jaar;816;300;UZ Antwerpen;Edegem;271;0.3321078
11001;2630;Aartselaar;1803;Tussen 15 en 64 jaar;816;322;UZ Leuven;Leuven;26;0.0318627
11001;2630;Aartselaar;1803;Tussen 15 en 64 jaar;816;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);5;0.0061275
11001;2630;Aartselaar;1803;Tussen 15 en 64 jaar;816;682;AZ Monica;Antwerpen;49;0.060049
11001;2630;Aartselaar;1803;Tussen 15 en 64 jaar;816;710;AZ Klina;Brasschaat;7;0.0085784
11001;2630;Aartselaar;1803;65 jaar en ouder;894;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;123;0.1375839
11001;2630;Aartselaar;1803;65 jaar en ouder;894;26;AZ Sint-Maarten;Mechelen;12;0.0134228
11001;2630;Aartselaar;1803;65 jaar en ouder;894;99;GZA ziekenhuizen;Antwerpen;168;0.1879195
11001;2630;Aartselaar;1803;65 jaar en ouder;894;104;AZ Rivierenland;Rumst;350;0.3914989
11001;2630;Aartselaar;1803;65 jaar en ouder;894;300;UZ Antwerpen;Edegem;200;0.2237136
11001;2630;Aartselaar;1803;65 jaar en ouder;894;322;UZ Leuven;Leuven;5;0.0055928
11001;2630;Aartselaar;1803;65 jaar en ouder;894;682;AZ Monica;Antwerpen;16;0.0178971
11001;2630;Aartselaar;1803;65 jaar en ouder;894;710;AZ Klina;Brasschaat;5;0.0055928
