code_ins_patient;code_postal_patient;commune_patient;classe_âge;numéro_agrément_hôpital;commune_hôpital;nom_hôpital;part_de_marché;total_par_classe_âge_et_commune_patient;total_par_commune_patient
11001;2630;Aartselaar;Enfants;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.2785714285714286;140;2587
11001;2630;Aartselaar;Enfants;99;Anvers;GZA ziekenhuizen;0.1857142857142857;140;2587
11001;2630;Aartselaar;Enfants;300;Edegem;UZ Antwerpen;0.09285714285714286;140;2587
11001;2630;Aartselaar;Enfants;314;Rumst;AZ Heilige Familie;0.2785714285714286;140;2587
11001;2630;Aartselaar;Enfants;403;Woluwe-Saint-Lambert;Cliniques Universitaires Saint-Luc;0.05;140;2587
11001;2630;Aartselaar;Actifs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1392739273927393;1515;2587
11001;2630;Aartselaar;Actifs;99;Anvers;GZA ziekenhuizen;0.2039603960396039;1515;2587
11001;2630;Aartselaar;Actifs;300;Edegem;UZ Antwerpen;0.1696369636963696;1515;2587
11001;2630;Aartselaar;Actifs;314;Rumst;AZ Heilige Familie;0.337953795379538;1515;2587
11001;2630;Aartselaar;Actifs;682;Anvers;AZ Monica;0.06138613861386139;1515;2587
11001;2630;Aartselaar;Retraités;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1362660944206009;932;2587
11001;2630;Aartselaar;Retraités;99;Anvers;GZA ziekenhuizen;0.174892703862661;932;2587
11001;2630;Aartselaar;Retraités;300;Edegem;UZ Antwerpen;0.1126609442060086;932;2587
11001;2630;Aartselaar;Retraités;314;Rumst;AZ Heilige Familie;0.5118025751072961;932;2587
11002;2000;Anvers;Enfants;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.4983055634001695;7082;74770
11002;2000;Anvers;Enfants;99;Anvers;GZA ziekenhuizen;0.1886472747811353;7082;74770
11002;2000;Anvers;Enfants;682;Anvers;AZ Monica;0.1424738774357526;7082;74770
11002;2000;Anvers;Enfants;710;Brasschaat;AZ Klina;0.05069189494493081;7082;74770
11002;2000;Anvers;Actifs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.3932589592363628;42219;74770
11002;2000;Anvers;Actifs;99;Anvers;GZA ziekenhuizen;0.2639096141547644;42219;74770
