code_ins_patient;code_postal_patient;commune_patient;numéro_agrément_hôpital;commune_hôpital;nom_hôpital;part_de_marché;total_par_commune_patient
11001;2630;Aartselaar;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1683254002596279;2311
11001;2630;Aartselaar;99;Anvers;GZA ziekenhuizen;0.2280398096062311;2311
11001;2630;Aartselaar;300;Edegem;UZ Antwerpen;0.2064041540458676;2311
11001;2630;Aartselaar;314;Rumst;AZ Heilige Familie;0.287321505841627;2311
11002;2000;Anvers;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.4151123686137275;80583
11002;2000;Anvers;99;Anvers;GZA ziekenhuizen;0.2704168372981894;80583
11002;2000;Anvers;300;Edegem;UZ Antwerpen;0.08012856309643474;80583
11002;2000;Anvers;682;Anvers;AZ Monica;0.1258454016355807;80583
11004;2530;Boechout;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1070840197693575;1821
11004;2530;Boechout;97;Lierre;H.-Hartziekenhuis Lier;0.243272926963207;1821
11004;2530;Boechout;99;Anvers;GZA ziekenhuizen;0.4019769357495881;1821
11004;2530;Boechout;300;Edegem;UZ Antwerpen;0.1048874244920373;1821
11004;2530;Boechout;682;Anvers;AZ Monica;0.05985722130697419;1821
11005;2850;Boom;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.09977756593581188;3147
11005;2850;Boom;99;Anvers;GZA ziekenhuizen;0.0905624404194471;3147
11005;2850;Boom;300;Edegem;UZ Antwerpen;0.1255163647918653;3147
11005;2850;Boom;314;Rumst;AZ Heilige Familie;0.5351128058468383;3147
11007;2150;Borsbeek;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.2069167643610786;1706
11007;2150;Borsbeek;99;Anvers;GZA ziekenhuizen;0.2057444314185229;1706
11007;2150;Borsbeek;300;Edegem;UZ Antwerpen;0.1096131301289566;1706
11007;2150;Borsbeek;682;Anvers;AZ Monica;0.3927315357561548;1706
11008;2930;Brasschaat;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1163250629270047;5562
11008;2930;Brasschaat;99;Anvers;GZA ziekenhuizen;0.05663430420711974;5562
11008;2930;Brasschaat;300;Edegem;UZ Antwerpen;0.07982740021574973;5562
11008;2930;Brasschaat;710;Brasschaat;AZ Klina;0.6121898597626753;5562
11009;2960;Brecht;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1100808368996671;4206
