nis_code_patiënt;postcode_patiënt;gemeente_patiënt;leeftijdsgroep;erkenningsnummer_ziekenhuis;gemeente_ziekenhuis;naam_ziekenhuis;marktaandeel;totaal_aantal_patiënten_per_leeftijd_en_per_gemeente;totaal_patiënten_per_gemeente
11001;2630;Aartselaar;Kinderen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.2686567164179104;134;2155
11001;2630;Aartselaar;Kinderen;99;Antwerpen;GZA ziekenhuizen;0.1417910447761194;134;2155
11001;2630;Aartselaar;Kinderen;300;Edegem;UZ Antwerpen;0.05223880597014925;134;2155
11001;2630;Aartselaar;Kinderen;314;Rumst;AZ Heilige Familie;0.3358208955223881;134;2155
11001;2630;Aartselaar;Kinderen;403;Sint-Lambrechts-Woluwe;Cliniques Universitaires Saint-Luc;0.1119402985074627;134;2155
11001;2630;Aartselaar;Actieven;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.155984555984556;1295;2155
11001;2630;Aartselaar;Actieven;99;Antwerpen;GZA ziekenhuizen;0.1675675675675676;1295;2155
11001;2630;Aartselaar;Actieven;300;Edegem;UZ Antwerpen;0.1135135135135135;1295;2155
11001;2630;Aartselaar;Actieven;314;Rumst;AZ Heilige Familie;0.3552123552123552;1295;2155
11001;2630;Aartselaar;Actieven;682;Antwerpen;AZ Monica;0.08725868725868725;1295;2155
11001;2630;Aartselaar;Bejaarden;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1432506887052342;726;2155
11001;2630;Aartselaar;Bejaarden;99;Antwerpen;GZA ziekenhuizen;0.1997245179063361;726;2155
11001;2630;Aartselaar;Bejaarden;300;Edegem;UZ Antwerpen;0.08539944903581267;726;2155
11001;2630;Aartselaar;Bejaarden;314;Rumst;AZ Heilige Familie;0.4669421487603306;726;2155
11002;2000;Antwerpen;Kinderen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.5247600182843212;6563;72193
11002;2000;Antwerpen;Kinderen;99;Antwerpen;GZA ziekenhuizen;0.1327136980039616;6563;72193
11002;2000;Antwerpen;Kinderen;682;Antwerpen;AZ Monica;0.1266189242724364;6563;72193
11002;2000;Antwerpen;Kinderen;710;Brasschaat;AZ Klina;0.05820508913606583;6563;72193
11002;2000;Antwerpen;Actieven;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.3997785705498831;40645;72193
11002;2000;Antwerpen;Actieven;99;Antwerpen;GZA ziekenhuizen;0.2033706482962234;40645;72193
11002;2000;Antwerpen;Actieven;100;Antwerpen;Sint-Vincentiusziekenhuis;0.05599704760733178;40645;72193
11002;2000;Antwerpen;Actieven;300;Edegem;UZ Antwerpen;0.05233116004428589;40645;72193
11002;2000;Antwerpen;Actieven;682;Antwerpen;AZ Monica;0.178988805511133;40645;72193
11002;2000;Antwerpen;Bejaarden;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.3890334200520312;24985;72193
11002;2000;Antwerpen;Bejaarden;99;Antwerpen;GZA ziekenhuizen;0.2475485291174705;24985;72193
11002;2000;Antwerpen;Bejaarden;100;Antwerpen;Sint-Vincentiusziekenhuis;0.05427256353812288;24985;72193
11002;2000;Antwerpen;Bejaarden;300;Edegem;UZ Antwerpen;0.05467280368220932;24985;72193
11002;2000;Antwerpen;Bejaarden;682;Antwerpen;AZ Monica;0.1806283770262157;24985;72193
11004;2530;Boechout;Kinderen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1441441441441441;111;1690
11004;2530;Boechout;Kinderen;26;Mechelen;AZ Sint-Maarten;0.1621621621621622;111;1690
11004;2530;Boechout;Kinderen;97;Lier;H.-Hartziekenhuis Lier;0.09009009009009009;111;1690
11004;2530;Boechout;Kinderen;99;Antwerpen;GZA ziekenhuizen;0.2792792792792793;111;1690
11004;2530;Boechout;Kinderen;100;Antwerpen;Sint-Vincentiusziekenhuis;0.1531531531531531;111;1690
11004;2530;Boechout;Kinderen;300;Edegem;UZ Antwerpen;0.06306306306306306;111;1690
11004;2530;Boechout;Kinderen;682;Antwerpen;AZ Monica;0.09009009009009009;111;1690
11004;2530;Boechout;Actieven;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.09611829944547134;1082;1690
