nis_code_patiënt;postcode_patiënt;gemeente_patiënt;aantal_verblijven_per_gemeente;categorie;aantal_verblijven_per_ziekenhuis_gemeente_patient;erkenningsnummer_ziekenhuis;naam_ziekenhuis;gemeente_ziekenhuis;marktaandeel
11001;2630;Aartselaar;2178;Jonger dan 15 jaar;113;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.2566372
11001;2630;Aartselaar;2178;Jonger dan 15 jaar;113;99;GZA ziekenhuizen;Antwerpen;0.3628319
11001;2630;Aartselaar;2178;Jonger dan 15 jaar;113;300;UZ Antwerpen;Edegem;0.3097345
11001;2630;Aartselaar;2178;Tussen 15 en 64 jaar;966;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1418219
11001;2630;Aartselaar;2178;Tussen 15 en 64 jaar;966;99;GZA ziekenhuizen;Antwerpen;0.2215321
11001;2630;Aartselaar;2178;Tussen 15 en 64 jaar;966;300;UZ Antwerpen;Edegem;0.2919255
11001;2630;Aartselaar;2178;Tussen 15 en 64 jaar;966;314;AZ Heilige Familie;Rumst;0.2111801
11001;2630;Aartselaar;2178;65 jaar en ouder;1099;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.133758
11001;2630;Aartselaar;2178;65 jaar en ouder;1099;99;GZA ziekenhuizen;Antwerpen;0.166515
11001;2630;Aartselaar;2178;65 jaar en ouder;1099;300;UZ Antwerpen;Edegem;0.2274795
11001;2630;Aartselaar;2178;65 jaar en ouder;1099;314;AZ Heilige Familie;Rumst;0.377616
11002;2000;Antwerpen;80108;Jonger dan 15 jaar;8195;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.4134228
11002;2000;Antwerpen;80108;Jonger dan 15 jaar;8195;99;GZA ziekenhuizen;Antwerpen;0.266626
11002;2000;Antwerpen;80108;Jonger dan 15 jaar;8195;300;UZ Antwerpen;Edegem;0.1099451
11002;2000;Antwerpen;80108;Jonger dan 15 jaar;8195;682;AZ Monica;Antwerpen;0.1160464
11002;2000;Antwerpen;80108;Tussen 15 en 64 jaar;39716;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.368592
11002;2000;Antwerpen;80108;Tussen 15 en 64 jaar;39716;99;GZA ziekenhuizen;Antwerpen;0.278024
11002;2000;Antwerpen;80108;Tussen 15 en 64 jaar;39716;300;UZ Antwerpen;Edegem;0.11056
11002;2000;Antwerpen;80108;Tussen 15 en 64 jaar;39716;682;AZ Monica;Antwerpen;0.1262463
11002;2000;Antwerpen;80108;65 jaar en ouder;32197;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.4379601
11002;2000;Antwerpen;80108;65 jaar en ouder;32197;99;GZA ziekenhuizen;Antwerpen;0.2637513
11002;2000;Antwerpen;80108;65 jaar en ouder;32197;300;UZ Antwerpen;Edegem;0.0667453
11002;2000;Antwerpen;80108;65 jaar en ouder;32197;682;AZ Monica;Antwerpen;0.1390192
11004;2530;Boechout;1798;Jonger dan 15 jaar;112;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.0803571
11004;2530;Boechout;1798;Jonger dan 15 jaar;112;97;Heilig-Hartziekenhuis;Lier;0.2589286
11004;2530;Boechout;1798;Jonger dan 15 jaar;112;99;GZA ziekenhuizen;Antwerpen;0.2946429
11004;2530;Boechout;1798;Jonger dan 15 jaar;112;300;UZ Antwerpen;Edegem;0.2232143
11004;2530;Boechout;1798;Jonger dan 15 jaar;112;682;AZ Monica;Antwerpen;0.0535714
11004;2530;Boechout;1798;Tussen 15 en 64 jaar;847;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1216057
11004;2530;Boechout;1798;Tussen 15 en 64 jaar;847;26;AZ Sint-Maarten;Mechelen;0.0519481
11004;2530;Boechout;1798;Tussen 15 en 64 jaar;847;97;Heilig-Hartziekenhuis;Lier;0.1310508
11004;2530;Boechout;1798;Tussen 15 en 64 jaar;847;99;GZA ziekenhuizen;Antwerpen;0.3872491
11004;2530;Boechout;1798;Tussen 15 en 64 jaar;847;300;UZ Antwerpen;Edegem;0.1546635
11004;2530;Boechout;1798;Tussen 15 en 64 jaar;847;682;AZ Monica;Antwerpen;0.0791027
11004;2530;Boechout;1798;65 jaar en ouder;839;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.0929678
11004;2530;Boechout;1798;65 jaar en ouder;839;97;Heilig-Hartziekenhuis;Lier;0.2777116
11004;2530;Boechout;1798;65 jaar en ouder;839;99;GZA ziekenhuizen;Antwerpen;0.4064362
11004;2530;Boechout;1798;65 jaar en ouder;839;300;UZ Antwerpen;Edegem;0.0727056
11004;2530;Boechout;1798;65 jaar en ouder;839;682;AZ Monica;Antwerpen;0.0536353
11005;2850;Boom;2994;Jonger dan 15 jaar;199;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.2914573
11005;2850;Boom;2994;Jonger dan 15 jaar;199;99;GZA ziekenhuizen;Antwerpen;0.1859296
11005;2850;Boom;2994;Jonger dan 15 jaar;199;300;UZ Antwerpen;Edegem;0.2864322
11005;2850;Boom;2994;Tussen 15 en 64 jaar;1445;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.0858131
11005;2850;Boom;2994;Tussen 15 en 64 jaar;1445;99;GZA ziekenhuizen;Antwerpen;0.1224913
11005;2850;Boom;2994;Tussen 15 en 64 jaar;1445;300;UZ Antwerpen;Edegem;0.2
11005;2850;Boom;2994;Tussen 15 en 64 jaar;1445;314;AZ Heilige Familie;Rumst;0.4020761
11005;2850;Boom;2994;65 jaar en ouder;1350;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.0940741
11005;2850;Boom;2994;65 jaar en ouder;1350;300;UZ Antwerpen;Edegem;0.1007407
11005;2850;Boom;2994;65 jaar en ouder;1350;314;AZ Heilige Familie;Rumst;0.6488889
11007;2150;Borsbeek;1658;Jonger dan 15 jaar;177;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1355932
11007;2150;Borsbeek;1658;Jonger dan 15 jaar;177;99;GZA ziekenhuizen;Antwerpen;0.1920904
11007;2150;Borsbeek;1658;Jonger dan 15 jaar;177;300;UZ Antwerpen;Edegem;0.0677966
11007;2150;Borsbeek;1658;Jonger dan 15 jaar;177;670;UZ Gent;Gent;0.0621469
11007;2150;Borsbeek;1658;Jonger dan 15 jaar;177;682;AZ Monica;Antwerpen;0.4632768
11007;2150;Borsbeek;1658;Tussen 15 en 64 jaar;835;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1580838
11007;2150;Borsbeek;1658;Tussen 15 en 64 jaar;835;99;GZA ziekenhuizen;Antwerpen;0.2215569
11007;2150;Borsbeek;1658;Tussen 15 en 64 jaar;835;300;UZ Antwerpen;Edegem;0.1473054
11007;2150;Borsbeek;1658;Tussen 15 en 64 jaar;835;682;AZ Monica;Antwerpen;0.3700599
11007;2150;Borsbeek;1658;65 jaar en ouder;646;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1671827
11007;2150;Borsbeek;1658;65 jaar en ouder;646;99;GZA ziekenhuizen;Antwerpen;0.1594427
11007;2150;Borsbeek;1658;65 jaar en ouder;646;300;UZ Antwerpen;Edegem;0.0572755
11007;2150;Borsbeek;1658;65 jaar en ouder;646;682;AZ Monica;Antwerpen;0.5433437
11008;2930;Brasschaat;5833;Jonger dan 15 jaar;384;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1145833
11008;2930;Brasschaat;5833;Jonger dan 15 jaar;384;300;UZ Antwerpen;Edegem;0.0807292
11008;2930;Brasschaat;5833;Jonger dan 15 jaar;384;710;AZ Klina;Brasschaat;0.7005208
11008;2930;Brasschaat;5833;Tussen 15 en 64 jaar;2668;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1154423
11008;2930;Brasschaat;5833;Tussen 15 en 64 jaar;2668;99;GZA ziekenhuizen;Antwerpen;0.0502249
11008;2930;Brasschaat;5833;Tussen 15 en 64 jaar;2668;300;UZ Antwerpen;Edegem;0.1173163
11008;2930;Brasschaat;5833;Tussen 15 en 64 jaar;2668;682;AZ Monica;Antwerpen;0.0502249
11008;2930;Brasschaat;5833;Tussen 15 en 64 jaar;2668;710;AZ Klina;Brasschaat;0.576087
11008;2930;Brasschaat;5833;65 jaar en ouder;2781;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.0873786
11008;2930;Brasschaat;5833;65 jaar en ouder;2781;300;UZ Antwerpen;Edegem;0.0737145
11008;2930;Brasschaat;5833;65 jaar en ouder;2781;710;AZ Klina;Brasschaat;0.7270766
11009;2960;Brecht;4315;Jonger dan 15 jaar;453;300;UZ Antwerpen;Edegem;0.0927152
11009;2960;Brecht;4315;Jonger dan 15 jaar;453;536;AZ Sint-Jozef Malle;Malle;0.6335541
11009;2960;Brecht;4315;Jonger dan 15 jaar;453;710;AZ Klina;Brasschaat;0.1368653
11009;2960;Brecht;4315;Tussen 15 en 64 jaar;2199;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.0959527
11009;2960;Brecht;4315;Tussen 15 en 64 jaar;2199;99;GZA ziekenhuizen;Antwerpen;0.0700318
11009;2960;Brecht;4315;Tussen 15 en 64 jaar;2199;300;UZ Antwerpen;Edegem;0.0932242
11009;2960;Brecht;4315;Tussen 15 en 64 jaar;2199;536;AZ Sint-Jozef Malle;Malle;0.3838108
11009;2960;Brecht;4315;Tussen 15 en 64 jaar;2199;682;AZ Monica;Antwerpen;0.0650296
11009;2960;Brecht;4315;Tussen 15 en 64 jaar;2199;710;AZ Klina;Brasschaat;0.2078217
11009;2960;Brecht;4315;65 jaar en ouder;1663;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1130487
11009;2960;Brecht;4315;65 jaar en ouder;1663;536;AZ Sint-Jozef Malle;Malle;0.5063139
11009;2960;Brecht;4315;65 jaar en ouder;1663;710;AZ Klina;Brasschaat;0.1894167
11013;2650;Edegem;3425;Jonger dan 15 jaar;236;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1822034
11013;2650;Edegem;3425;Jonger dan 15 jaar;236;99;GZA ziekenhuizen;Antwerpen;0.3940678
11013;2650;Edegem;3425;Jonger dan 15 jaar;236;300;UZ Antwerpen;Edegem;0.2457627
11013;2650;Edegem;3425;Jonger dan 15 jaar;236;322;UZ Leuven;Leuven;0.1101695
11013;2650;Edegem;3425;Tussen 15 en 64 jaar;1486;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1453567
11013;2650;Edegem;3425;Tussen 15 en 64 jaar;1486;99;GZA ziekenhuizen;Antwerpen;0.4118439
11013;2650;Edegem;3425;Tussen 15 en 64 jaar;1486;300;UZ Antwerpen;Edegem;0.282638
11013;2650;Edegem;3425;65 jaar en ouder;1703;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1638285
11013;2650;Edegem;3425;65 jaar en ouder;1703;99;GZA ziekenhuizen;Antwerpen;0.5184968
11013;2650;Edegem;3425;65 jaar en ouder;1703;300;UZ Antwerpen;Edegem;0.2078685
11016;2910;Essen;2420;Jonger dan 15 jaar;198;300;UZ Antwerpen;Edegem;0.0757576
11016;2910;Essen;2420;Jonger dan 15 jaar;198;536;AZ Sint-Jozef Malle;Malle;0.1161616
11016;2910;Essen;2420;Jonger dan 15 jaar;198;670;UZ Gent;Gent;0.0757576
11016;2910;Essen;2420;Jonger dan 15 jaar;198;710;AZ Klina;Brasschaat;0.6363636
11016;2910;Essen;2420;Tussen 15 en 64 jaar;1261;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.0785091
11016;2910;Essen;2420;Tussen 15 en 64 jaar;1261;300;UZ Antwerpen;Edegem;0.0880254
11016;2910;Essen;2420;Tussen 15 en 64 jaar;1261;536;AZ Sint-Jozef Malle;Malle;0.0761301
11016;2910;Essen;2420;Tussen 15 en 64 jaar;1261;710;AZ Klina;Brasschaat;0.5987312
11016;2910;Essen;2420;65 jaar en ouder;961;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.1217482
11016;2910;Essen;2420;65 jaar en ouder;961;300;UZ Antwerpen;Edegem;0.0884495
11016;2910;Essen;2420;65 jaar en ouder;961;536;AZ Sint-Jozef Malle;Malle;0.0603538
11016;2910;Essen;2420;65 jaar en ouder;961;710;AZ Klina;Brasschaat;0.6305931
11018;2620;Hemiksem;1875;Jonger dan 15 jaar;166;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.3253012
11018;2620;Hemiksem;1875;Jonger dan 15 jaar;166;99;GZA ziekenhuizen;Antwerpen;0.3072289
11018;2620;Hemiksem;1875;Jonger dan 15 jaar;166;300;UZ Antwerpen;Edegem;0.1506024
11018;2620;Hemiksem;1875;Jonger dan 15 jaar;166;322;UZ Leuven;Leuven;0.1144578
11018;2620;Hemiksem;1875;Tussen 15 en 64 jaar;866;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.2113164
11018;2620;Hemiksem;1875;Tussen 15 en 64 jaar;866;99;GZA ziekenhuizen;Antwerpen;0.2136259
11018;2620;Hemiksem;1875;Tussen 15 en 64 jaar;866;300;UZ Antwerpen;Edegem;0.2263279
11018;2620;Hemiksem;1875;Tussen 15 en 64 jaar;866;314;AZ Heilige Familie;Rumst;0.221709
11018;2620;Hemiksem;1875;65 jaar en ouder;843;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.2123369
11018;2620;Hemiksem;1875;65 jaar en ouder;843;99;GZA ziekenhuizen;Antwerpen;0.1447212
11018;2620;Hemiksem;1875;65 jaar en ouder;843;300;UZ Antwerpen;Edegem;0.1340451
11018;2620;Hemiksem;1875;65 jaar en ouder;843;314;AZ Heilige Familie;Rumst;0.4270463
11021;2540;Hove;1186;Jonger dan 15 jaar;71;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;0.0985915
11021;2540;Hove;1186;Jonger dan 15 jaar;71;99;GZA ziekenhuizen;Antwerpen;0.3802817
